,POC.201-TP1,POC.201-TP3,POC.219-TP1,POC.219-TP3,POC.219-TP4,POC.222-TP1,POC.222-TP3,POC.222-TP4,POC.255-TP1,POC.255-TP3,POC.255-TP4,POC.259-TP1,POC.259-TP3,POC.259-TP4,POC.40-TP1,POC.40-TP3,POC.40-TP4,POC.42-TP1,POC.42-TP3,POC.42-TP4,POC.52-TP1,POC.52-TP3,POC.52-TP4,POC.53-TP1,POC.53-TP3,POC.53-TP4,POC.57-TP1,POC.57-TP3,POC.57-TP4
Ethanolamine,82817.5139360667,154197.149526299,188154.384543629,222857.067318152,186247.152952907,114206.965516873,139592.269250094,178174.092160735,138858.773925694,218983.029379702,171934.614214753,688199.627513433,83877.5149064681,195125.786083236,87363.3456945127,198205.491866425,224585.349706631,378933.046364621,314892.747954932,310906.367333001,150991.986312044,648593.691179477,348202.86605325,343294.817475174,92505.1169187443,339144.36426905,238740.344561484,134409.064498008,272004.152765727
Glycine,681265.93233236,1469203.4777984,611749.687243249,1106352.22544417,951495.10179239,538240.392358438,465943.577258006,805783.041730016,900955.52986011,844466.108715789,813152.549675298,1822601.35365241,338642.6616743,812199.286353221,267734.881697888,863252.97934861,563196.425449533,1446867.33213015,1577107.17408951,1601186.13538678,878985.170999974,1060315.52294536,1214499.74845359,1385314.90522286,928296.309529508,1471115.00825388,1279604.94415024,651721.213062341,2325462.11270054
betaAlanine,60171.9875708771,120677.622376331,90197.8002769618,109480.255890432,99478.6967447275,81631.6999234979,65827.2548344554,92585.2992846772,79883.9109989241,108869.898619988,82367.8391537861,68597.1100776894,52081.9045543604,97296.1080318614,34367.9867797155,58090.7169017108,71303.5223622603,124290.774952054,105585.118507582,242533.877477162,54480.2426102302,98439.4306968592,145511.151768004,105113.600544084,98884.9512156643,188361.312313513,97466.3158344796,70824.1583807367,133442.727460646
Alanine,2597232.43385656,11044460.8275854,4667148.25844888,8337240.65127071,5389687.09779612,2266371.92474329,3322588.56537965,7820485.95956836,2099032.08190556,6097388.19599118,6964550.04926523,17425411.3713013,3311581.23574396,3626426.77570067,1754331.36221463,7367462.47496465,2361173.70528396,15050928.9682804,13724212.3704651,7420709.67032546,4832303.80874345,5511205.21376011,6734101.61711538,5489208.99980825,6087401.13138107,6742929.90080293,3843427.26810904,3926789.90698153,7214327.76676754
Sarcosine,429111.462999595,728130.906236316,538118.624986904,1551138.42315328,574824.636665485,504924.220128311,600626.083956802,584969.051181229,562012.397517404,482197.178567591,687272.421256838,344702.778568564,181431.875063805,662859.743226278,114085.929722967,767450.950250741,332753.617416964,345265.172274332,207543.991799512,608680.065730653,580346.653233037,1407838.07893863,1258842.59828887,706660.154718884,632198.240193515,481394.935070966,981089.764736566,563995.742557574,1368047.95728617
Choline,127887660.337735,345244733.900612,213676027.175311,398910060.025156,295037941.499425,157869588.697971,177083658.094913,287036275.270238,115572386.014315,281623968.326579,282341669.328821,439240230.283655,209160044.107645,259226580.962764,82288920.4613115,288808177.393623,148523402.965619,400297527.163431,403878016.652225,242044435.453342,251310503.274882,301738559.62004,297211279.875995,260900131.946737,220062257.556691,266013069.987114,230205407.092383,225732739.903867,215831613.04686
2-Aminobutyrate,540965.437904831,495056.703658327,378236.918097192,537436.57076223,419957.682203685,180053.659344761,326627.917616665,530728.366548613,332023.496660003,497697.802521467,367392.960829388,262332.013704189,238158.710872278,313755.201337149,39226.5865745896,389524.761287515,261905.040111768,390813.91780752,505561.724222404,463675.286410195,184971.125957293,353076.919632914,694574.693960899,590613.974683551,334755.563906972,577118.03128856,357878.10569077,170082.316271589,591942.689424281
Dimethylglycine,212828.46638099,578413.819173204,583411.249777566,1003403.66720899,524657.780064946,349022.602122256,1037995.42731864,332427.892152336,417150.369390785,400264.438390468,518448.343556157,438150.712837172,406783.608131022,575039.995548267,196102.249718824,240878.401935216,577208.395366823,418138.248211709,560821.63526035,774645.095869034,418865.899915654,411259.932487576,480267.057184612,208760.303599468,402293.932977472,762850.47136985,585970.719602799,308816.69970065,437057.157542066
2-Aminoisobutyric Acid,50651.8073487379,205479.290688005,23345.2864766781,326818.215436529,47057.3965061992,30745.0078117496,54781.1997773815,48662.656704116,58339.8422372031,717681.100847071,60479.514373875,31320.1586725993,182097.745306142,122336.448065706,208685.670606267,52106.3109892493,46391.3376393952,535040.198507358,330039.204471758,245835.71228873,63470.7807066233,234991.304160399,115867.364647058,178891.617879615,127319.580610869,125859.135115857,158809.469130483,67705.8283985914,60540.7159944473
Serine,7534142.96655843,33724922.3821719,11963507.744044,22223987.6098268,14439488.3730992,7144323.29284535,9524649.66703748,21302727.2587619,8537619.68246721,19419543.3662256,21311426.620715,51799875.5187815,7762012.35757396,14545160.6450449,4728709.46028273,20919147.6633409,8818672.68451938,46847000.5814075,42673950.8086622,24028610.0165361,15901721.5693719,19869251.9081041,20948270.2990158,22887313.9056595,17028778.288278,19258695.537301,15066371.0524721,11304751.9475775,26535193.2043352
