,ACR-139-TP1,ACR-139-TP3,ACR-139-TP4,ACR-145-TP1,ACR-145-TP3,ACR-145-TP4,ACR-150-TP1,ACR-150-TP3,ACR-150-TP4,ACR-173-TP1,ACR-173-TP3,ACR-173-TP4,ACR-186-TP1,ACR-186-TP3,ACR-186-TP4,ACR-225-TP1,ACR-225-TP3,ACR-225-TP4,ACR-229-TP1,ACR-229-TP3,ACR-229-TP4,ACR-237-TP1,ACR-237-TP3,ACR-237-TP4,ACR-244-TP1,ACR-244-TP3,ACR-244-TP4,ACR-265-TP1,ACR-265-TP3
CE 16:0,0.208287662691012,0.516388706270197,0.44895900161486,0.155535677575651,0.19875822647601,0.330973856843836,0.251719796882188,0.144996400544718,0.0967980286450627,0.152970064878055,0.117080591802017,0.0902598660695487,0.262327326116903,0.0873096620577275,0.118889391461644,0.271966516820371,0.242676005312005,0.179885330827409,0.132316895825652,0.103215677166406,0.0479106330485844,0.126331037159767,0.325391294960255,0.162635932540025,0.154823273492554,0.206385641984109,0.0856516193538833,0.444327077014267,0.400829072791516
CE 16:1,0.0521545872034248,0.112735301642669,0.118032921533327,0.0298092968294334,0.046060601769473,0.0171467140726916,0,0.0599471271128535,0.0251314827056866,0.0301844915474824,0.0370619037810134,0.0328002597549238,0.0487945963091728,0.0155089973950157,0.0312970647848992,0.0724788294494676,0.0544497578168716,0.0546799559393203,0.0264336489718642,0.0387977226813722,0.0103820536131154,0.0349368127303571,0.0913164685383334,0.0467427113229971,0.0316677128095908,0.100198557231069,0.0249833625241623,0.0784050594641233,0.0660194135717302
CE 17:0,0.1031278947309,0.279052558347925,0.230404625220332,0.169110747873746,0.226060469398576,0.225791683824171,0.0408440427944175,0.123854601401938,0.0847219865840712,0.113418572894399,0.121626253309666,0.0727557013040995,0.130691591651371,0.0307481461420663,0.101066220189769,0.243411965858948,0.0811854544464796,0.0720952055598098,0.107041853362415,0.123305916099423,0.0378130294088235,0.133115494004571,0.15570347714129,0.0556133629464847,0.140016989796917,0.185183250622308,0.110871947734191,0.241168565472339,0.22366132431401
CE 18:0,0.0622066844136287,0.117992627367132,0.105369702647654,0.0267005012362911,0.0419557025050823,0.0426594097069294,0.162590313674997,0.0484819722426423,0.0300275801238527,0.0344601213168627,0.0211211644051428,0.0197974547549137,0.0593181882787472,0.0360002075115556,0.0450990334859798,0.0683566010689325,0.0699383490590468,0.0561696608343954,0.0386888171413018,0.0413493118865363,0.0125501119329962,0.03602692173584,0.0859324336756612,0.0428664579178937,0.0403760105514375,0.094742320036304,0.0281864733759882,0.0793427535771694,0.0848482522854182
CE 18:1,0.231772954053696,0.480317172659144,0.341441858331417,0.167206261652628,0.174121769915762,0.117841246623196,0,0.097849748612448,0.0577818998082058,0.11041852895239,0.0687450550497577,0.0974897966558867,0.035334807755506,0.0590349131068437,0.117177955939816,0.209442348699791,0.196325594316442,0.244417939534826,0.11150767820267,0.0814428942165059,0.0429890588883291,0.0749461554174681,0.149934905079937,0.0820758071707499,0.0942827974706136,0.24620265170543,0.0641994680255005,0.308044038534443,0.172457612542435
CE 18:2,0.051926253678933,0.133762195685475,0.136126550740483,0.0536271055763653,0.0138085164444024,0,0,0.0104937734627733,0.00525238446390465,0.0453701765607744,0.00940196317952904,0.0335684085142813,0,0,0.0218682411686908,0.00123408737339417,0.0534218806704429,0.063932008299653,0.00356157058922225,0.00428735496513375,0.0473448533550212,0.0207173896335961,0.00361711887977346,0.0169434716426584,0,0.033150540387824,0.0250785515789371,0.130309656907346,0
CE 18:3,0.126264778006852,0.324399548393524,0.232535494001619,0.130852722779368,0.179997974746654,0.154806401805724,0.114571363220982,0.0528019984993056,0.0334876223380785,0.101542906245238,0.0951971721276521,0.0811850411472217,0.0568785146510791,0.0476310894661238,0.0663024807989396,0.189263907535975,0.134286769872431,0.119056082081531,0.0657634944327932,0.0474881151236813,0.0150280470476682,0.0602705330615691,0.0559966296640989,0.042064067001128,0.115203208174029,0.135536634745461,0.0574614722318546,0.294357101205745,0.274260979694421
CE 18:4,0.0273753111878436,0.0497753016094311,0.0463406056065279,0.0248094159434566,0.032751511194504,0.0326955500955668,0.056353364911586,0.0424991695238313,0.018181214912089,0.0300002925129672,0.0209739224152902,0.0171595297363722,0.0594192403127145,0.0153209252261582,0.0329194135435294,0.0446182943481897,0.0324310153755872,0.0214946902167777,0.013606461920113,0.0186513209817244,0.00455395365080855,0.0245546616176763,0.091760900434965,0.0446930711886985,0.0173581487010477,0.0339829463210193,0.0131052480528791,0.0434192687244918,0.0615106610398532
CE 20:1,0.162324307063761,0.360785225639243,0.197428666529062,0.0697522359389846,0.0708728794611681,0.0861612332110708,0.18414437172071,0.0821157023626122,0.0654676719038565,0.0693534551054956,0.0648944729085043,0.0529680002345337,0.123671230127635,0.0740961306533746,0.109995583792942,0.154290733985808,0.159153271781409,0.158387600121055,0.0776494246846981,0.0652592453125835,0.0260882074773548,0.0560607337700824,0.148158483787454,0.0862794400193407,0.0662981317995067,0.204861864746808,0.0464674329938218,0.147493261135413,0.125154257007063
CE 20:3,0.054904416258765,0.136296487642295,0.087963904055505,0.0382512388439687,0.0481799090299314,0.053196035658149,0.0969747487853541,0.0325475733543392,0.0177150299143431,0.0412998038846177,0.029322765318464,0.0260698910490206,0.0222420064655513,0.0142162122705917,0.0280510495687821,0.0504231165129981,0.0518448921659387,0.0512308678741853,0.0330358506325012,0.0265950153602789,0.009161169917416,0.0304289825788429,0.0371948416017008,0.0187656505802446,0.0470154783043703,0.0857476668797813,0.0257624534372837,0.0890733527509794,0.0657404356795017
