,ACR-139-TP1,ACR-139-TP3,ACR-139-TP4,ACR-145-TP1,ACR-145-TP3,ACR-145-TP4,ACR-150-TP1,ACR-150-TP3,ACR-150-TP4,ACR-173-TP1,ACR-173-TP3,ACR-173-TP4,ACR-186-TP1,ACR-186-TP3,ACR-186-TP4,ACR-225-TP1,ACR-225-TP3,ACR-225-TP4,ACR-229-TP1,ACR-229-TP3,ACR-229-TP4,ACR-237-TP1,ACR-237-TP3,ACR-237-TP4,ACR-244-TP1,ACR-244-TP3,ACR-244-TP4,ACR-265-TP1,ACR-265-TP3,POC-201-TP1,POC-201-TP3,POC-219-TP1,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP3,POC-255-TP4,POC-259-TP1,POC-259-TP3,POC-259-TP4,POC-40-TP1,POC-40-TP3,POC-40-TP4,POC-42-TP1,POC-42-TP3,POC-42-TP4,POC-52-TP1,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP3,POC-57-TP4,POR-216-TP1,POR-216-TP2,POR-216-TP3,POR-216-TP4,POR-236-TP1,POR-236-TP2,POR-245-TP1,POR-245-TP2,POR-245-TP3,POR-245-TP4,POR-260-TP1,POR-260-TP2,POR-260-TP3,POR-260-TP4,POR-262-TP1,POR-262-TP2,POR-262-TP3,POR-262-TP4,POR-69-TP1,POR-69-TP2,POR-69-TP3,POR-69-TP4,POR-72-TP1,POR-72-TP2,POR-72-TP3,POR-72-TP4,POR-73-TP1,POR-73-TP2,POR-73-TP3,POR-73-TP4,POR-74-TP1,POR-74-TP2,POR-74-TP3,POR-74-TP4,POR-83-TP1,POR-83-TP2,POR-83-TP3,POR-83-TP4
CE 16:0,0.208287662691012,0.516388706270197,0.44895900161486,0.155535677575651,0.19875822647601,0.330973856843836,0.251719796882188,0.144996400544718,0.0967980286450627,0.152970064878055,0.117080591802017,0.0902598660695487,0.262327326116903,0.0873096620577275,0.118889391461644,0.271966516820371,0.242676005312005,0.179885330827409,0.132316895825652,0.103215677166406,0.0479106330485844,0.126331037159767,0.325391294960255,0.162635932540025,0.154823273492554,0.206385641984109,0.0856516193538833,0.444327077014267,0.400829072791516,2.0493110228829,1.91463414463828,1.01693617472781,1.32838861599479,1.89765511926507,1.77806029452064,0.771476364580204,1.98714792632625,0.266568881787057,0.133308964212483,0.172539920732579,0.645511535841441,0.284548849464196,0.177151236831254,1.83269565263833,1.721437997767,0.817305311978615,2.48891298605869,1.57353090063356,0.803028766014102,0.690560065800963,0.115135510665402,0.246736836913902,0.543225205402894,0.615944547175175,0.911220520764583,0.238956766153235,0.337621778583427,0.361982000747018,1.23299962905408,2.46603876310192,2.39845884723209,2.71241535526513,3.15667590447627,4.58389274760047,3.42920073861106,3.19869604106276,3.33117768731442,6.30122989896624,1.31078234967277,1.72569862788089,0.673459164757104,1.74753618387629,2.86561084986501,1.08590006010493,2.46782945436192,1.67400032282174,2.30690503781734,2.10026898292272,2.01323174060378,2.84482016378607,2.4860365258132,1.84595754996622,3.39562668677664,2.33054113813842,2.60205236506543,2.31638743223691,1.65608165280036,1.15458965019833,0.996569515810377,0.796397910017464,0.946013855611846,2.80605244164315,4.2538858014287,2.32244086082108,2.22691427973956,3.13976096966184
CE 16:1,0.0521545872034248,0.112735301642669,0.118032921533327,0.0298092968294334,0.046060601769473,0.0171467140726916,0,0.0599471271128535,0.0251314827056866,0.0301844915474824,0.0370619037810134,0.0328002597549238,0.0487945963091728,0.0155089973950157,0.0312970647848992,0.0724788294494676,0.0544497578168716,0.0546799559393203,0.0264336489718642,0.0387977226813722,0.0103820536131154,0.0349368127303571,0.0913164685383334,0.0467427113229971,0.0316677128095908,0.100198557231069,0.0249833625241623,0.0784050594641233,0.0660194135717302,0.322612628917769,0.261565252131565,0.174339821688545,0.199549851527866,0.284258617476026,0.249553498901129,0.117480863167335,0.270735846667849,0.0679655829749987,0.0400700204176988,0.0446216249710771,0.186116062049918,0.0343919945354399,0.0256999417926353,0.159544675586938,0.270825599212299,0.114368741222243,0.323416161463099,0.170321327294454,0.13231145045193,0.0790835922484372,0.0247286416802242,0.0732436110786221,0.0659867315123983,0.0836121954033368,0.145331387505099,0.0654289489278834,0.0250431332930729,0.0795510908765718,0.0586584674046397,0.0999953225032902,0.115100495668176,0.270682141381465,0.172601483041021,0.24528459659839,0.191831889594792,0.169364820945544,0.206374194640908,0.550854536128737,0.071409686255487,0.0767450885747363,0.0424110186444378,0.0777434147014446,0.15370408981533,0.0717472799017669,0.149313794113654,0.113056529703668,0.127734202608545,0.0945928570196553,0.116348959305473,0.159027099280876,0.0978279506002269,0.116923189754489,0.263156927063107,0.112967800934737,0.159151670391249,0.15275887762688,0.105832437681209,0.0561279898812649,0.0586201207734287,0.0526764125385568,0.0546314856389864,0.168627276385185,0.249011970267609,0.113060783044867,0.0784351759436319,0.166953949258159
CE 17:0,0.1031278947309,0.279052558347925,0.230404625220332,0.169110747873746,0.226060469398576,0.225791683824171,0.0408440427944175,0.123854601401938,0.0847219865840712,0.113418572894399,0.121626253309666,0.0727557013040995,0.130691591651371,0.0307481461420663,0.101066220189769,0.243411965858948,0.0811854544464796,0.0720952055598098,0.107041853362415,0.123305916099423,0.0378130294088235,0.133115494004571,0.15570347714129,0.0556133629464847,0.140016989796917,0.185183250622308,0.110871947734191,0.241168565472339,0.22366132431401,0.204583334259183,0.166909228786108,0.309845892814027,0.176614021990674,0.144681870723945,0.384718096637132,0.157598741324485,0.242150771545812,0.218051287241799,0.16350911729081,0.213376257325504,0.549367124111047,0.296396048005578,0.183706583991928,0.350283540901715,0.357380053829868,0.22479464893177,0.295978328474624,0.205769029512246,0.120655765615499,0.201850053841341,0.103369769054341,0.133679628234497,0.0927011248055548,0.10009705421497,0.145354717275197,0.0675174466173671,0.268835780996675,0.10418242290044,0.0385814295927972,0,0.0930197211045639,0.174181323829847,0.161892092077412,0.205207336479332,0.230478462554386,0.176541721918949,0.0894411965547878,0.143026384277921,0.156832988038271,0.126269803144703,0.108888334129269,0.153698522564291,0.282678115635275,0.0920337532778077,0.225996356682117,0.103901821119357,0.189620589166416,0.189223429125936,0.114014905108265,0.128974398759484,0.17396361713138,0.429822687602329,0.264184726855083,0.109648575561853,0.204151075938696,0.266512399785644,0.12772872644778,0.0926207620892626,0.150425518515905,0.131931926773124,0.108890127352372,0.2969709243968,0.300715606167972,0.221926096673314,0.121055617273546,0.180413764442599
CE 18:0,0.0622066844136287,0.117992627367132,0.105369702647654,0.0267005012362911,0.0419557025050823,0.0426594097069294,0.162590313674997,0.0484819722426423,0.0300275801238527,0.0344601213168627,0.0211211644051428,0.0197974547549137,0.0593181882787472,0.0360002075115556,0.0450990334859798,0.0683566010689325,0.0699383490590468,0.0561696608343954,0.0386888171413018,0.0413493118865363,0.0125501119329962,0.03602692173584,0.0859324336756612,0.0428664579178937,0.0403760105514375,0.094742320036304,0.0281864733759882,0.0793427535771694,0.0848482522854182,0.469954838122051,0.426300273082179,0.265120044287725,0.277264036580347,0.449995915931493,0.43824103384078,0.191818359406322,0.47336143830106,0.0856706856142598,0.0261990719443554,0.0414357874017373,0.19815576421089,0.0461925763417216,0.0443369641863562,0.277109876142083,0.397623882740543,0.183422728246364,0.777123115662015,0.329456310710682,0.164206651908552,0.134760501625758,0.0245764424822718,0.072236003485752,0.124167692718877,0.149675234234992,0.154230924299408,0.0601718255572699,0.0804223725788179,0.081654765765135,0.298184027462467,0.54490891263824,0.453845070586477,0.583256159332225,0.531703710363654,0.909441001243714,0.743244410382386,0.674036959416941,0.636825110172788,1.22508812792828,0.29165530412886,0.45359452727668,0.148265688445565,0.441145616570947,0.562752056151145,0.325079104526921,0.613869641877116,0.388109738254311,0.449277683769227,0.482126032484852,0.346658836559934,0.643832752265513,0.687364258144035,0.351542868431853,0.765684733440779,0.718002968038114,0.605535938928634,0.541901127853094,0.335485517427254,0.21993748048668,0.232903104412637,0.168520339018309,0.19795085470699,0.614625767695731,0.830732743778363,0.488646894339216,0.477175940385161,0.602105123216354
CE 18:1,0.231772954053696,0.480317172659144,0.341441858331417,0.167206261652628,0.174121769915762,0.117841246623196,0,0.097849748612448,0.0577818998082058,0.11041852895239,0.0687450550497577,0.0974897966558867,0.035334807755506,0.0590349131068437,0.117177955939816,0.209442348699791,0.196325594316442,0.244417939534826,0.11150767820267,0.0814428942165059,0.0429890588883291,0.0749461554174681,0.149934905079937,0.0820758071707499,0.0942827974706136,0.24620265170543,0.0641994680255005,0.308044038534443,0.172457612542435,1.88340792525417,1.31092450888862,0.661630886432302,1.22330471761188,1.28743219685451,1.63272841966443,0.788547487977711,1.55623551262328,0.145903120874268,0.0831516827970452,0.121841980137208,0.533328497127211,0.146585537560611,0.152585206348217,0.795712934400612,1.24920957997013,0.507991108504007,2.31094291851879,0.957456350343115,0.508222505584838,0.48289426287534,0.0765818044258441,0.176454695703257,0.34473061185498,0.475010949635384,0.591345997174481,0.150578393898118,0.196118206677073,0.25089406597631,0.922502077388619,2.02334800754285,1.73134737890133,1.9678215291756,2.24304679477085,3.14687032962801,2.18694359659785,1.96931591896034,2.42038831164392,4.34930671721354,1.4090546634214,1.79899135245973,0.701225078661936,1.75883973864256,3.0692013361502,1.55454281223649,3.31638759425959,1.63578142651772,2.40386315435295,1.94248911959163,1.63161634333672,3.20115237627155,2.88899930302468,1.39753207215819,3.35767025661709,3.30155675102842,1.84871809303279,1.84123025343216,1.03591881835303,0.892515997153895,0.869328205488074,0.662238313094214,0.875692649474159,2.59469386479283,2.85000292560234,1.48530215069445,1.39037848759562,2.17081230465203
CE 18:2,0.051926253678933,0.133762195685475,0.136126550740483,0.0536271055763653,0.0138085164444024,0,0,0.0104937734627733,0.00525238446390465,0.0453701765607744,0.00940196317952904,0.0335684085142813,0,0,0.0218682411686908,0.00123408737339417,0.0534218806704429,0.063932008299653,0.00356157058922225,0.00428735496513375,0.0473448533550212,0.0207173896335961,0.00361711887977346,0.0169434716426584,0,0.033150540387824,0.0250785515789371,0.130309656907346,0,0.347551791862282,0.324367696541641,0.162150799664645,0.291029335255172,0.252281580684665,0.24303621930879,0.250886805818476,0.299928801740479,0.0284985974985833,0,0.0391212108523076,0.218007876074406,0.0386064683393571,0.0459896573406439,0.501031597494,0.243844297626404,0.169562355803464,0.599964907175151,0.261034487596181,0.111412112633747,0.47986534878239,0.0251843332868948,0.05739920168241,0.0836715052797223,0.0790106669693726,0.170084579802855,0.0289832660071945,0,0.108117118473684,0.120081345515782,0.520576628008614,0.33686925563209,0.217823972918313,0.351639389249127,0.5620551358508,0.41123170929988,0.309066768110592,0.324967182713501,0.552266745853882,0.340815797496108,0.396916237815148,0.131697875074793,0.167408571200942,0.421197060703865,0.192971181219291,0.36183444874931,0.18213001621224,0.325038436745552,0.121705730318352,0.171465341630137,0.318212905410348,0.232627195377912,0.651935854343493,0.472987693139897,0.427786281983503,0.512646088999973,0.656242354158397,0.157947372603658,0.21090898242069,0.123230960112733,0.132075390771896,0.145470114420376,0.469812064239868,0.435325256008597,0.228052585071189,0,0.305764198303494
CE 18:3,0.126264778006852,0.324399548393524,0.232535494001619,0.130852722779368,0.179997974746654,0.154806401805724,0.114571363220982,0.0528019984993056,0.0334876223380785,0.101542906245238,0.0951971721276521,0.0811850411472217,0.0568785146510791,0.0476310894661238,0.0663024807989396,0.189263907535975,0.134286769872431,0.119056082081531,0.0657634944327932,0.0474881151236813,0.0150280470476682,0.0602705330615691,0.0559966296640989,0.042064067001128,0.115203208174029,0.135536634745461,0.0574614722318546,0.294357101205745,0.274260979694421,0.720251703038646,1.07408662701442,0.608553448287336,0.760857690250194,0.698408944882587,0.79613549436759,0.511118573014892,0.827713936903287,0.0801972499213724,0.0471699187020451,0.0597805384690497,0.145391643130695,0.0726460356735215,0.0698624156227022,0.833317957070446,0.538703103828484,0.356082584429574,0.838477979539201,0.55059624355373,0.278892369089106,0.119026614825033,0.0331627672305912,0.0580543974267729,0.310244633926418,0.220226248462545,0.304584675054629,0.0570555510308075,0.0552995857992054,0.104508427803321,0.106098937566823,0.191909307528366,0.198929523266603,0.205524127443261,0.212003204021964,0.320784981844268,0.254693605417073,0.186400088895619,0.240561363816168,0.348242527274757,0.179301632602311,0.16996701699093,0.0771786100225721,0.168615307842588,0.173247449187701,0.0797311507375015,0.17469785514213,0.11573348038014,0.169115713020208,0.123589646612125,0.105663416394944,0.184591132915176,0.266945135195356,0.142586163260406,0.296842886477459,0.264271739496912,0.212684396457265,0.16519568310215,0.118722372093593,0.108873299258872,0.0817768313447002,0.0733913004742273,0.079769495702594,0.206972564562755,0.192080409301382,0.114381987376358,0.110003115340893,0.15202111917243
CE 18:4,0.0273753111878436,0.0497753016094311,0.0463406056065279,0.0248094159434566,0.032751511194504,0.0326955500955668,0.056353364911586,0.0424991695238313,0.018181214912089,0.0300002925129672,0.0209739224152902,0.0171595297363722,0.0594192403127145,0.0153209252261582,0.0329194135435294,0.0446182943481897,0.0324310153755872,0.0214946902167777,0.013606461920113,0.0186513209817244,0.00455395365080855,0.0245546616176763,0.091760900434965,0.0446930711886985,0.0173581487010477,0.0339829463210193,0.0131052480528791,0.0434192687244918,0.0615106610398532,0.239659724509326,0.257542917806268,0.137757123866039,0.237065018545153,0.202115052440773,0.317852904504372,0.123712786238575,0.329590725359897,0.0659688158986762,0.0250031270387747,0.0299286392848901,0.19385552417426,0.0449713554169419,0.0508511830528076,0.187834802166786,0.249795534108271,0.14108163549372,0.5555649549744,0.292708434322038,0.118179292982407,0.0953642339852399,0.0249934278100375,0.0519434082239547,0.0769753790221542,0.0627894854741824,0.0901396174386014,0.0539294562017763,0.0451590786034074,0.0570694486297999,0.0403107251200176,0.0934405580323702,0.0888541692564567,0.0999194379498547,0.0723502997852736,0.0835985104200213,0.0731167245386394,0.0628222484573414,0.0627267082922616,0.122271865787354,0.0729317947589431,0.0794809791684204,0.0234381895947074,0.0670586425770312,0.0728094345554316,0.0337118288353194,0.072496493988827,0.0748316881172792,0.0632796212832726,0.0464358094662602,0.051897552256849,0.0644982183371565,0.0523818382673873,0.0454493395392544,0.109839741813277,0.0491519901962856,0.166466441073282,0.122217944408908,0.0587492150566232,0.0727517840841993,0.0416273629435371,0.0245234345487052,0.0347446253712767,0.114877044031318,0.0898621797901204,0.0553461229240443,0.0376557495790947,0.0593970330228835
CE 20:1,0.162324307063761,0.360785225639243,0.197428666529062,0.0697522359389846,0.0708728794611681,0.0861612332110708,0.18414437172071,0.0821157023626122,0.0654676719038565,0.0693534551054956,0.0648944729085043,0.0529680002345337,0.123671230127635,0.0740961306533746,0.109995583792942,0.154290733985808,0.159153271781409,0.158387600121055,0.0776494246846981,0.0652592453125835,0.0260882074773548,0.0560607337700824,0.148158483787454,0.0862794400193407,0.0662981317995067,0.204861864746808,0.0464674329938218,0.147493261135413,0.125154257007063,1.74743342894644,1.36999867897275,0.493639996079754,0.907923584371427,1.16363757930101,1.41407936404264,0.570670834963906,1.42516008198021,0.159075339059752,0.0939277647194503,0.119633250028612,0.364649854606715,0.131007448211902,0.131488131305736,0.444382752678666,1.08831997684263,0.442629049596059,2.45400692519432,0.992950694325999,0.456165092302602,0.479698718105587,0.0624231827672768,0.162174268657814,0.297505322878969,0.456100888869638,0.565063623394913,0.180006042240493,0.215888898425533,0.192638137826894,0.082126388488408,0.184233336170374,0.131724156233605,0.150609655427435,0.252679566006424,0.289286380001076,0.276519749541213,0.239328689291299,0.238988240852066,0.425194466812356,0.114715123077824,0.154692385299789,0.0585423334584916,0.107594583757879,0.278081700620534,0.137875247955277,0.263876714869879,0.170714886037306,0.185502018681374,0.172397651217365,0.161660264834406,0.245759559318303,0.271814281267543,0.149037321020795,0.249674755803724,0.235597927300732,0.190676263294867,0.159829481404917,0.136385478909358,0.0973507315094202,0.0834867632075044,0.0564579538468756,0.0662449327178769,0.140604793467691,0.28230094033725,0.130317236796471,0.118801866988648,0.210816915639902
CE 20:3,0.054904416258765,0.136296487642295,0.087963904055505,0.0382512388439687,0.0481799090299314,0.053196035658149,0.0969747487853541,0.0325475733543392,0.0177150299143431,0.0412998038846177,0.029322765318464,0.0260698910490206,0.0222420064655513,0.0142162122705917,0.0280510495687821,0.0504231165129981,0.0518448921659387,0.0512308678741853,0.0330358506325012,0.0265950153602789,0.009161169917416,0.0304289825788429,0.0371948416017008,0.0187656505802446,0.0470154783043703,0.0857476668797813,0.0257624534372837,0.0890733527509794,0.0657404356795017,0.819084828367271,1.15917185385627,0.549514680916176,0.729257351045175,0.822744255030801,0.732967728292454,0.546665915813963,0.803459670058974,0.12578648981023,0.0617988380129134,0.0697439615472247,0.180285637482062,0.0649860795310754,0.0848550136656272,0.622932366507929,0.601282360807591,0.387851680363932,0.8047629558864,0.62350228027975,0.306073603790847,0.130779540945965,0.0337514554062821,0.0690847329378598,0.266345451147832,0.295055015812309,0.383335684913622,0.0891256261090296,0.0740204485726733,0.0943429322661379,0.148885295484312,0.356582577962094,0.249463423651289,0.258596988573603,0.310265006521034,0.539502014919905,0.425225663857646,0.350710459158901,0.359922887350489,0.653892471739057,0.190886466426837,0.277877731015747,0.0979381493778844,0.238750413357221,0.375748689044995,0.206551840165608,0.329038528591123,0.187776409934042,0.234985728157182,0.197603427252798,0.174812807602017,0.283869606681853,0.383099948107498,0.164568196763052,0.338574114549887,0.350287722340412,0.310437417136661,0.306664072967407,0.227806201091958,0.151778197564938,0.13202524578542,0.108117915820569,0.132862406382298,0.295675092232507,0.39930694406739,0.238357302726217,0.178021214792271,0.312569535164976
