,ACR.139-TP1,ACR.139-TP3,ACR.139-TP4,ACR.145-TP1,ACR.145-TP3,ACR.145-TP4,ACR.150-TP1,ACR.150-TP3,ACR.150-TP4,ACR.173-TP1,ACR.173-TP3,ACR.173-TP4,ACR.186-TP1,ACR.186-TP3,ACR.186-TP4,ACR.225-TP1,ACR.225-TP3,ACR.225-TP4,ACR.229-TP1,ACR.229-TP3,ACR.229-TP4,ACR.237-TP1,ACR.237-TP3,ACR.237-TP4,ACR.244-TP1,ACR.244-TP3,ACR.244-TP4,ACR.265-TP1,ACR.265-TP3
N2,N2-Dimethylguanosine,77427.0669934722,162370.957863516,356209.802808492,115108.20959877,157938.427503866,48432.3837224539,19178.8300865713,74800.3439826371,93639.2648414733,52525.6194501012,186980.906560641,72217.0037783289,126613.005864727,366596.187621228,115435.480088177,66320.1066675334,104174.053086787,185683.128821962,168263.526003095,117068.108411542,255373.073281658,108052.91350028,76524.0510498009,245184.898152838,122718.537293137,38256.960332009,259150.116708172,56993.3595626827,100923.568310648
UMP,0,552117.791729704,0,0,175562.848414908,326488.046101135,0,0,0,0,0,0,172338.374944247,0,380449.81512735,0,0,0,0,259722.918397618,0,161272.320223087,0,0,337735.612851731,0,201702.932196928,0,335622.201785124
cAMP,40694.8769592337,1553416.03510703,937105.994208014,255330.611206076,644350.669443151,538723.838409279,129014.536368331,130731.790284294,127100.298491916,169924.580690664,104093.069706333,57737.7549324408,262309.747841134,80377.9866287117,123139.035532399,120889.340160807,151697.512343758,97512.4956218235,0,65486.0040246724,123344.134353824,313180.387628817,77655.2521849685,781320.274827404,315544.553958735,111693.715665399,216919.901197662,365991.863541671,1756526.12003168
GMP,2920329.61460044,7762597.12776731,2803461.05759444,4194813.71494761,4000019.96703333,9992426.89595899,1270795.32476479,1881875.0983213,1460897.18379565,1293991.28557706,2162896.75275548,1585580.24362044,3514713.73547855,991483.942475012,2699176.95244039,1263813.85477944,679314.512311893,1002237.92009406,0,2283212.22095085,1394472.68962388,4143706.2024858,1892145.8756147,2024331.72323945,3798076.96392766,911484.003542417,2574239.13556707,3148700.65593493,16810586.5396102
Myristoyl-L-Carnitine (14:0 Carnitine),393570.692182101,163280.834563754,505903.290131421,259044.031241797,118294.946335216,243029.187708402,86483.2899846815,281939.603797976,479228.254750154,405420.973459202,298543.174961105,543155.959728489,216129.826435801,433393.339043403,562712.015823066,391571.996179183,212426.59029803,835538.82304995,392395.812452854,339351.749169435,602691.486859537,312392.571342377,285735.713283287,850443.808768207,864673.912710561,354162.899008146,667260.610952807,321163.22696298,163142.198351478
Riboflavin,9133629.71364769,1741082.32551035,12475777.0508033,8015415.21432956,772193.874825259,960325.254632523,955471.397889451,8243491.73613379,12335842.0883359,5301822.88031324,4806386.81589718,4085514.12738119,8049468.96415334,10305758.523279,6945083.47303022,5808213.63361526,2098295.01045511,24773592.184932,16410331.4107323,6758445.35242451,15628936.000838,10459556.2029587,5499565.05041998,28742931.4032869,5008424.94028504,1395200.48235835,16406037.1494401,1547575.98598583,856720.481352549
SAH,312022.224963784,520777.770325837,79601.7838969237,238782.008986632,191482.189132743,112910.091272958,11771.1035835705,262190.783939356,310081.768817355,266026.083544556,384770.062652957,346817.018295191,117437.609496749,497630.492592605,283286.788503194,152533.295173686,39070.339404691,931345.141135002,520288.124248857,323773.23074286,559729.601438648,189600.14347363,218517.859528644,920453.326246377,176120.371465236,249044.015946247,802447.288252982,98865.1439320016,40262.0086238802
Cholecalciferol,38286.063246179,49317.574093569,105193.747105845,39846.9067771511,42601.9132852813,40290.3842969224,55242.6072916839,47063.3263851917,47329.6732661231,35550.7616452418,58863.4347447858,50672.6297441219,124015.966482911,40371.6699445988,42275.0053749721,35967.855791809,56642.8615659331,25886.7386902867,0,52093.988685851,112458.751396521,42326.7371219642,54424.8503171151,20295.2369792292,41735.801152613,43871.7513179446,28535.1021341419,30030.2612965836,41546.0123472585
S-Adenosylmethionine (SAM),5075813.20246855,1745280.69354864,1153233.8896787,6827975.49822444,2081645.37624092,1431404.1304303,1208303.61340355,4854485.66851538,7853408.85246117,11099131.2518591,6427689.05483902,6292969.77652092,3715071.4981864,6724651.36745933,4849195.02207016,6668696.4462472,378442.800654121,1408895.33005165,1902419.69303029,6104337.6843193,8940623.2803534,8540234.19159161,5349989.9830461,170819.11723064,7156046.91629455,3035169.94954191,1096461.61643233,3721563.01471275,790821.753298071
PAF C-16,5234723.72617555,4933423.89481662,14861447.2315207,2081502.70198622,2731750.59620137,2756205.84681552,454384.076623491,3210321.32014184,4436116.46999088,4684723.04490977,6686653.97621681,7682213.3362097,8733984.26056348,5064389.7196597,3007219.44525963,3273112.50183817,2929594.8883776,3211587.56662273,1792782.64176229,6269922.74265814,1199191.48168019,4472306.8421509,3442629.54301693,619271.36376144,7498007.51820301,4300668.56736114,7717988.77748496,2786677.07939096,3248651.10547138
NAD,19929.0503881177,10864.9271489476,14409.7025385096,0,0,0,0,0,6394.343920041,9335.45398668663,17717.1924248956,15879.9837861994,0,11101.6783599743,0,10569.308925876,0,8486.8515009098,0,7918.7063281754,0,6203.39214311951,0,0,6554.24326689852,0,0,0,0
FAD,38084.4986805291,18648.2688613753,24600.686095654,35434.0774681083,0,14274.404594465,0,10823.7033589808,28328.1228806696,47530.4717619889,33180.0795844281,21675.3916990162,14841.4286349691,57035.6508604009,42139.8632784002,20897.6067430765,10830.6331310992,0,0,24357.8870211574,10453.2328257627,48312.1881421061,14595.8592089291,0,11552.3515385676,9504.87331644788,0,23348.7029991101,9467.99659273112
3-Hydroxypropionic Acid,1297094.39572067,673393.566368865,2463946.96295853,996918.275752852,1129280.8344188,481436.312442247,940846.949595473,1379600.57949493,801901.66290553,2622022.91199308,3082717.38620001,1901251.05196826,2801607.80189741,2570291.7900239,939174.479540076,2066084.60849242,1400752.34365264,2713756.44922469,3055397.90053983,986645.053984651,1247514.74193697,1058885.19856009,1491291.19049685,4767251.26060053,1495899.02952267,949321.174551006,1715512.40805545,997676.778671399,876032.006184368
