,ACR.139-TP1,ACR.139-TP3,ACR.139-TP4,ACR.145-TP1,ACR.145-TP3,ACR.145-TP4,ACR.150-TP1,ACR.150-TP3,ACR.150-TP4,ACR.173-TP1,ACR.173-TP3,ACR.173-TP4,ACR.186-TP1,ACR.186-TP3,ACR.186-TP4,ACR.225-TP1,ACR.225-TP3,ACR.225-TP4,ACR.229-TP1,ACR.229-TP3,ACR.229-TP4,ACR.237-TP1,ACR.237-TP3,ACR.237-TP4,ACR.244-TP1,ACR.244-TP3,ACR.244-TP4,ACR.265-TP1,ACR.265-TP3
Indole-3-Carboxylic Acid,8484.8961161679,38128.5994741474,808768.460549671,0,26687.9284627708,28396.5170826922,16172.102518359,14724.989722687,0,0,44764.2436820759,16461.4370080285,136585.179319229,55399.9132424752,0,9717.17931933569,125054.72522307,11760.4313791251,0,19328.9347357151,162084.639726503,0,10674.2530193069,19684.9025189801,9506.00915586587,22464.1352961281,0,0,91853.9672221196
3-Methyl-3-Hydroxyglutaric Acid,0,24301.3474011536,61447.0330611886,0,103337.771865662,60847.5621755803,26432.7456129905,0,0,0,29039.6769748742,0,42493.106626746,11041.0971723585,0,0,67637.2292501117,779622.475846939,23059.8621331515,9294.83810462488,0,0,0,272811.470099546,0,51613.8103814882,395150.19352581,0,136148.865015985
PPA,24896.9327170751,46112.9269209428,36654.0699044536,0,0,0,0,0,17796.9626528344,55851.6088855372,28923.3800390372,75487.7199495979,22174.9382790628,20032.4192518916,0,16651.3504757048,0,48323.2683470778,53973.0885658712,0,40775.4536306366,37717.1694205357,0,259088.766023944,31970.8082381331,0,155975.395975105,0,0
Phenyllactic Acid,2428216.99142204,2684821.41111022,7280098.55121759,1513879.43934913,2187364.56023224,1441171.39041844,796458.172717079,2874007.289567,5928812.18129044,3024270.36791797,7721306.15743786,4344733.24653319,3952151.00189088,6552759.38944053,2585283.58578325,1739019.17982131,2637763.30230256,6584485.01207062,1871197.11449945,3768321.34557164,6740785.32822057,3300153.02267019,2397777.50908523,6997882.40770688,1490772.74344303,1429186.04347588,2793933.69007318,861564.97426386,2330902.99481688
Urate,408263.864272954,128614.507997194,90803.9242060973,45333.4272730649,62498.4304984986,68163.3905035222,18656.9190354907,80883.8485949401,89068.7418878676,243123.58084032,121073.528831963,56469.3188893676,38377.8021186398,150046.081758058,80386.6466645279,61916.6803562132,55261.8427733665,464444.939559592,119739.335215294,101891.028297348,115504.548851411,56572.6987377287,37357.5603188013,444650.679815857,76867.2549769092,247388.773034777,279994.771245102,41971.4641002495,65046.6701323555
Glycerol-3-P,2051644.26150858,4213422.45809501,1156273.29953786,836355.594583036,1811408.91549632,913297.405921089,863604.431355372,1056282.10244272,1076782.08916103,719135.779755481,5178173.1992369,2290650.00580853,2976694.78630293,6658043.62240619,1516955.45289417,1255703.91165967,502382.500678024,4696923.24519659,51898.3457096351,2373977.38350566,1314747.04650257,903573.78909775,1485413.5649792,179057.391041096,886382.688717883,1338809.77913189,5976631.50507932,550793.049896983,1383088.80691967
Suberic Acid,335703.846024812,433221.895611434,907122.183972922,263743.923045687,393261.341550227,1615599.84757331,316772.958750369,369269.602662499,244030.52414828,222311.324561542,444792.098484276,324388.563152868,383400.207929428,547906.980477766,472249.995601779,393916.528935499,469193.410989618,228743.422788665,305287.088385379,608127.950884397,254407.826151013,450745.225569039,552142.505545418,477456.273980749,639858.772737048,688333.769747744,232106.272135221,592237.730917923,510255.742395334
Indole-3-Acetic Acid,0,17673.9839485016,0,0,13073.262529594,0,0,17166.8759783738,15282.1366472346,18559.093151587,61033.3494311667,43447.2687716808,0,33660.4446181886,20127.740179365,9811.42258489582,11088.6726006613,24804.5330038347,11204.4884249857,13872.0762952581,23598.2920683065,0,15769.7573696218,24473.6107226764,0,15747.9644433989,19456.1337291096,0,15740.6281578284
Citrulline,1577211.75004222,702089.384573569,1097967.92787142,1071815.15676845,593629.19833583,678936.954715261,771042.071946369,3339642.60445869,2774395.38862567,2903892.96296195,2472508.3263122,3277574.7934581,534706.522152286,949033.167052113,755215.414650376,1888464.01433829,1845518.76847048,9106164.79980693,1375587.42220065,907625.219358481,1212093.60097863,1237242.59286874,2770662.60861293,5222919.86172938,443032.041628554,1145862.41920449,1647424.47489185,457217.119709112,547623.345824552
N-Acetyl-Aspartate (NAA),0,35762.7455135709,23722.036214895,0,23778.4922208561,0,0,21041.1296996742,0,0,93313.9154885631,24081.1170446221,0,0,18838.0704627248,0,58997.9836553402,13442.9675968681,0,521006.018909641,94523.1632701266,0,52384.6179371028,0,31322.6022837612,79065.9146477214,0,0,23986.9789310324
Inositol,5027011.71027443,4491799.82065122,15095799.8532325,3605149.577283,2760738.17212103,1795548.88370313,1996924.82205362,4388151.01916482,6053746.13148163,4470999.63312574,5944798.88691814,3915711.2100605,11113628.1735681,7296756.40525247,4043435.95360938,4052714.60595078,6006700.78179213,16627975.1799128,10344273.2777346,4674138.81940398,11873090.6656753,4567111.11452794,3044352.39769312,17506429.7773063,3322881.47025821,1717263.44159874,13569150.6326718,1878914.4902411,4039539.19671918
Glucose,512791.25691239,1540270.40032556,1383893.71149764,373129.914597756,491126.648668008,0,353865.322871111,319394.266676712,507954.405829083,490296.346729391,1747030.47991577,883540.90411967,796032.436570302,1963640.37221678,996540.507177331,643843.364494087,814188.640627824,1771942.74381564,1276360.43648032,905548.175600391,1497770.3888624,592141.143566575,425735.717370514,1854357.898368,545387.036035064,642952.58334801,1135850.44681341,220095.164614004,1134459.68778183
Sorbitol,22327.2785472736,1848254.60092256,187860.669535455,54998.6959808887,160874.784151021,572556124.842835,123902.518641243,176895.681567931,91158.3167558864,47889.6766989375,406838.707040353,142136.599540413,196954.235988052,384917.61227495,179119.408857656,40376.0876939331,99178.9162075184,0,0,146997.246253456,114055.336438635,127213.741854835,148853.210322019,581271.751956653,171989.461536626,617230.575980418,46813.8024579302,106251.690593864,666069.574482659
Mannitol,180565.743649361,49132.4551574622,169860.281922612,128985.534454035,27098.4630738982,43541458.2769295,22289.996972266,49688.098630516,104469.900079647,127140.082587548,74936.9986766066,70551.7419750181,99635.8292957292,136536.595006721,80528.6900355076,90947.3884078951,22814.6615435522,301130.224321044,314096.602295193,50927.8596902125,236303.300242781,225396.500377565,23249.8146143526,247136.852343093,102636.806292763,22129.1281603535,365439.376852597,56492.2950835296,18395.7946077686
Azelaic Acid,1916957.96184565,2024127.05564572,3206367.01282374,1747186.28116909,1872515.42634523,4807269.69098282,1746058.09370657,2099672.17623689,1886918.16164718,1477046.56267308,2567134.8892256,2000877.87124515,2032148.66099243,2617828.0207181,2885786.44032402,2189532.14410546,1752144.58880706,1492748.62980742,1780097.9704859,3787859.88454044,1953635.08188962,3292425.73527825,3049948.6428622,3167706.03340905,3493553.36056204,3139267.12465205,1433951.09425974,3427312.40055337,2145059.89829287
N-Ac-L-Glutamine,78905.6687908704,92182.8171208047,597413.774995471,63377.3914400899,73506.6842670086,50724.2759909904,44590.0738911505,93575.5863995707,120987.581071068,92735.3616098971,196972.451814016,124370.936101669,271709.905109267,188278.538647784,101572.12664293,95256.9302870637,234577.588188812,300594.193531457,52357.5925557706,108788.6630324,157596.159505877,118033.499062129,96747.5979338961,416672.124477208,87635.9461414637,66456.0832075204,202077.441457495,55198.6005875346,169844.615972129
N-Ac-Glutamate,69853.043432383,227865.916568718,260638.473894903,49287.2380728688,105047.384172093,89449.059754477,100286.178464485,582329.726636928,253940.436151573,114365.894674452,324988.568734058,166273.847167916,167301.793197886,266761.020553878,104512.894266023,58459.2257133702,1017471.95023505,111294.14790134,0,703716.167484143,335363.020062415,220833.004311518,292566.621985114,544579.954731287,66056.7480908079,231872.325626091,208962.223318111,65611.4046898369,207971.102858567
N-Ac-Methionine,733843.925023752,1051018.6791597,0,785630.092235774,548269.538325039,471734.517672717,0,580825.162403843,1264819.55093591,802931.650464521,1374210.47709835,1154829.08885503,0,1699754.51234221,979404.361586172,690642.52302636,0,1672488.37203284,887771.316550549,597881.455852884,2202822.81620358,938332.959773435,661250.900747757,1852990.72959728,703231.538180975,446057.412940407,1754313.66454877,514765.750409065,0
Glucoronate,279270.378851654,297476.114119257,769115.979472546,366228.855637737,307070.449135127,204118.830939185,154110.157391559,358518.840276508,503078.653084962,226835.454469635,475987.91717942,542734.376168613,546238.93762633,877653.177104171,308192.952637116,343723.759273397,326924.857365798,54474.6720869985,0,512553.685390901,933595.94097934,250977.770324885,199533.262744778,47888.7306099473,319070.024389098,318098.432751612,52683.9660106848,188628.124846724,277793.565012984
Cysteine-S-Sulfate,0,43229.5010226669,154487.548837675,0,0,42072.6417069928,0,0,0,0,0,0,0,26633.9082119941,41316.1845025034,0,62718.2253304861,0,0,144842.019577098,0,0,0,0,0,196943.89762105,0,0,143328.820911239
Xanthurenic Acid,52860.8123520842,71598.5062343718,306320.180588049,164027.188170553,36643.4578552497,32011.2141182804,41823.1871062558,82773.1272302184,180079.415573997,157654.720395365,36602.341690047,125828.819934704,122354.933281626,140639.322031774,116474.648971062,179809.966209345,76413.0582669533,166001.292073969,0,62154.0938839022,54658.563981087,137404.701766685,83902.0017087001,264781.565736223,100188.644479074,52017.2758154627,259719.400216963,71338.626594778,37440.8934648466
Pantothenate,16542788.6342425,9580462.91744313,46429993.2183911,13223950.0188182,11824239.5452322,7951555.40793512,4800433.98626812,17332411.6553946,26286010.3900091,12445141.0751109,28283809.7684235,13337714.9075242,33177046.9047791,68348207.7365637,18574646.7998053,16768481.2611327,12486695.5242293,111905119.625078,57158966.7321609,19920159.4147909,45272541.5582175,18509831.9839573,10114137.3890205,119284919.081924,20698803.2026992,13419610.7139326,72625959.1395335,6921346.66403994,8001376.19738843
N-Ac-Tyrosine,217303.825262891,28604.943799022,184270.239111368,69063.0025860609,25470.2112433851,33620.4999457516,96631.5417625267,296333.798151138,342546.583541206,161048.123837101,113811.345088336,135704.307830749,179715.997126529,219090.80355283,78642.0575722586,80876.801516758,0,55905.4442708054,52546.9990582851,166621.485452399,163863.297214231,247627.322644267,346859.864615518,345752.366056308,124443.363680568,50532.6486743311,144233.666968958,50190.9567847205,0
Ribose-5-P,1014229.79242386,112645.766990698,0,1006239.28547492,168023.526792699,228133.393927153,0,81381.9175541017,226557.495953657,508268.405378864,339640.909213953,152474.860502896,89095.4729090095,394317.100910436,95341.7571646449,404980.728780477,0,15542.1373942497,73992.950604097,251804.218463724,58902.5091306429,773211.468617006,230899.493543183,35531.012786914,474349.726419677,534758.551745012,45302.8836511931,343407.703060733,216401.701381037
Ribulose 5-Phosphate,1574428.15354673,124915.665358472,45228.6116438803,1961381.75577646,311142.984840405,176412.710072951,114099.275554042,332193.573105227,895394.660082762,1529562.87727369,802265.597494426,257881.041142018,111752.25514552,719390.675217476,458696.296040278,1087988.03661719,10096.7631145632,0,0,1013826.94308125,270493.18124641,1909523.31203821,1061635.2902166,0,881318.269769311,670881.207824899,0,696106.404569552,162253.412103605
Thymidine,74357280.1071804,51655833.7636856,122725276.382146,9344197.12545048,67409705.3452882,24027952.5907436,12301612.41082,73843400.908135,60913284.9241715,63888274.3511147,165757713.251933,71112833.395494,30150432.6670944,82173803.6550729,9404306.98812942,21206583.2530413,120131496.743467,85642089.4918258,13078775.0376294,66916019.4871449,83762173.4233846,84812874.9055576,65185540.9019726,151619341.06998,8892573.57882958,14833614.1965831,14299019.3385294,11253403.1650522,35035220.5529112
Pseudouridine,175448.288496677,1313695.90533223,3239149.3611063,291869.057389328,1001828.47037095,360217.221483228,136633.394242772,509181.417332739,475863.589850888,175149.8426144,791548.382377674,415855.500020388,943202.72291849,1890154.31840291,525408.81700762,160308.334923506,874989.264690784,326485.631778695,56817.1289465573,429229.010124648,1012818.69867993,297807.101863064,315497.762726852,1255535.36884518,220981.427435197,159510.618624396,322031.21961879,210668.019687051,800519.478898025
Biotin,10902762.1185844,9800839.61562355,21659850.1416778,9063803.19323225,5003731.44572529,2760873.26849889,3724756.23040943,8920286.39168079,16945078.5973916,9143285.82967076,7045819.87858833,5859422.83687066,11412729.7059523,21304246.8947151,11137789.9514351,7970404.72851566,7745524.60283019,30762445.1088351,24357975.5857241,6178958.53183716,23627972.0914815,15206409.5761619,8231917.29733297,42037769.2893343,8213297.75607664,3738063.2806728,23665612.0815949,4876189.62519496,3340067.4077342
Palmitic Acid,148615.472741354,167947.473928118,143758.636172161,139918.785957117,135876.578203565,111856.343446426,86862.5748745365,167413.029092187,125737.171289024,107432.102076317,179204.403183731,162409.795132065,171434.01718494,215322.990276401,122859.06467161,149474.562207851,194386.450861399,57041.1638103884,0,141287.194747833,69504.6867951918,129833.49285012,133209.730513422,59215.7627402462,143658.518134777,137895.03550408,57223.8628178499,128498.650974207,168306.416458421
G6P,621958.108190653,51166.0711730644,0,349187.612242132,94111.7171179621,24286.5896423017,40509.6282304101,90588.5538943869,143784.16369622,787698.902905077,414119.501147781,77213.5606655409,40321.3400661819,231305.047592764,93380.5821399526,348355.544122376,0,1238762.95617515,2183278.68653561,335435.115216374,215804.512009428,526450.708817594,278148.7412591,3810694.97202094,470951.124581589,178326.429721144,1687350.1390344,145070.863060469,29944.923320585
G1P/F1P/F6P,49728.3426303595,146072.423799746,71832.1792577325,0,256367.662702263,58896.7849723544,246802.913229877,442518.935662003,0,2659145.26981125,925387.381207334,275305.577671754,54506.2729817419,546775.870241679,387055.355294979,897022.994420302,0,108978.078470756,147999.84345758,1263257.25939718,0,61361.2486179619,909089.279278258,279598.181516266,1303696.52537437,501900.231293235,110286.892723986,416636.332896907,140973.88449945
6-Phosphogluconic Acid,22464.7584726978,0,0,13669.9761072749,0,0,0,0,12809.6625576388,25001.9076490117,17943.967503493,0,0,16537.1429101674,12496.6065282924,15023.0931332364,0,100388.362159404,179655.259049935,17112.840797612,0,38460.5101553137,0,193949.914951568,15696.9847328335,0,142045.782965338,0,0
Linoleic Acid,97145.7173474113,212150.715047086,313011.888555156,102811.69443073,121441.495069507,85211.523587441,21018.3069839161,59595.9587986525,84775.4601689097,76025.7655987141,165603.45532821,113901.455048888,81277.6869837224,104833.143301964,84324.5285724659,130610.292585419,224889.669063178,75441.8617289627,11215.3498999066,74895.9729240063,146176.219555894,79414.9784386295,35193.8803495852,20090.1873259626,98350.0925701393,58222.2345114673,69793.3731846825,80996.6347234273,222603.930534466
Xanthosine,2181484.17657216,1689000.62880224,3489304.72466992,2314597.85287481,931302.902438746,556033.378482977,733839.970392722,2025455.98645155,3906779.4271822,1960173.24340907,749451.403359265,702127.910137636,2172216.59875605,2664859.2880574,1998222.294943,2100266.86846321,1259687.13862729,4677485.48738095,0,731202.041192139,3844811.05628773,2881662.48060793,1634710.07385867,1581749.15127996,1318989.92308412,378225.643427325,4743333.13036373,632074.029080053,744564.427889888
Sedoheptulose 7-Phosphate,153074.581343117,250355.260473684,0,122754.106014232,1219189.29460397,202900.083416758,69055.8962963159,39445.1473234114,59903.0510930658,233318.674788697,947592.2432068,0,0,80234.0544199053,48090.7661033554,137269.621131458,0,550790.389131048,1078235.13451592,117097.658257137,70987.5475781736,206652.701945348,322429.431372489,1115174.09499561,138984.760624543,1657241.31716191,777625.928917193,183289.614137185,375012.54298768
Retinoic Acid,581576.483463291,603274.1530194,576124.393227357,697834.163204306,966913.286738455,463442.183623762,187835.702397774,884087.543004384,974647.091174577,813565.151613871,1726302.95491149,1044978.23030797,428902.841563396,1267397.73936455,631734.44687999,843405.250960955,1284466.67963003,535711.514953528,33004.057978412,977100.285206576,1180128.12939295,1220667.69233326,904547.38315135,468571.873387519,660132.948780011,547098.843142507,194882.332121162,803277.717352613,454170.423026467
Arachidonate,20123951.45863,12050526.0071726,24520737.3150391,13830153.5751756,8370244.71593783,12413826.3631536,3850656.89157997,16488737.9511401,20136147.2531745,12676389.3206615,10911731.8258542,17897948.0106285,5145371.70069982,12891110.4811049,11950754.3127945,17906416.0367613,12578014.880968,13149507.095338,1387322.65671568,15249309.7808251,19257144.0112685,16872934.7205921,13415440.2487318,8018794.32700502,17297575.663876,7910441.16659484,14248461.7979017,13539542.5770625,11805549.2887616
DCMP,5751745.2752309,1260086.5091893,2493825.12489018,669843.695144505,2880678.0958479,2155181.42830557,338794.533046173,3550054.63499325,3141729.78043598,4447235.39561349,8201251.27825266,3466567.27011971,1249001.95299426,982081.621057118,352499.129993601,1224853.89940105,623710.850895977,0,0,3872314.03497717,888155.059867119,5270989.90094217,4047089.52804525,0,576131.711107657,539221.457408876,0,760458.884181891,1557817.75774008
N-Acetylneuraminate,17787.8613843548,6800.42567798147,24780.3178738684,15845.6076773657,0,0,0,20270.8029125428,12645.5873342245,50610.1423668074,12522.9802903501,23313.8441568549,24961.5937677457,6933.38290789262,21954.6074330714,34410.397604162,12436.4172034962,0,0,11330.7755152438,0,10717.4637432102,8076.04634899328,0,18173.2906532657,14591.0469873238,0,0,7632.69423739793
DTMP,15659117.8568039,8039385.62682987,13736458.8800917,2007924.35023354,5043857.17825838,8460845.27497404,1109001.84633451,5332230.68993105,7742927.01056768,11946338.3597143,19549052.8309274,11572998.6952198,2309131.12686794,2241493.85850896,575238.530509297,2430018.58609497,2108320.22917221,19995095.6751059,0,4092036.19416327,3172441.55715605,13921648.3723441,5960796.83742659,63298633.6292578,959409.321802712,448408.539820021,3137767.14137737,3147661.54926883,8573227.64865327
F16BP/F26BP/G16BP,24772.5655226302,17152.471347917,17849.2517084659,33974.1329245193,0,0,0,0,24853.8863391522,27048.7676309833,20797.8842750213,0,0,0,18465.2638184146,18365.1086822659,0,24327.7977490139,71502.9745696101,21555.9515512583,0,26675.8929378117,20473.4002391969,39807.5067708599,0,0,31622.9449090927,0,0
Lactose/Trehalose,825685.849636174,13670783.9216531,1925737.97713711,195684.487272271,152138.833547056,248157.22200865,56099.2928413079,102146.341425872,710955.599327776,956132.832549686,517591.396007059,412373.843696871,1435861.28582102,2911947.02470611,5219003.46518203,663780.334659618,152671.125328016,871046.844726859,1007442.4717264,713994.464883558,605904.629611593,291331.132499251,114272.440384997,816200.460530709,476817.649675541,458155.07086071,2078012.91028076,199500.350428586,2746140.11344099
Sucrose,666343.638684765,1045650.39881928,357001.552975759,273957.842912436,272112.997259383,558784.227949162,160339.462455724,169173.686627779,268459.333688702,541635.499578894,1105106.86880672,802703.718764612,402567.663501016,1347488.14254645,1269271.71321791,576352.532647013,254374.242758303,400958.050158437,456112.055758429,464908.097730362,367541.091720576,363105.049417875,349639.049160612,760927.35692365,148118.205924892,357894.031892143,788787.637881651,437383.390969433,251836.47002161
cGMP,110690.089638345,1762073.0189266,1233988.01896731,501006.033552159,1365427.97062039,1749861.83868786,185244.341325649,177330.965806236,140439.81105983,197286.532526429,183997.085980933,136056.0686952,184732.43674316,79641.314497575,153977.443972366,153119.913090456,299295.012754376,139145.994008208,163388.11850174,75949.4189931783,144058.917649463,326546.663565461,103231.640222844,402933.879563391,553492.321410561,191647.890682981,200801.485005551,774879.53082891,2118328.27178458
AMP,188905.108298377,1702521.81918451,404235.955386969,568422.794203949,134106.924278684,1059015.00626719,97667.5704656535,0,80636.2780581794,79366.6471929087,0,87371.7398976068,188548.965084493,100238.292912202,376028.788986415,73033.379646885,23345.3113666519,0,0,110731.328762386,0,0,0,145193.705614784,462235.44011218,36263.8208100534,2830852.95210496,230175.098667276,2771458.14242228
IMP,1004751.32922582,396381.601368513,796024.357537633,0,304176.57582754,487971.704939536,187656.574301562,280227.32880893,437268.580001157,600595.777468758,697246.102171621,514087.367199087,0,0,0,139238.241041524,118942.057061585,28034.352255541,0,380809.629779079,331801.535460766,990331.931054618,273830.882638495,303761.869727736,0,0,455147.43590528,163592.885068907,592332.071528335
PGE,148199.719509635,199310.811532765,1261333.25703359,116965.179043395,79498.3648288422,81576.8458634765,42290.8170095952,110981.091519365,170665.141480665,117162.686604635,222796.796065033,172957.688784493,100930.745454729,216075.736338272,68075.9364765225,129319.901017963,184034.057935524,127699.926994896,12358.8697608923,126538.109461899,291842.014550668,137772.89572933,93518.3937796934,193673.756075687,131507.145660967,65642.9965592703,108278.565250103,86063.8595419547,81319.5875382901
Chenodeoxycholate,0,12192.8910963709,34556.2234387636,15527.6935683243,18613.3941750205,53136.3901127216,0,0,0,0,28936.669751951,25252.209508117,0,28688.9661417487,13062.5354788712,32914.1868624633,35985.8028917344,9154.51638336622,0,8489.09220382779,34048.8608648114,10735.5095553462,0,0,20864.2444612176,14000.1231123475,8740.56336658718,16206.7820563408,67684.6474399734
gamma-Tocopherol,48123.982697825,55788.3114724203,59901.091762018,37940.779451943,48815.8484534859,39789.9389304441,19167.4638425421,48108.9558600311,76658.1584185505,50493.6355791719,123860.330857581,56368.5846224798,15785.1154659971,89149.6091855074,37065.8749564483,54041.1897651433,85364.9052603057,37557.8534845105,9726.26094180158,61320.2968519438,74196.4134442105,47884.6419719329,56645.5832071953,42748.3913014779,49335.0382011696,20815.8821757038,24541.3943447682,34556.3846904503,25867.8312847106
Adenylosuccinate,759747.689644526,265665.185081074,339642.873450734,1136579.1397022,490643.601095326,518883.015296155,82285.9802679914,485079.434227445,861601.298536508,929401.941696746,848340.742296706,1104361.99570996,157323.862227235,661481.448070812,700625.944397707,605919.295977937,174202.821800604,946920.146434289,436972.617326007,812128.788425789,409314.176311894,632088.775094657,486608.604174156,380848.457765473,515777.527910197,330443.895656459,828303.947896241,771052.029614736,325439.745135002
Cholesteryl Sulfate,0,25869.0279446774,0,30532.8191500591,0,23942.672659652,0,0,31208.3485811877,0,0,0,27387.472225064,97747.5273303737,25374.0419825684,0,30043.8262710331,0,0,24723.9553272868,43874.8888897977,40834.7443859273,0,0,0,42843.8146745244,0,0,44080.9381642745
dCTP,0,8314.02968312376,9360.07529077107,0,0,16632.1710300408,0,0,0,0,0,0,0,0,9628.90506676149,0,0,0,17559.0935577434,0,0,0,0,0,0,0,0,0,21280.140951138
UDP-GlcNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxidized Glutathione,0,0,0,0,0,0,53059.7488779487,73552.2724425522,0,85175.6603340311,0,0,0,0,0,0,0,78622.0432237545,167067.749355319,0,0,84183.2815869935,93591.5157938286,405991.552995256,613102.213600811,227649.548468275,2641081.41386803,0,66618.6917625482
2C13-Glutamic acid,53883471.2585314,56895293.3284391,49772057.4576019,68508111.1587374,61160569.4686288,68179825.8962209,132182.772844745,58722452.7138989,55933980.5504892,54759334.1255583,53767952.8951531,53637022.4409736,64575414.182471,52333160.4097231,64904787.816319,62540656.1509899,63048841.9137807,94173238.6826223,1113836.63959564,62889589.3861171,120273.201043743,54733347.661149,64214254.092928,91555843.9506228,65000926.025546,75834022.4879716,93038989.6399047,60509508.3995478,70290890.5419646
2C13-Tyrosine,127262.056205874,306661.198889175,169104.928845066,138622.789618591,345675.385793039,349844.92579322,199652.423654813,222538.519826338,110426.4113834,210068.264402014,256401.453380602,208975.720921758,180496.164624196,169728.940217294,166116.455956235,194894.023678608,283375.934231391,127314.517777306,99211.6244913472,191931.690251832,146098.260674197,123793.243787533,199938.639040655,105930.256400327,239822.996976764,339927.476565764,131577.746805088,208392.968198453,401841.829951212
3C13-Lactate,3265943.57588968,8012297.79315118,4222821.42097013,3775265.62084078,10347420.8802221,10509436.331126,6478210.970327,5208041.95186862,3387612.23334491,5208996.71528644,7088450.29826353,6678577.99865358,4211208.03103592,4895254.34359548,6142950.99070535,5382640.37711255,10304962.9411979,6163599.48428405,1712341.74724212,6299380.33268798,3555709.65074708,3475905.79458774,6677485.40555445,7426226.70891787,5868695.88543842,11449625.0700666,5723464.12955606,6612663.92024663,12281056.6065991
6C13-Glucose,3157463.0991415,3085308.97432816,2588829.85474081,3283587.17413996,3650632.2369577,4719208.70623267,0,2018902.73310958,2102555.12821438,2844164.78199726,3280853.68916963,3594204.46254057,2703119.08102364,3128154.13254346,3930585.46450513,3693085.42549704,4594823.85737438,3431505.65717199,3950435.08501283,3457108.25544708,0,2064750.34628379,2598340.95831496,4798074.97076645,4069424.36097118,4750291.40446934,3447057.77366481,2551663.97111053,4978791.5056164
Cytosine,18740091.7635636,18622633.25341,46366630.1396004,266893.430838517,650745.038902536,174000.771306706,0,0,129113.549688855,301503.857941554,630222.804769179,532838.683351337,12857497.5781569,14481546.9948354,2658636.8176778,3637829.02125502,2784541.75493996,7840318.2757225,561805.318928653,845862.631521447,409477.851798283,254619.965094909,0,1334288.75446683,323094.850710935,250815.681589951,165558.290231112,276153.520239398,0
Anserine,0,0,0,0,0,0,0,40601.044576024,0,0,0,0,0,0,0,0,79698.6163199575,0,0,0,0,0,55383.7563696125,0,0,0,0,0,0
Argininosuccinate,0,277140.828795832,85481.3810766326,442325.598511972,69697.4927275258,25224.138905976,56812.0993854958,41798.6431846026,0,58226.6613963733,160395.208870649,32248.4783178236,0,25290.5841472163,12777.756003746,41066.872176659,248723.407949082,0,0,79587.5139257992,27143.4814961116,0,197153.77744346,0,19604.0778901165,130876.160976,0,56051.4789635411,55371.1810175882
Itaconic Acid,712401.118961023,0,455475.953750231,466322.340974663,621791.381294395,485334.176724171,440237.951356552,1034418.95824558,1136247.88818973,726799.773351348,341640.243027344,842529.410054954,491853.181472228,854544.180382832,1079759.53134456,824717.601670199,553683.123460982,1980702.06861695,0,1033187.11829659,2394743.98569886,1705534.14921116,1023524.49514699,4289119.08306556,767829.881555267,655907.478938012,840679.800715807,0,631205.61648013
N-Carbamoyl-B-Alanine,0,3617.1436895541,6262.33128129379,0,0,0,0,2919.23143169597,0,0,3774.88875915146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theophylline,0,27689.7425253573,8696.0521722296,6116.82337574433,21692.0275808169,0,0,21940.2621539171,0,0,107962.329123014,0,5295.17305903124,9887.16763557754,0,0,16785.3912652608,0,0,19100.647010655,0,0,11646.6022772075,0,0,20801.949535594,0,0,24827.786545827
Cystathionine,170879.167621469,28369.8206234162,175336.806178364,50735.930996237,46470.2238002703,25702.4425662237,0,32288.944327317,95190.5270429754,57966.4869405962,57112.7794048608,70099.661634149,21878.3630581767,90723.7991383502,77092.6393471492,158894.040706763,38403.092695171,286101.793871421,160903.670486493,52263.3455559828,134536.333684221,40328.945008526,23080.9340997519,182933.292671638,129790.919583894,30106.6813803732,226605.613892859,42938.6991541027,0
DUMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2N15-Xanthine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
