,POR.216-TP1,POR.216-TP2,POR.216-TP3,POR.216-TP4,POR.236-TP1,POR.236-TP2,POR.245-TP1,POR.245-TP2,POR.245-TP3,POR.245-TP4,POR.260-TP1,POR.260-TP2,POR.260-TP3,POR.260-TP4,POR.262-TP1,POR.262-TP2,POR.262-TP3,POR.262-TP4,POR.69-TP1,POR.69-TP2,POR.69-TP3,POR.69-TP4,POR.72-TP1,POR.72-TP2,POR.72-TP3,POR.72-TP4,POR.73-TP1,POR.73-TP2,POR.73-TP3,POR.73-TP4,POR.74-TP1,POR.74-TP2,POR.74-TP3,POR.74-TP4,POR.83-TP1,POR.83-TP2,POR.83-TP3,POR.83-TP4
Ethanolamine,459360.249016317,832675.958547503,600835.352091279,164141.381948132,171442.402048562,133832.481406354,174896.00716551,261059.429236776,94697.8227376674,151348.010640014,149128.189624181,160250.318182598,277974.730212132,148591.877825525,217081.811566099,185612.385686073,299759.241825391,69107.8754077787,467243.578432647,239200.976556806,172446.188826592,361809.262463974,79088.85905534,434930.781875482,46917.1045248091,118723.452416124,127396.692616456,186022.710477678,74427.2835664625,618589.691301837,123184.648799954,124830.818748098,171283.454459297,181386.213425314,108104.274153635,65855.3001539824,91570.5955380604,242620.942845789
Glycine,711501.696946035,609986.852166321,1550201.36945846,523336.705277325,359209.533598561,263783.107821422,563205.267391804,501536.437181111,511275.754070299,362794.232408844,430938.744027405,327243.661809328,745085.226828553,456351.407560371,760037.470422526,404955.061744303,496680.659556555,355685.865430897,1255817.85422614,339097.78821815,282781.875561238,718553.660298575,349235.989306954,1936989.76201338,338423.034115375,475184.727429202,313016.602468201,205711.082957614,313577.567207173,1328929.95641556,307802.825814038,300098.175206064,596707.730618611,730791.493684336,478659.424023101,146835.833376599,318158.100037234,894599.483383507
betaAlanine,41162.9678324713,92336.5602019151,132329.779757425,45756.9473215298,0,0,45540.1463845842,30135.0384818743,41321.1670372219,38654.3327803521,62466.9084587917,0,45693.4450254341,0,38720.313504129,38846.0964049631,48849.1191139399,0,107882.844109536,54469.6996844757,105096.837282511,108199.137477619,0,716442.469406096,0,28663.0245528079,32228.780025642,0,53318.6865578881,119756.275895657,46805.9579689052,0,41916.1607084239,58945.0523775206,34370.3081955054,0,0,58876.0632552946
Alanine,3822812.00408957,5039601.5205723,12623253.2406702,3657934.14825442,1613140.90681052,1266070.48624581,2149305.0032568,3728940.52766661,2938424.11341173,2212484.23122049,1724127.41467118,2048421.70421591,4974806.86123291,3202093.48937698,5967006.43357508,2099223.96414263,3247294.38408196,2640581.42007852,2899717.38672304,2430816.58393706,2075725.48630254,3519177.31233609,1846805.01560699,8194080.36354438,1906622.28431411,1727327.73825085,2019328.50753825,2049197.90825215,1719127.97845831,13145277.3611042,1663862.9400927,1320583.32186245,2981891.66707754,5643060.21162944,2252569.06748423,903009.264554097,1953125.81233936,6568175.49587124
Sarcosine,20585.7497080235,82066.429175629,23981.0982557344,109386.319843694,0,43014.5673763431,59343.6450507684,68259.6242659303,43879.3397812157,45750.9652815738,63800.4570143177,39213.1532868965,15083.0252412771,33486.5807988476,14552.4173488687,61170.959453907,95186.0621816999,64242.4744464477,53703.2034468115,0,56494.3935151778,106014.694366512,37891.2214965697,30386.0367570317,31906.8318141883,59975.5279827291,29345.0138122679,11817.3752158517,42514.2042053156,37904.7543681507,26693.218616991,62099.5433187061,86097.9983101073,99304.4040372024,0,13520.3633718284,16754.2560276165,23023.4313435972
Choline,112812424.374214,138239407.912858,265415490.794736,90638089.328079,65144254.2629002,64041090.3072469,45049559.5139859,79267457.487803,38909196.059145,64151018.81996,29230530.4241415,42816961.9482893,87157484.1952176,30816648.5820394,88250511.4558974,73432916.9573482,87548139.738074,18612015.1365586,100157202.203585,83418797.7575854,84036219.6572348,104098496.750853,66788046.3343662,87959422.6828753,41278052.1905189,92860870.4333405,45720089.0410258,52250114.753218,18961443.8809593,199801944.909012,70047949.0165836,106566595.233773,104967220.849489,63341857.5680986,38203125.0042859,22695047.7549808,46027989.96627,172346754.201188
2-Aminobutyrate,77719.2000343414,621063.341051164,73176.267659273,183430.390496094,0,83396.3987816949,118194.150715729,340690.529141376,103484.095929135,145928.248744515,94776.2957559395,138248.049002976,86995.6009216395,155458.540855887,94727.4435629418,171694.189695501,87030.1250379783,51861.060213,97441.106921411,82838.7813065364,76074.1481975558,158544.461353703,82979.1213295514,78745.2124561145,0,85438.4261145105,0,180802.81715805,123681.262494295,65890.5219419905,0,80561.1856902823,127812.572737501,589954.938356476,160079.614612454,56608.0164883617,109018.842063939,102247.762588144
Dimethylglycine,81430.8181614887,107398.535091911,156924.067676408,97851.23931469,86722.2967282412,155261.290819978,74217.9651181321,92710.0993099405,0,80139.0464688583,152774.969641246,221603.344126861,152914.450091619,105766.851185435,106531.947548958,143716.75705672,68888.5257515508,108862.481438146,53019.5870523843,117294.781167625,110825.140021559,96303.7231465066,272247.106570761,90592.0365470582,157526.90496698,301665.849218408,120721.120016345,214562.457234807,86095.9832370064,95129.2052338815,121489.437622846,155992.928107082,108658.164358364,103014.580708434,64240.5570213803,60445.9122923102,118003.225934037,135953.051766949
2-Aminoisobutyric Acid,59148.278733506,53981.2193399205,78395.0644579951,95867.2029589613,18558.4596481722,53509.1719895294,47240.3391175188,79964.4604389902,2516176.60241731,50410.984174922,34312.834315724,53951.3522272582,31593.4818646652,34638.3556955359,122562.402028991,35144.5138838042,49259.9005428152,48704.1189805299,326097.892804143,67384.6311953253,82948.7360937221,173162.47782324,46870.0737975767,168678.65290965,59226.9377152813,38981.4547887913,39069.9827693984,34052.9932712237,99044.5951289529,116788.778396297,55602.9151764505,42712.4230248184,171696.312928088,126354.4692992,126750.260437387,47451.0339030368,52790.1788363768,60323.8956783693
Serine,10740757.1401969,13435944.3049407,41971429.4666932,9220499.14229413,4210949.76733334,3578157.10613121,4144545.79860547,6686747.92145131,6268107.72793042,4158515.91853572,4751820.05863202,5060240.61202085,13413511.1120765,7279944.38293505,14565896.1142705,4981786.85905757,6511420.91838542,5573039.9334928,16523120.346937,6195460.90166188,6655743.58787377,11141823.0301959,4755330.97167732,7587287.05469664,4123169.92502234,5600182.80134172,4374709.86004279,2670509.34835055,3254724.05513683,36815261.4809695,3578799.89890021,3830539.09891677,8286181.43012242,7814748.05757448,5638563.7125883,1982575.19196487,5930420.51536188,18925843.4862301
Hypotaurine,122163.4506799,189122.601679723,12952.6544906448,114302.111086801,15724.2008283438,69200.0786596039,75815.7964639442,160777.527179005,79870.7587558757,85667.9365413996,406307.092680744,44528.8515956644,37315.7953105382,275056.365622895,68782.7097500345,74109.6785285569,64553.054602599,51111.8264034483,605230.798784787,99139.0241976685,91015.9838777083,450787.228979763,121390.174420624,1259190.44264731,36231.8103856375,138538.588502037,97538.9886078255,110041.344577105,123697.003734264,47690.5414758752,28000.5905158971,85652.797129836,110269.905574825,195905.410681039,103452.101514862,47633.2977637543,102699.160250163,17388.3832464349
Proline,1637559.68498849,2026767.76593822,1141754.0234662,1042535.41758534,402709.548231125,585955.721739459,717971.649816866,1909860.74976387,511052.733919192,642081.060492541,1375986.15527802,1099374.89137184,1258587.5075154,1222271.03198617,1116147.30465812,1237667.40161594,1127986.4255751,1817073.0378395,804773.10281247,1151173.81345641,628137.08576316,1017038.49185672,681650.658675937,1790655.5281547,642664.690071688,926178.062059126,1619714.20547829,977146.50193709,1614925.4582016,2421698.73427515,522301.409271128,770348.053309752,1182799.4587497,2041033.12437411,1702797.06208598,291203.881508459,865942.890953194,824725.193094853
5-Aminovaleric Acid,0,0,0,0,0,0,0,0,0,81647.9469704876,27459.8651156846,0,0,0,0,0,0,0,0,0,0,128612.637100721,0,842997.223631582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betaine,48620719.8173266,67997468.6580281,89282003.8660709,70875493.7617309,45929931.0822145,55521675.9948555,66564182.7744364,152175123.372926,79697151.6137596,39954752.4216968,62829938.7716587,50411393.6993803,76413972.0267527,69514237.8130024,48230108.9039097,53928151.1568605,58583545.6550049,39553719.2664081,157244849.194372,89175516.0380635,98911896.9579564,150286570.707712,95647848.7068016,72403331.0108868,63216946.4695424,107385991.282151,95445019.3458797,85629950.5555032,84183233.1111909,143192048.087318,86775602.7762463,108842803.298003,122258933.44788,114298739.43064,52653704.4454975,32274508.3501017,48532278.8657613,46550391.5813533
Valine,252676.817674409,3343178.81807631,6410457.2977132,2681773.3799244,416154.841109871,1016527.06370267,181883.569133582,1152728.19623481,966190.608672209,1065635.78572423,418673.222847266,1239941.65789247,1303283.42997217,3178296.99237454,722036.621724095,1062532.47493296,724121.842322686,590181.220177359,0,261702.823133531,1339339.6149173,965895.506917077,1760738.23555689,72384.0005520138,1363626.23870194,1139375.7126355,1122616.6949279,1239316.45953832,1323173.73638448,3155779.62885227,264879.521478128,1306462.56840022,842326.250305925,1229033.14000636,256992.304450206,815311.228220746,1580362.98401288,5155475.69439616
Indole,20240.0351374005,213354.611546925,36086.1942677758,14624.5290382104,0,7323.40693226225,0,10292.4453618925,12048.9468287407,13554.0718186608,10164.2599297104,20422.8626549674,33086.6301614,31539.7208799851,9520.99104887477,11277.1495043174,15100.1895842033,17267.8658545234,0,11948.1091850552,13576.6590379923,19652.5828885729,6324.30472133776,193157.178387985,11481.8870624916,0,12076.6334849132,8681.58588482016,0,51235.1464686728,49094.157409033,6965.82201940464,10261.8451403706,36138.800862764,8529.74119962674,28505.0379642805,11032.1256932757,25084.5863012571
Threonine,6065802.38502376,9116396.31040752,20957957.209723,5949385.94947168,2191030.4489213,1938429.33864659,4828431.46925374,6085189.88803505,4129103.8252695,2309796.44139159,2528064.89733824,2179507.24379516,5266677.16179779,4048639.08299193,7654278.68351041,2913177.67491298,4395624.89734627,3897851.47555869,8007088.03754774,3793616.87667025,3135134.02534098,5071918.99826473,3057578.20551222,5808797.67706617,2683601.29994331,3682375.95847131,3027789.01203817,3162750.26911606,3276220.55020122,17588210.1617008,1572873.69866473,1010795.30547674,2276336.27072626,3395712.09822297,3381789.97257365,1318178.24589249,2765610.93872205,9990187.99854971
