,ACR-139-TP1,ACR-139-TP3,ACR-139-TP4,ACR-145-TP1,ACR-145-TP3,ACR-145-TP4,ACR-150-TP1,ACR-150-TP3,ACR-150-TP4,ACR-173-TP1,ACR-173-TP3,ACR-173-TP4,ACR-186-TP1,ACR-186-TP3,ACR-186-TP4,ACR-225-TP1,ACR-225-TP3,ACR-225-TP4,ACR-229-TP1,ACR-229-TP3,ACR-229-TP4,ACR-237-TP1,ACR-237-TP3,ACR-237-TP4,ACR-244-TP1,ACR-244-TP3,ACR-244-TP4,ACR-265-TP1,ACR-265-TP3,POC-201-TP1,POC-201-TP3,POC-219-TP1,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP3,POC-255-TP4,POC-259-TP1,POC-259-TP3,POC-259-TP4,POC-40-TP1,POC-40-TP3,POC-40-TP4,POC-42-TP1,POC-42-TP3,POC-42-TP4,POC-52-TP1,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP3,POC-57-TP4,POR-216-TP1,POR-216-TP2,POR-216-TP3,POR-216-TP4,POR-236-TP1,POR-236-TP2,POR-245-TP1,POR-245-TP2,POR-245-TP3,POR-245-TP4,POR-260-TP1,POR-260-TP2,POR-260-TP3,POR-260-TP4,POR-262-TP1,POR-262-TP2,POR-262-TP3,POR-262-TP4,POR-69-TP1,POR-69-TP2,POR-69-TP3,POR-69-TP4,POR-72-TP1,POR-72-TP2,POR-72-TP3,POR-72-TP4,POR-73-TP1,POR-73-TP2,POR-73-TP3,POR-73-TP4,POR-74-TP1,POR-74-TP2,POR-74-TP3,POR-74-TP4,POR-83-TP1,POR-83-TP2,POR-83-TP3,POR-83-TP4
Ethanolamine,905855.179892768,667414.964434137,848118.957068992,433685.25669709,343707.139549514,458287.918661389,345542.976734784,2457307.13063205,857763.608094882,346004.476251087,1293236.39142614,1053926.40603845,706491.563034936,954455.885150551,424284.070655297,768773.671696238,723747.682591995,4545038.06864113,1933225.70806546,1084685.37165076,1717118.69828172,669177.978717715,1509326.80424694,9626324.77681878,217801.270490934,559561.671970322,5230906.91650736,356096.94782362,364972.946046776,82817.5139360667,154197.149526299,188154.384543629,222857.067318152,186247.152952907,114206.965516873,139592.269250094,178174.092160735,138858.773925694,218983.029379702,171934.614214753,688199.627513433,83877.5149064681,195125.786083236,87363.3456945127,198205.491866425,224585.349706631,378933.046364621,314892.747954932,310906.367333001,150991.986312044,648593.691179477,348202.86605325,343294.817475174,92505.1169187443,339144.36426905,238740.344561484,134409.064498008,272004.152765727,459360.249016317,832675.958547503,600835.352091279,164141.381948132,171442.402048562,133832.481406354,174896.00716551,261059.429236776,94697.8227376674,151348.010640014,149128.189624181,160250.318182598,277974.730212132,148591.877825525,217081.811566099,185612.385686073,299759.241825391,69107.8754077787,467243.578432647,239200.976556806,172446.188826592,361809.262463974,79088.85905534,434930.781875482,46917.1045248091,118723.452416124,127396.692616456,186022.710477678,74427.2835664625,618589.691301837,123184.648799954,124830.818748098,171283.454459297,181386.213425314,108104.274153635,65855.3001539824,91570.5955380604,242620.942845789
Glycine,415610.262630827,305689.04103628,1838936.12226214,289888.257936742,324248.702745373,154318.51459114,246148.1250044,257483.242669343,215835.498098896,196042.200685197,362379.630501855,302988.069661019,1176792.56366865,687585.267502907,252641.565998441,513175.423319569,912885.344503804,1466096.62003785,1085079.23096673,571677.109310952,970427.809604369,279535.061821377,195602.864117009,942110.163163115,234198.553242628,198971.255141629,701087.985000071,184600.688687204,363868.319402672,681265.93233236,1469203.4777984,611749.687243249,1106352.22544417,951495.10179239,538240.392358438,465943.577258006,805783.041730016,900955.52986011,844466.108715789,813152.549675298,1822601.35365241,338642.6616743,812199.286353221,267734.881697888,863252.97934861,563196.425449533,1446867.33213015,1577107.17408951,1601186.13538678,878985.170999974,1060315.52294536,1214499.74845359,1385314.90522286,928296.309529508,1471115.00825388,1279604.94415024,651721.213062341,2325462.11270054,711501.696946035,609986.852166321,1550201.36945846,523336.705277325,359209.533598561,263783.107821422,563205.267391804,501536.437181111,511275.754070299,362794.232408844,430938.744027405,327243.661809328,745085.226828553,456351.407560371,760037.470422526,404955.061744303,496680.659556555,355685.865430897,1255817.85422614,339097.78821815,282781.875561238,718553.660298575,349235.989306954,1936989.76201338,338423.034115375,475184.727429202,313016.602468201,205711.082957614,313577.567207173,1328929.95641556,307802.825814038,300098.175206064,596707.730618611,730791.493684336,478659.424023101,146835.833376599,318158.100037234,894599.483383507
betaAlanine,174595.65422107,100124.00904272,436714.549466979,66660.5449189141,44251.8351969655,59534.1414444195,54639.4984137271,71446.5768062102,103980.971389836,75681.8164903372,86306.9287861386,81163.1134032923,188496.090517282,123581.634726699,125262.115364823,64657.4293058322,53016.2439336834,211377.550995694,154454.388766114,54210.9911796087,60670.7216157901,95129.4155367686,84167.3153910753,268836.30502223,65112.8243086904,66777.0916896476,116958.927036361,73367.4152301439,73440.6937761973,60171.9875708771,120677.622376331,90197.8002769618,109480.255890432,99478.6967447275,81631.6999234979,65827.2548344554,92585.2992846772,79883.9109989241,108869.898619988,82367.8391537861,68597.1100776894,52081.9045543604,97296.1080318614,34367.9867797155,58090.7169017108,71303.5223622603,124290.774952054,105585.118507582,242533.877477162,54480.2426102302,98439.4306968592,145511.151768004,105113.600544084,98884.9512156643,188361.312313513,97466.3158344796,70824.1583807367,133442.727460646,41162.9678324713,92336.5602019151,132329.779757425,45756.9473215298,0,0,45540.1463845842,30135.0384818743,41321.1670372219,38654.3327803521,62466.9084587917,0,45693.4450254341,0,38720.313504129,38846.0964049631,48849.1191139399,0,107882.844109536,54469.6996844757,105096.837282511,108199.137477619,0,716442.469406096,0,28663.0245528079,32228.780025642,0,53318.6865578881,119756.275895657,46805.9579689052,0,41916.1607084239,58945.0523775206,34370.3081955054,0,0,58876.0632552946
Alanine,1930248.94541869,5824761.03185091,27691415.7491984,1223273.84482613,3391439.07958427,2220402.29315113,1188836.16151728,2475635.75427775,2023858.05287556,1093937.39245276,7097393.05158568,2588469.0959617,8784071.98023565,7908021.25692724,1751389.65862796,2573784.4169034,10811454.8281025,6588787.69369303,2861129.28142717,2837207.44523365,4823094.18063504,1589307.52317863,2033427.62709349,5465192.87945195,1705485.86024749,2105214.94937783,4772345.21722411,962550.280108467,6356769.89101251,2597232.43385656,11044460.8275854,4667148.25844888,8337240.65127071,5389687.09779612,2266371.92474329,3322588.56537965,7820485.95956836,2099032.08190556,6097388.19599118,6964550.04926523,17425411.3713013,3311581.23574396,3626426.77570067,1754331.36221463,7367462.47496465,2361173.70528396,15050928.9682804,13724212.3704651,7420709.67032546,4832303.80874345,5511205.21376011,6734101.61711538,5489208.99980825,6087401.13138107,6742929.90080293,3843427.26810904,3926789.90698153,7214327.76676754,3822812.00408957,5039601.5205723,12623253.2406702,3657934.14825442,1613140.90681052,1266070.48624581,2149305.0032568,3728940.52766661,2938424.11341173,2212484.23122049,1724127.41467118,2048421.70421591,4974806.86123291,3202093.48937698,5967006.43357508,2099223.96414263,3247294.38408196,2640581.42007852,2899717.38672304,2430816.58393706,2075725.48630254,3519177.31233609,1846805.01560699,8194080.36354438,1906622.28431411,1727327.73825085,2019328.50753825,2049197.90825215,1719127.97845831,13145277.3611042,1663862.9400927,1320583.32186245,2981891.66707754,5643060.21162944,2252569.06748423,903009.264554097,1953125.81233936,6568175.49587124
Sarcosine,1335573.19490571,1170985.90449472,92701.192516139,41711.9855337121,123276.636281929,42762.9100788957,30074.6872780795,31099.539877173,47669.5166719627,580292.753281484,52834.4192290131,38782.4260745799,100728.632252706,80333.7803379359,62261.2342731866,87242.8639678063,23742.4728673408,2086773.16052619,262068.083869819,167037.184063324,340326.495741618,38081.140571728,22799.192679471,147768.344431141,75308.1758741715,2117163.46816401,828800.826580919,41650.1232411017,79610.9927946432,429111.462999595,728130.906236316,538118.624986904,1551138.42315328,574824.636665485,504924.220128311,600626.083956802,584969.051181229,562012.397517404,482197.178567591,687272.421256838,344702.778568564,181431.875063805,662859.743226278,114085.929722967,767450.950250741,332753.617416964,345265.172274332,207543.991799512,608680.065730653,580346.653233037,1407838.07893863,1258842.59828887,706660.154718884,632198.240193515,481394.935070966,981089.764736566,563995.742557574,1368047.95728617,20585.7497080235,82066.429175629,23981.0982557344,109386.319843694,0,43014.5673763431,59343.6450507684,68259.6242659303,43879.3397812157,45750.9652815738,63800.4570143177,39213.1532868965,15083.0252412771,33486.5807988476,14552.4173488687,61170.959453907,95186.0621816999,64242.4744464477,53703.2034468115,0,56494.3935151778,106014.694366512,37891.2214965697,30386.0367570317,31906.8318141883,59975.5279827291,29345.0138122679,11817.3752158517,42514.2042053156,37904.7543681507,26693.218616991,62099.5433187061,86097.9983101073,99304.4040372024,0,13520.3633718284,16754.2560276165,23023.4313435972
Choline,82361200.7577531,177057397.258862,314295873.734452,78466451.6696057,144081462.356802,136759256.606638,112882774.50671,183441534.181708,147510268.314117,72327654.2764399,220301878.457488,173764141.291712,211642631.620622,213070625.993546,115537036.814578,77913321.572519,341447494.292972,278818530.62375,160321628.797877,150149094.251956,179445803.175391,59828512.8944446,124727227.156417,310196516.022385,98791412.3650405,130459728.164595,225491348.468845,52209301.2120031,168988280.48125,127887660.337735,345244733.900612,213676027.175311,398910060.025156,295037941.499425,157869588.697971,177083658.094913,287036275.270238,115572386.014315,281623968.326579,282341669.328821,439240230.283655,209160044.107645,259226580.962764,82288920.4613115,288808177.393623,148523402.965619,400297527.163431,403878016.652225,242044435.453342,251310503.274882,301738559.62004,297211279.875995,260900131.946737,220062257.556691,266013069.987114,230205407.092383,225732739.903867,215831613.04686,112812424.374214,138239407.912858,265415490.794736,90638089.328079,65144254.2629002,64041090.3072469,45049559.5139859,79267457.487803,38909196.059145,64151018.81996,29230530.4241415,42816961.9482893,87157484.1952176,30816648.5820394,88250511.4558974,73432916.9573482,87548139.738074,18612015.1365586,100157202.203585,83418797.7575854,84036219.6572348,104098496.750853,66788046.3343662,87959422.6828753,41278052.1905189,92860870.4333405,45720089.0410258,52250114.753218,18961443.8809593,199801944.909012,70047949.0165836,106566595.233773,104967220.849489,63341857.5680986,38203125.0042859,22695047.7549808,46027989.96627,172346754.201188
2-Aminobutyrate,143013.032385221,245173.797285859,459974.769123768,88995.4037194861,53695.1294111395,63465.1352739244,0,99910.6868479791,138002.994558469,124872.403709116,133117.091457273,146191.500128328,69473.9334909746,160858.690897285,98322.9096110366,133395.025982025,39538.6288581531,464894.80585463,415768.882141762,74652.3176865584,152422.040651864,128147.999312822,78759.0275221068,281345.644540964,197158.35281151,77513.737262175,220398.346466092,81248.1288637966,0,540965.437904831,495056.703658327,378236.918097192,537436.57076223,419957.682203685,180053.659344761,326627.917616665,530728.366548613,332023.496660003,497697.802521467,367392.960829388,262332.013704189,238158.710872278,313755.201337149,39226.5865745896,389524.761287515,261905.040111768,390813.91780752,505561.724222404,463675.286410195,184971.125957293,353076.919632914,694574.693960899,590613.974683551,334755.563906972,577118.03128856,357878.10569077,170082.316271589,591942.689424281,77719.2000343414,621063.341051164,73176.267659273,183430.390496094,0,83396.3987816949,118194.150715729,340690.529141376,103484.095929135,145928.248744515,94776.2957559395,138248.049002976,86995.6009216395,155458.540855887,94727.4435629418,171694.189695501,87030.1250379783,51861.060213,97441.106921411,82838.7813065364,76074.1481975558,158544.461353703,82979.1213295514,78745.2124561145,0,85438.4261145105,0,180802.81715805,123681.262494295,65890.5219419905,0,80561.1856902823,127812.572737501,589954.938356476,160079.614612454,56608.0164883617,109018.842063939,102247.762588144
Dimethylglycine,98332.2546660711,718444.427642333,290742.549021505,150068.035036849,660217.301885764,220255.567685193,176533.784076854,286751.508710914,164661.75419193,197793.193647474,566606.169702653,408469.502223714,320341.260939399,196731.539760004,235318.346289031,287154.941234038,636420.76157256,161952.570771799,0,688472.22767624,334927.084526663,203287.940373205,208065.62379051,232135.830384597,614220.767803435,1038319.88527761,154404.682234916,197974.617245512,448270.973101445,212828.46638099,578413.819173204,583411.249777566,1003403.66720899,524657.780064946,349022.602122256,1037995.42731864,332427.892152336,417150.369390785,400264.438390468,518448.343556157,438150.712837172,406783.608131022,575039.995548267,196102.249718824,240878.401935216,577208.395366823,418138.248211709,560821.63526035,774645.095869034,418865.899915654,411259.932487576,480267.057184612,208760.303599468,402293.932977472,762850.47136985,585970.719602799,308816.69970065,437057.157542066,81430.8181614887,107398.535091911,156924.067676408,97851.23931469,86722.2967282412,155261.290819978,74217.9651181321,92710.0993099405,0,80139.0464688583,152774.969641246,221603.344126861,152914.450091619,105766.851185435,106531.947548958,143716.75705672,68888.5257515508,108862.481438146,53019.5870523843,117294.781167625,110825.140021559,96303.7231465066,272247.106570761,90592.0365470582,157526.90496698,301665.849218408,120721.120016345,214562.457234807,86095.9832370064,95129.2052338815,121489.437622846,155992.928107082,108658.164358364,103014.580708434,64240.5570213803,60445.9122923102,118003.225934037,135953.051766949
2-Aminoisobutyric Acid,1776394.19511761,137882.302909173,494634.957596256,863832.240727075,71550.0454330479,200084.727428484,464936.668254913,170316.251833533,331334.006462878,1533370.00801886,230285.158223158,206522.033337296,1531321.12006567,404147.520994094,246258.555200107,51261.1070795083,99900.9743259206,677076.696907092,151339.861152188,72592.0777882153,213168.593943122,81690.3088670947,178153.342158659,694211.03390054,68160.1808203415,126837.540517244,455971.305617921,40666.3639844858,108368.556559299,50651.8073487379,205479.290688005,23345.2864766781,326818.215436529,47057.3965061992,30745.0078117496,54781.1997773815,48662.656704116,58339.8422372031,717681.100847071,60479.514373875,31320.1586725993,182097.745306142,122336.448065706,208685.670606267,52106.3109892493,46391.3376393952,535040.198507358,330039.204471758,245835.71228873,63470.7807066233,234991.304160399,115867.364647058,178891.617879615,127319.580610869,125859.135115857,158809.469130483,67705.8283985914,60540.7159944473,59148.278733506,53981.2193399205,78395.0644579951,95867.2029589613,18558.4596481722,53509.1719895294,47240.3391175188,79964.4604389902,2516176.60241731,50410.984174922,34312.834315724,53951.3522272582,31593.4818646652,34638.3556955359,122562.402028991,35144.5138838042,49259.9005428152,48704.1189805299,326097.892804143,67384.6311953253,82948.7360937221,173162.47782324,46870.0737975767,168678.65290965,59226.9377152813,38981.4547887913,39069.9827693984,34052.9932712237,99044.5951289529,116788.778396297,55602.9151764505,42712.4230248184,171696.312928088,126354.4692992,126750.260437387,47451.0339030368,52790.1788363768,60323.8956783693
Serine,4593223.38016706,7945784.78210115,44377293.6095994,4616686.70488441,6350671.80119322,4590679.33256169,3259016.14952213,6380137.59775855,5197541.81227104,2919357.62062636,13832550.8621145,5609978.08284542,16964929.377388,16639487.2721551,4690979.48430183,5677000.17266112,20851401.791935,19433751.4983401,10646667.3152975,6740548.4752872,13023153.3104941,6909362.97256786,4894249.44064144,19888258.2972568,5329239.93891822,4625656.90249905,17701108.670746,2829747.11329251,10756230.6968661,7534142.96655843,33724922.3821719,11963507.744044,22223987.6098268,14439488.3730992,7144323.29284535,9524649.66703748,21302727.2587619,8537619.68246721,19419543.3662256,21311426.620715,51799875.5187815,7762012.35757396,14545160.6450449,4728709.46028273,20919147.6633409,8818672.68451938,46847000.5814075,42673950.8086622,24028610.0165361,15901721.5693719,19869251.9081041,20948270.2990158,22887313.9056595,17028778.288278,19258695.537301,15066371.0524721,11304751.9475775,26535193.2043352,10740757.1401969,13435944.3049407,41971429.4666932,9220499.14229413,4210949.76733334,3578157.10613121,4144545.79860547,6686747.92145131,6268107.72793042,4158515.91853572,4751820.05863202,5060240.61202085,13413511.1120765,7279944.38293505,14565896.1142705,4981786.85905757,6511420.91838542,5573039.9334928,16523120.346937,6195460.90166188,6655743.58787377,11141823.0301959,4755330.97167732,7587287.05469664,4123169.92502234,5600182.80134172,4374709.86004279,2670509.34835055,3254724.05513683,36815261.4809695,3578799.89890021,3830539.09891677,8286181.43012242,7814748.05757448,5638563.7125883,1982575.19196487,5930420.51536188,18925843.4862301
