Metric,Count,Percentage
Total Ortholog Groups,18326.0,100
Three-way Orthologs,10346.0,56.5
Two-way Orthologs,7980.0,43.5
High Conservation (>80% identity),3427.0,18.7
Medium Conservation (60-80% identity),8308.0,45.3
Low Conservation (<60% identity),6591.0,36.0
Core Conserved Functions,10346.0,56.5
Lineage-specific Functions,7980.0,43.5
Average Identity (Overall),65.4,-
Average Identity (Three-way),69.9,-
Average Identity (Two-way),59.5,-
