group_id,module_label,module_color
OG_00686,1,turquoise
OG_00683,15,midnightblue
OG_00685,1,turquoise
OG_00688,0,grey
OG_00689,2,blue
OG_00687,2,blue
OG_00690,1,turquoise
OG_00693,0,grey
OG_00691,7,black
OG_00692,1,turquoise
OG_00694,3,brown
OG_00695,1,turquoise
OG_00697,12,tan
OG_00696,1,turquoise
OG_00698,2,blue
OG_00699,1,turquoise
OG_00700,2,blue
OG_00707,2,blue
OG_00703,2,blue
OG_00705,1,turquoise
OG_00706,2,blue
OG_00701,1,turquoise
OG_00702,5,green
OG_00708,1,turquoise
OG_00709,2,blue
OG_00716,0,grey
OG_00717,3,brown
OG_00718,1,turquoise
OG_00719,0,grey
OG_00721,7,black
OG_00722,13,salmon
OG_00723,8,pink
OG_00724,2,blue
OG_00725,13,salmon
OG_00726,3,brown
OG_00710,1,turquoise
OG_00711,3,brown
OG_00712,4,yellow
OG_00713,1,turquoise
OG_00714,8,pink
OG_00715,2,blue
OG_00727,3,brown
OG_00728,2,blue
OG_00729,15,midnightblue
OG_00732,13,salmon
OG_00731,2,blue
OG_00730,13,salmon
OG_00744,3,brown
OG_00733,3,brown
OG_00734,6,red
OG_00735,1,turquoise
OG_00736,2,blue
OG_00737,4,yellow
OG_00738,5,green
OG_00739,2,blue
OG_00740,0,grey
OG_00741,7,black
OG_00742,0,grey
OG_00743,11,greenyellow
OG_00745,0,grey
OG_00746,1,turquoise
OG_00747,0,grey
OG_00748,2,blue
OG_00750,14,cyan
OG_00751,15,midnightblue
OG_00752,0,grey
OG_00753,15,midnightblue
OG_00755,17,grey60
OG_00754,2,blue
OG_00756,2,blue
OG_00757,1,turquoise
OG_00758,1,turquoise
OG_00759,1,turquoise
OG_00760,1,turquoise
OG_00762,0,grey
OG_00765,19,lightyellow
OG_00763,3,brown
OG_00764,1,turquoise
OG_00766,1,turquoise
OG_00768,1,turquoise
OG_00769,1,turquoise
OG_00767,4,yellow
OG_00770,1,turquoise
OG_00771,1,turquoise
OG_00772,1,turquoise
OG_00774,3,brown
OG_00773,3,brown
OG_00775,12,tan
OG_00780,5,green
OG_00781,1,turquoise
OG_00777,1,turquoise
OG_00779,19,lightyellow
OG_00783,2,blue
OG_00784,1,turquoise
OG_00785,2,blue
OG_00786,20,royalblue
