,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Species,Sample_ID
apul_ACR.139,0.14620572677092447,-0.19575908965447514,0.2620620628692813,0.1756771993262686,0.07537604170219876,0.40932115879495384,-0.05006491720404628,0.16440360406302257,-0.24540962683286793,0.05548215417638361,-0.04336432756379076,-0.07886164313645133,0.17778528939682808,-0.07052673716306898,0.27865073612559593,apul,ACR.139
apul_ACR.145,0.18906340231319319,-0.11508117136035377,0.38213883922389535,0.27551816065798745,0.2689933081151965,0.2912825979322153,-0.07677256812982557,0.2886685521675304,-0.20203642256360566,-0.0343001232496397,-0.019654839271542282,-0.00024385701375346388,0.2349188444016853,-0.16975582555054067,0.17314234672318746,apul,ACR.145
apul_ACR.150,-0.01068418040082652,-0.1091609257519456,0.2867917554729884,0.16285194587864177,0.2909666742072864,0.2749437494772741,0.18269751995643557,0.27781948435415316,-0.22507932289547888,0.02350867650033166,0.1294079902877332,-0.01562835593734735,0.30864196552112566,-0.15135717236510068,-0.054005237597077996,apul,ACR.150
apul_ACR.173,0.11539241592791843,-0.07045953128674912,0.36834472368602683,0.3076605257361467,0.23893730938121538,0.16803038540306608,-0.040141216580114665,0.30276609971943996,-0.2844245680566224,0.04040371886845816,0.02114482302727301,-0.0534737308485639,0.21831465841243267,-0.011913869820451313,0.2364995898997565,apul,ACR.173
apul_ACR.186,0.2196196882844451,-0.20376650818658884,0.39886822594748145,0.33318068366686865,0.25354916117066734,0.4572920958908139,-0.06745884595592844,0.2760694124207022,-0.22807785368180059,-0.06555480134639163,0.1482993115817453,0.017928368393295965,0.3425960008364324,-0.2646410727506869,0.11690542691969737,apul,ACR.186
apul_ACR.225,-0.03627223355266939,-0.0021284294638999595,0.24327464939317126,0.11313213311047174,0.4140205869483609,-0.020889030928040786,0.13773540035146933,0.28599028876598664,-0.1988993892708727,0.08089182461383257,-0.04737251694373384,0.053905547145138344,0.2891995662467788,-0.10184992905463278,0.0491749081874251,apul,ACR.225
apul_ACR.229,-0.08576043201924348,0.001158820012418613,0.1526942868705007,-0.00557679571988582,0.33404533453423935,-0.07360194340718151,0.18986951614558928,0.21528117488988735,-0.179980297148022,0.18334835190679016,-0.14379757098724055,-0.04289811545380917,0.248912174302463,-0.02072671410855813,0.030705700420990207,apul,ACR.229
apul_ACR.237,-0.13331883700197084,0.02045908384704872,0.1614823231043238,0.05803796258287114,0.3705637945190904,-0.06265144092003937,0.18159509512722727,0.2739255493413432,-0.1507477530576355,0.10951290110875521,0.01538427758618401,-0.030656118089823638,0.2888366588793955,-0.05501869550234266,-0.07128571165778075,apul,ACR.237
apul_ACR.244,-0.1355157145962378,0.014304975731260326,0.15119143557760786,0.0639402362403393,0.39170748194041594,-0.16997667677841796,0.16407473016760568,0.2637284426293513,-0.15454259500728681,0.10498083310437507,-0.019349777606891484,0.02485242287515023,0.24158990206952605,-0.010432365606484193,0.00208839466718888,apul,ACR.244
apul_ACR.265,-0.013726002857032814,-0.03230555214174375,0.20458563923944761,0.17958613905133272,0.3398851145883519,-0.0071231638777022824,0.06975822796770435,0.24514121754343357,-0.18009214251513542,0.0719164976353567,0.054805598630012574,-0.012806228739227153,0.3252132605955502,-0.06843075935442114,-0.0030693509268101345,apul,ACR.265
