gene	module
FUN_002326	ME41
FUN_002303	ME41
FUN_002305	ME41
FUN_002309	ME41
FUN_002311	ME41
FUN_002314	ME41
FUN_002318	ME41
FUN_002320	ME41
FUN_002322	ME41
FUN_002325	ME7
FUN_002351	ME2
FUN_002352	ME8
FUN_002349	ME21
FUN_002350	ME0
FUN_002353	ME8
FUN_002354	ME2
FUN_002355	ME2
FUN_002356	ME10
FUN_002357	ME3
FUN_002330	ME58
FUN_002344	ME49
FUN_002327	ME68
FUN_002328	ME80
FUN_002329	ME54
FUN_002331	ME30
FUN_002332	ME103
FUN_002333	ME80
FUN_002334	ME103
FUN_002335	ME48
FUN_002336	ME87
FUN_002337	ME80
FUN_002338	ME103
FUN_002339	ME87
FUN_002340	ME80
FUN_002341	ME80
FUN_002342	ME100
FUN_002345	ME80
FUN_002346	ME7
FUN_002372	ME84
FUN_002370	ME93
FUN_002363	ME26
FUN_002364	ME69
FUN_002365	ME69
FUN_002358	ME3
FUN_002359	ME107
FUN_002362	ME59
FUN_002407	ME30
FUN_002408	ME26
FUN_002426	ME21
FUN_002425	ME5
FUN_002428	ME13
FUN_002411	ME26
FUN_002413	ME26
FUN_002414	ME96
FUN_002415	ME26
FUN_002416	ME26
FUN_002417	ME26
FUN_002418	ME26
FUN_002419	ME26
FUN_002409	ME26
FUN_002410	ME89
FUN_002424	ME5
FUN_002375	ME87
FUN_002386	ME54
FUN_002388	ME54
FUN_002389	ME30
FUN_002392	ME54
FUN_002393	ME54
FUN_002394	ME54
FUN_002400	ME87
FUN_002402	ME26
FUN_002405	ME68
FUN_002376	ME30
FUN_002377	ME78
FUN_002378	ME14
FUN_002379	ME14
FUN_002380	ME114
FUN_002381	ME0
FUN_002382	ME0
FUN_002395	ME53
FUN_002397	ME80
FUN_002401	ME52
FUN_002404	ME74
FUN_002406	ME63
FUN_002450	ME133
FUN_002451	ME4
FUN_002452	ME47
FUN_002436	ME31
FUN_002437	ME26
FUN_002439	ME31
FUN_002441	ME31
FUN_002442	ME31
FUN_002443	ME31
FUN_002444	ME31
FUN_002429	ME8
FUN_002431	ME5
FUN_002432	ME36
FUN_002433	ME3
FUN_002434	ME5
FUN_002435	ME3
FUN_002438	ME102
FUN_002440	ME52
FUN_002445	ME31
FUN_002446	ME11
FUN_002447	ME62
FUN_002448	ME2
FUN_002449	ME25
FUN_002458	ME30
FUN_002459	ME91
FUN_002460	ME69
FUN_002454	ME39
FUN_002455	ME7
FUN_002457	ME5
FUN_002463	ME27
FUN_002468	ME3
FUN_002453	ME3
FUN_002472	ME72
FUN_002469	ME23
FUN_002470	ME3
FUN_002471	ME8
FUN_002473	ME13
