ME0	ME1	ME10	ME100	ME101	ME102	ME103	ME104	ME105	ME106	ME107	ME108	ME109	ME11	ME110	ME111	ME112	ME113	ME114	ME115	ME116	ME117	ME118	ME119	ME12	ME120	ME121	ME122	ME123	ME124	ME125	ME126	ME127	ME128	ME129	ME13	ME130	ME131	ME132	ME133	ME134	ME135	ME136	ME137	ME138	ME139	ME14	ME140	ME141	ME142	ME15	ME16	ME17	ME18	ME19	ME2	ME20	ME21	ME22	ME23	ME24	ME25	ME26	ME27	ME28	ME29	ME3	ME30	ME31	ME32	ME33	ME34	ME35	ME36	ME37	ME38	ME39	ME4	ME40	ME41	ME42	ME43	ME44	ME45	ME46	ME47	ME48	ME49	ME5	ME50	ME51	ME52	ME53	ME54	ME55	ME56	ME57	ME58	ME59	ME6	ME60	ME61	ME62	ME63	ME64	ME65	ME66	ME67	ME68	ME69	ME7	ME70	ME71	ME72	ME73	ME74	ME75	ME76	ME77	ME78	ME79	ME8	ME80	ME81	ME82	ME83	ME84	ME85	ME86	ME87	ME88	ME89	ME9	ME90	ME91	ME92	ME93	ME94	ME95	ME96	ME97	ME98	ME99
mRNA	0.740034662045061	0.107877571500251	0.877850162866449	0.697368421052632	0.958904109589041	0.805555555555556	0.802816901408451	0.605633802816901	0.943661971830986	0.956521739130435	0.735294117647059	0.676470588235294	0.882352941176471	0.886831275720165	0.91044776119403	0.597014925373134	0.671641791044776	0.970149253731343	0.692307692307692	0.709677419354839	0.903225806451613	0.483870967741935	0.610169491525424	0.403508771929825	0.842465753424658	0.767857142857143	0.642857142857143	0.781818181818182	0.592592592592593	0.648148148148148	0.849056603773585	0.0943396226415094	0.423076923076923	0.903846153846154	0.823529411764706	0.841743119266055	0.64	0.56	0.673469387755102	0.787234042553192	0.595744680851064	0.931818181818182	0.790697674418605	0.86046511627907	1	0.868421052631579	0.918072289156627	0.705882352941177	0.205882352941176	0.818181818181818	0.853535353535353	0.918781725888325	0.888020833333333	0.0568181818181818	0.869436201780415	0.866395112016293	0.18960244648318	0.908496732026144	0.173202614379085	0.759717314487632	0.177121771217712	0.565055762081784	0.64367816091954	0.65748031496063	0.609756097560976	0.670833333333333	0.897244278374591	0.773504273504274	0.696581196581197	0.733905579399142	0.852678571428571	0.617511520737327	0.88785046728972	0.923809523809524	0.0721153846153846	0.64390243902439	0.868292682926829	0.880716934487021	0.756345177664975	0.756345177664975	0.914893617021277	0.802139037433155	0.0382513661202186	0.846153846153846	0.1	0.631284916201117	0.764367816091954	0.620689655172414	0.852693602693603	0.570588235294118	0.917647058823529	0.68452380952381	0.656441717791411	0.735483870967742	0.0980392156862745	0.82312925170068	0.835616438356164	0.618055555555556	0.811188811188811	0.635379061371841	0.933333333333333	0.684210526315789	0.530769230769231	0.703125	0.622047244094488	0.741935483870968	0.693548387096774	0.549180327868853	0.691666666666667	0.638655462184874	0.582848837209302	0.698275862068966	0.732758620689655	0.869565217391304	0.927927927927928	0.743119266055046	0.954128440366973	0.87962962962963	0.691588785046729	0.876190476190476	0.686274509803922	0.918759231905465	0.764705882352941	0.696969696969697	0.878787878787879	0.860215053763441	0.623655913978495	0.730337078651685	0.602272727272727	0.659090909090909	0.779069767441861	0.682352941176471	0.82018927444795	0.835294117647059	0.654761904761905	0.867469879518072	0.592592592592593	0.8875	0.576923076923077	0.58974358974359	0.701298701298701	0.597402597402597	0.828947368421053
miRNA	0.00953206239168111	0	0	0	0	0	0.0140845070422535	0.0140845070422535	0	0	0	0.0147058823529412	0	0	0	0	0	0	0	0	0.0161290322580645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00229357798165138	0	0	0.0204081632653061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000407331975560081	0.00305810397553517	0	0	0	0	0	0.00383141762452107	0	0	0	0.00140121438580103	0	0	0	0.00446428571428571	0	0	0	0	0	0	0	0	0.0050761421319797	0.00531914893617021	0.0053475935828877	0	0	0	0	0.00574712643678161	0	0	0	0	0	0	0	0	0.0204081632653061	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00840336134453781	0	0.0172413793103448	0	0	0	0.018348623853211	0	0	0.00934579439252336	0.00952380952380952	0.00980392156862745	0	0	0	0	0	0	0	0	0.0113636363636364	0	0	0.00157728706624606	0	0	0	0	0	0.0128205128205128	0	0	0.012987012987013	0
lncRNA	0.250433275563258	0.892122428499749	0.12214983713355	0.302631578947368	0.0410958904109589	0.194444444444444	0.183098591549296	0.380281690140845	0.0563380281690141	0.0434782608695652	0.264705882352941	0.308823529411765	0.117647058823529	0.113168724279835	0.0895522388059701	0.402985074626866	0.328358208955224	0.0298507462686567	0.307692307692308	0.290322580645161	0.0806451612903226	0.516129032258065	0.389830508474576	0.596491228070175	0.157534246575342	0.232142857142857	0.357142857142857	0.218181818181818	0.407407407407407	0.351851851851852	0.150943396226415	0.905660377358491	0.576923076923077	0.0961538461538462	0.176470588235294	0.155963302752294	0.36	0.44	0.306122448979592	0.212765957446809	0.404255319148936	0.0681818181818182	0.209302325581395	0.13953488372093	0	0.131578947368421	0.0819277108433735	0.294117647058824	0.794117647058823	0.181818181818182	0.146464646464646	0.0812182741116751	0.111979166666667	0.943181818181818	0.130563798219585	0.133197556008147	0.807339449541284	0.0915032679738562	0.826797385620915	0.240282685512367	0.822878228782288	0.434944237918216	0.352490421455939	0.34251968503937	0.390243902439024	0.329166666666667	0.101354507239608	0.226495726495726	0.303418803418803	0.266094420600858	0.142857142857143	0.382488479262673	0.11214953271028	0.0761904761904762	0.927884615384615	0.35609756097561	0.131707317073171	0.119283065512979	0.243654822335025	0.238578680203046	0.0797872340425532	0.192513368983957	0.961748633879781	0.153846153846154	0.9	0.368715083798883	0.229885057471264	0.379310344827586	0.147306397306397	0.429411764705882	0.0823529411764706	0.31547619047619	0.343558282208589	0.264516129032258	0.901960784313726	0.156462585034014	0.164383561643836	0.381944444444444	0.188811188811189	0.364620938628159	0.0666666666666667	0.315789473684211	0.469230769230769	0.296875	0.377952755905512	0.258064516129032	0.306451612903226	0.450819672131148	0.308333333333333	0.352941176470588	0.417151162790698	0.28448275862069	0.267241379310345	0.130434782608696	0.0720720720720721	0.238532110091743	0.0458715596330275	0.12037037037037	0.299065420560748	0.114285714285714	0.303921568627451	0.0812407680945347	0.235294117647059	0.303030303030303	0.121212121212121	0.139784946236559	0.376344086021505	0.269662921348315	0.397727272727273	0.329545454545455	0.22093023255814	0.317647058823529	0.178233438485804	0.164705882352941	0.345238095238095	0.132530120481928	0.407407407407407	0.1125	0.41025641025641	0.41025641025641	0.298701298701299	0.38961038961039	0.171052631578947
size	1154	5979	614	76	73	72	71	71	71	69	68	68	68	486	67	67	67	67	65	62	62	62	59	57	438	56	56	55	54	54	53	53	52	52	51	436	50	50	49	47	47	44	43	43	40	38	415	34	34	33	396	394	384	352	337	2455	327	306	306	283	271	269	261	254	246	240	2141	234	234	233	224	217	214	210	208	205	205	1618	197	197	188	187	183	182	180	179	174	174	1188	170	170	168	163	155	153	147	146	144	143	831	135	133	130	128	127	124	124	122	120	119	688	116	116	115	111	109	109	108	107	105	102	677	102	99	99	93	93	89	88	88	86	85	634	85	84	83	81	80	78	78	77	77	76
