Iteration,Loss
1,1393884.7475638092
2,1124058.9324239944
3,927219.2185694823
4,810535.874887081
5,744898.0837074065
6,713928.9631705049
7,698482.608505704
8,688956.7521350691
9,682172.0657075541
10,677186.5117111972
11,673342.5270451038
12,670083.1061849258
13,667269.5182409737
14,664811.5929554392
15,662644.5293123858
16,660717.8344049216
17,658990.9409908821
18,657431.3736798962
19,656012.9991422523
20,654714.0433933504
21,653516.7944838459
22,652406.7627897369
23,651372.0083447301
24,650402.307837246
25,649489.2909936223
26,648625.8151702305
27,647806.3990089486
28,647026.0611048363
29,646280.3506829547
30,645565.5888079837
31,644878.6847838223
32,644217.0090858142
33,643578.304768978
34,642960.5979836776
35,642362.1476647498
36,641781.511864401
37,641217.4129923334
38,640668.724572309
39,640134.4298399609
40,639613.6742607643
41,639105.6977090559
42,638609.8366213702
43,638125.5432507341
44,637652.3100689884
45,637189.6884837595
46,636737.2470275462
47,636294.6312988597
48,635861.5777707064
49,635437.7496050938
50,635083.1210112732
51,634748.2239145065
52,634419.3280461977
53,634096.6423964729
54,633779.9539048908
55,633468.997189287
56,633163.5587291241
57,632863.4366816846
58,632568.4612480529
59,632278.4835552044
60,631993.358567999
61,631712.9246657897
62,631437.0231428761
63,631165.5455534074
64,630898.4011411861
65,630635.4810525251
66,630376.6827406713
67,630121.8816087424
68,629870.9558466151
69,629623.8066038059
70,629380.3451669231
71,629140.739786032
72,628904.6776892284
73,628672.0405449992
74,628442.7689245524
75,628216.9247876443
76,627994.2971225604
77,627774.7831372917
78,627558.3018036025
79,627344.7832106745
80,627134.1749532007
81,626926.4093047405
82,626721.4229560116
83,626519.1739678866
84,626319.6193240937
85,626122.7078327656
86,625928.3765300486
87,625736.5627357458
88,625547.225175871
89,625360.3396313767
90,625175.8601173641
91,624993.7414843107
92,624813.9403123546
93,624636.416306472
94,624461.1334959278
95,624288.0565099929
96,624117.1387656174
97,623948.3460228804
98,623781.6442003938
99,623616.9984751211
100,623454.3959244787
101,623293.8038364355
102,623135.1815019542
103,622978.4923396951
104,622823.728671763
