,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Species,Sample_ID
apul_ACR.139,-0.07775034396742943,-0.05218079216709567,-0.21309972809455086,-0.031097048122635924,0.03096555747683731,0.13878759109960412,0.05539614434361626,-0.29385192541779304,0.1036496432680865,0.47293672665532593,apul,ACR.139
apul_ACR.145,-0.06204691810687885,-0.0023683343484758594,-0.2332118193461997,0.03670340704102307,-0.08254107956886197,0.26405550324010435,0.008070280917109448,-0.22578986649436322,0.2511699884130737,0.34069415629057087,apul,ACR.145
apul_ACR.150,0.11013094943064833,0.1412050320855589,-0.12778465406304737,0.13589289197788634,-0.1323553205268459,0.277687442607377,-0.040611985225680436,-0.12164666928442973,0.2293348177575348,0.21331430828433584,apul,ACR.150
apul_ACR.173,0.04319357215558293,0.03085633887966606,-0.23142794808723718,0.05262311851729376,-0.06633981205924801,0.269245075417863,0.021019732456736707,-0.10529555029379598,0.23085578997878067,0.23276584212569532,apul,ACR.173
apul_ACR.186,-0.061883574543808224,0.21377073697524548,-0.27729209585029446,0.18215885156836076,-0.15424733966255502,0.2811325203415769,-0.10098139950645434,-0.29739948224476886,0.18514607341705674,0.4539358508243498,apul,ACR.186
apul_ACR.225,0.08561636580193387,-0.05196386411983526,-0.12709223167918665,0.05883747486044773,-0.15535551538007022,0.3421123941949511,0.11717267559552434,-0.044724749307948564,0.3784463053388687,0.0574207063705601,apul,ACR.225
apul_ACR.229,0.08608064491499133,-0.1919266496488225,-0.11488666987423127,-0.06310787124307096,-0.029305863465296015,0.27809143630608213,0.18383894871713338,-0.0310338896621071,0.3527128117900757,0.0036273742672535895,apul,ACR.229
apul_ACR.237,0.12366366428655506,-0.010239854809011205,-0.07572050703223011,0.02095208913792384,-0.09528679258050735,0.3021271673475136,0.016772886698271098,0.030719557931807823,0.31962009163692634,-0.05140819061359235,apul,ACR.237
apul_ACR.244,0.14913230803784752,-0.030970301980602268,-0.032824784551488385,0.04647170797281806,-0.1454866502495034,0.30661878987113433,0.08608641986442124,0.07769745978698668,0.3410366926673442,-0.1283679855111117,apul,ACR.244
apul_ACR.265,0.08986759471354984,0.05571432750138222,-0.1639847798785012,0.07884326014670613,-0.10475931983119044,0.3021119253332925,-0.01137681376779034,-0.02365386726907769,0.29754134848624836,0.03079964303508713,apul,ACR.265
peve_POR.216,0.06503427296699374,-0.0603163622317088,-0.24378356837650894,-0.07172866225882808,0.2219807670681871,0.01778257254743323,0.024748977875949176,0.07102718963999949,-0.025681397142777753,0.04443054020325339,peve,POR.216
peve_POR.245,-0.07751754501122121,-0.14860472214415027,-0.20191316391954783,-0.2403428110559348,0.27906245944238817,0.031225636954508435,-0.08755186942520762,-0.02849317079634332,0.050888742521253374,0.05843190312589225,peve,POR.245
