Iteration,Loss
1,1504153.5224520317
2,1333579.550040122
3,1213807.8671985962
4,1162359.6629761532
5,1133480.8493710815
6,1115198.158554174
7,1103278.167845106
8,1094942.668567296
9,1088509.4089857056
10,1083131.4265048068
11,1078453.3870085657
12,1074309.873494491
13,1070590.3879056792
14,1067215.538194777
15,1064145.6634959464
16,1061375.1293845149
17,1058917.501471243
18,1056781.8525271483
19,1054957.5079015265
20,1053403.5764181619
21,1052061.753878031
22,1050894.6058447298
23,1049877.7718199184
24,1048975.710475833
25,1048168.3562014858
26,1047440.2451568479
27,1046779.4728285255
28,1046176.2885098016
29,1045622.566529475
30,1045111.4209502492
31,1044637.2444745436
32,1044195.405869403
33,1043781.8435918036
34,1043393.3523866839
35,1043053.1169233933
36,1042728.9907272634
37,1042419.5039917196
38,1042123.2133274857
39,1041838.9478962043
40,1041565.6606192343
41,1041302.4032690169
42,1041048.3581454052
43,1040802.7774247137
44,1040564.9875857045
45,1040334.4021651765
46,1040110.510116583
47,1039892.8071243265
48,1039680.8621293153
49,1039474.2944845995
50,1039272.7527642143
51,1039075.9263935571
52,1038883.538595662
53,1038695.2897440019
54,1038510.6904349517
55,1038329.8423155971
56,1038152.5285750434
57,1037978.4196207598
58,1037807.3198045876
59,1037639.026306389
60,1037473.3796506881
61,1037310.2052837524
62,1037149.3517350318
63,1036990.721425755
64,1036834.1800373147
65,1036679.5972700312
66,1036526.8705643264
67,1036375.9111451017
68,1036226.6000284008
69,1036078.8289222193
70,1035932.4878836442
71,1035787.4670420235
72,1035643.6767775797
73,1035501.0181157283
74,1035359.4017008314
75,1035218.7406655737
76,1035078.9781584
77,1034940.0415189655
78,1034801.856345031
79,1034664.3793440135
80,1034527.5303174192
81,1034391.2466286317
82,1034255.4780250342
83,1034120.1633020411
84,1033985.2394288781
85,1033850.641328234
86,1033716.3172693973
87,1033582.2247949683
88,1033448.3243563065
89,1033314.570782928
90,1033180.9472162572
91,1033047.4110043215
92,1032913.9170821045
93,1032780.4474415823
94,1032646.9767929076
95,1032513.4734129849
96,1032379.89821666
97,1032246.2993880175
98,1032112.6946486984
99,1031979.0313161938
100,1031845.2547592327
101,1031711.351958184
102,1031577.2833463899
103,1031443.0491778654
104,1031308.671010623
105,1031174.0973151082
106,1031039.2859942393
107,1030904.2115943466
108,1030768.8486966786
109,1030633.174298208
110,1030497.1697386899
111,1030360.82455818
112,1030224.1298025736
113,1030087.0821740604
114,1029949.6907623372
115,1029811.9680182912
116,1029673.9993844486
117,1029535.7195020647
118,1029397.1078332982
119,1029258.1307637718
120,1029118.768840334
121,1028979.0164238784
122,1028838.8761864908
123,1028698.3588299755
124,1028557.5025709365
125,1028416.3023284887
126,1028274.7987978049
127,1028133.0404519147
