,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Species,Sample_ID
apul_ACR.139,0.12647695183485025,0.09971989822299597,-0.1795020294200478,-0.0411671832973317,-0.018434960216882262,-0.3084536648431058,0.1714002037544336,-0.004865673021710408,0.1163154128600334,-0.011855267743170885,0.03461153867972491,-0.16242103176129688,0.06912173569917346,0.17920179456924223,0.2748033571560176,apul,ACR.139
apul_ACR.145,0.18673083231743576,0.06542238006452833,-0.21615209423942455,-0.02216426851211184,-0.055039172791432486,-0.3236033614352201,0.1911902119164268,0.025566013520866602,0.2784466998579007,-0.14916769126227247,-0.04186058899798322,0.1457128595029102,0.0360244689788294,0.14548652550698724,0.20069484977163665,apul,ACR.145
apul_ACR.150,0.06486805112292128,0.13286223791854598,0.08011081088001548,0.023989268643411145,-0.07483454615290581,-0.37681713346435625,0.1892447622325233,0.05917949542586684,0.31200951326888743,-0.16807621946142937,-0.06167909130294269,0.16164928592373928,-0.0779944800603661,0.1932416258950873,0.19950421282301226,apul,ACR.150
apul_ACR.173,0.18645939292324198,0.1081988917964774,-0.1777621974788526,0.06124291423129328,0.024333534260322393,-0.3275924133254064,0.19404449605442858,-0.011863128398577085,0.24432848464004936,-0.14879192448258063,-0.07539248106945623,0.14787359689513424,-0.002769020958670485,0.1502424098990424,0.18061255208398408,apul,ACR.173
apul_ACR.186,0.27986785065346514,0.2093764184187236,-0.2052106070165737,-0.028368696585050503,-0.08461029479076053,-0.4327107669467224,0.43154423934122016,0.045792079399556665,0.28606625416860343,-0.2657864369360871,0.030569064114061503,-0.028002479028701593,-0.07588596558995014,0.25928077203264477,0.25203728670994624,apul,ACR.186
apul_ACR.225,0.048272435460562035,-0.01973558554958708,0.107937530600637,-0.013189429856988464,-0.0023731637011435536,-0.1613390578480444,0.0329619071157364,-0.0036542657913707175,0.4081365390515323,-0.10431478976536847,-0.22090004844929173,0.45180828907165616,0.06391400203645028,0.0697262451600158,0.05678939588812375,apul,ACR.225
apul_ACR.229,-0.0086587288591633,0.05428799380476222,0.14052125191609413,-0.16134978218278936,0.06336164667566586,-0.12749562771848738,0.00492467574212892,-0.20096876544559508,0.3255179192027936,-0.08695950959057623,-0.20400192158054578,0.3103775779688856,0.09489281680407187,0.15975460046902598,0.19724972223123904,apul,ACR.229
apul_ACR.237,-0.009253091466051985,0.05005756399283803,0.20798924102311034,-0.07976728301904791,0.018686490276920594,-0.09839251086583391,0.04245055900826717,-0.09188826376687384,0.3576883640881139,-0.11088226284094506,-0.21250033195901025,0.37387208788083703,-0.017529749463067408,0.10432240391354348,0.10926201808499095,apul,ACR.237
apul_ACR.244,0.006977072963228878,-0.022103730591918263,0.2036047749165307,-0.053416239770684874,0.04762788803445239,-0.08557171803259064,0.008420101517944695,-0.09763185768917645,0.37729709977581394,-0.11038527543214006,-0.23695017727435483,0.4589456904557892,0.028267898397569356,0.054226680967430656,0.07213563416873282,apul,ACR.244
apul_ACR.265,0.1414416105227718,0.045749781473621416,0.05492329256350044,-0.08316474069132564,0.028561499012866746,-0.14727507671636308,0.15150960945763817,-0.10819184670707642,0.33208442261338894,-0.163964522297629,-0.18878915269898336,0.312305283678149,-0.03643374256690262,0.1398408371267851,0.13934342163657895,apul,ACR.265
peve_POR.216,-0.16062775559272532,0.5251760204522234,0.14285368521193223,-0.19125422078359453,-0.012937571246364618,-0.050456763890074176,0.034806963911380676,-0.1859473927050419,0.018206329199377917,-0.15020538077940898,-0.07494497786334917,-0.09231471013773851,-0.012143468974153832,0.3869013141531409,0.16004389203246527,peve,POR.216
peve_POR.245,0.09273531288356503,0.1244513739446635,0.137222062585152,-0.7301302778330219,0.1609651224609843,0.3343449309830153,0.11137282087691627,-0.7229107119040977,0.020931635754572804,-0.027912651749953346,-0.20280207993929486,-0.15823577808673672,-0.0222646638328203,0.39150127995027395,0.5566248844240385,peve,POR.245
