"","name","module","type"
"1","Cluster_2746","ME12","miRNA"
"3","Cluster_1819","ME28","miRNA"
"4","Cluster_3226","ME20","miRNA"
"5","Cluster_10452","ME40","miRNA"
"6","Cluster_3301","ME5","miRNA"
"7","Cluster_2372","ME1","miRNA"
"8","Cluster_14532","ME1","miRNA"
"9","Cluster_4752","ME14","miRNA"
"10","Cluster_5603","ME14","miRNA"
"11","Cluster_9706","ME14","miRNA"
"12","Cluster_15097","ME3","miRNA"
"13","Cluster_17186","ME7","miRNA"
"14","Cluster_4036","ME30","miRNA"
"15","Cluster_14146","ME30","miRNA"
"16","Cluster_17245","ME10","miRNA"
"17","Cluster_17623","ME10","miRNA"
"18","Cluster_13327","ME35","miRNA"
"19","Cluster_17173","ME23","miRNA"
"20","Cluster_16354","ME19","miRNA"
"21","Cluster_9366","ME6","miRNA"
"22","Cluster_3227","ME29","miRNA"
"23","Cluster_1832","ME31","miRNA"
"24","Cluster_1950","ME31","miRNA"
"25","Cluster_14692","ME31","miRNA"
"12611","FUN_002951","ME16","gene"
"2","FUN_004005","ME16","gene"
"31000","FUN_004246","ME16","gene"
"41000","FUN_004533","ME16","gene"
"51000","FUN_004759","ME16","gene"
"61000","FUN_004937","ME16","gene"
"71000","FUN_004938","ME16","gene"
"81000","FUN_005194","ME16","gene"
"91000","FUN_000237","ME16","gene"
"101000","FUN_001493","ME16","gene"
"111000","FUN_002105","ME16","gene"
"12612","FUN_005944","ME16","gene"
"13100","FUN_006629","ME16","gene"
"14100","FUN_006698","ME16","gene"
"15100","FUN_007050","ME16","gene"
"16100","FUN_007168","ME16","gene"
"17100","FUN_007301","ME16","gene"
"19100","FUN_007724","ME16","gene"
"20100","FUN_008006","ME16","gene"
"21100","FUN_008138","ME16","gene"
"22100","FUN_008433","ME16","gene"
"23100","FUN_008456","ME16","gene"
"24100","FUN_008688","ME16","gene"
"25100","FUN_009050","ME16","gene"
"26","FUN_009057","ME16","gene"
"27","FUN_009151","ME16","gene"
"28","FUN_010620","ME16","gene"
"29","FUN_011221","ME16","gene"
"30","FUN_011232","ME16","gene"
"31","FUN_011252","ME16","gene"
"32","FUN_011902","ME16","gene"
"33","FUN_012068","ME16","gene"
"34","FUN_012097","ME16","gene"
"35","FUN_012130","ME16","gene"
"36","FUN_012176","ME16","gene"
"37","FUN_012794","ME16","gene"
"38","FUN_013354","ME16","gene"
"39","FUN_013438","ME16","gene"
"40","FUN_013515","ME16","gene"
"41","FUN_013518","ME16","gene"
"42","FUN_013545","ME16","gene"
"43","FUN_014517","ME16","gene"
"44","FUN_014884","ME16","gene"
"45","FUN_014965","ME16","gene"
"46","FUN_015134","ME16","gene"
"47","FUN_015672","ME16","gene"
"48","FUN_016007","ME16","gene"
"49","FUN_016077","ME16","gene"
"50","FUN_016202","ME16","gene"
"51","FUN_016368","ME16","gene"
"52","FUN_016412","ME16","gene"
"53","FUN_016570","ME16","gene"
"54","FUN_016617","ME16","gene"
"55","FUN_016709","ME16","gene"
"56","FUN_017890","ME16","gene"
"57","FUN_018133","ME16","gene"
"58","FUN_018362","ME16","gene"
"59","FUN_018411","ME16","gene"
"60","FUN_018605","ME16","gene"
"61","FUN_022011","ME16","gene"
"62","FUN_022298","ME16","gene"
"63","FUN_022361","ME16","gene"
"64","FUN_022357","ME16","gene"
"65","FUN_022492","ME16","gene"
"66","FUN_024042","ME16","gene"
"67","FUN_024190","ME16","gene"
"68","FUN_024356","ME16","gene"
"69","FUN_024636","ME16","gene"
"70","FUN_024667","ME16","gene"
"71","FUN_024668","ME16","gene"
"72","FUN_024715","ME16","gene"
"73","FUN_024746","ME16","gene"
"74","FUN_024916","ME16","gene"
"75","FUN_025755","ME16","gene"
"76","FUN_025869","ME16","gene"
"77","FUN_025870","ME16","gene"
"78","FUN_025893","ME16","gene"
"79","FUN_026099","ME16","gene"
"80","FUN_027086","ME16","gene"
"81","FUN_027097","ME16","gene"
"82","FUN_027100","ME16","gene"
"83","FUN_027905","ME16","gene"
"84","FUN_028188","ME16","gene"
"85","FUN_029669","ME16","gene"
"86","FUN_029750","ME16","gene"
"87","FUN_031096","ME16","gene"
"88","FUN_031427","ME16","gene"
"89","FUN_031785","ME16","gene"
"90","FUN_031965","ME16","gene"
"91","FUN_032069","ME16","gene"
"92","FUN_032293","ME16","gene"
"93","FUN_032379","ME16","gene"
"94","FUN_032385","ME16","gene"
"95","FUN_032492","ME16","gene"
"96","FUN_032499","ME16","gene"
"97","FUN_032511","ME16","gene"
"98","FUN_033043","ME16","gene"
"99","FUN_033292","ME16","gene"
"100","FUN_033189","ME16","gene"
"101","FUN_033196","ME16","gene"
"102","FUN_033698","ME16","gene"
"103","FUN_033826","ME16","gene"
"104","FUN_034073","ME16","gene"
"105","FUN_034258","ME16","gene"
"106","FUN_034286","ME16","gene"
"107","FUN_035177","ME16","gene"
"108","FUN_035562","ME16","gene"
"109","FUN_035567","ME16","gene"
"110","FUN_035561","ME16","gene"
"111","FUN_035563","ME16","gene"
"112","FUN_035584","ME16","gene"
"113","FUN_035773","ME16","gene"
"114","FUN_035804","ME16","gene"
"115","FUN_035837","ME16","gene"
"116","FUN_036074","ME16","gene"
"117","FUN_036278","ME16","gene"
"118","FUN_037558","ME16","gene"
"119","FUN_038991","ME16","gene"
"120","FUN_039344","ME16","gene"
"121","FUN_039353","ME16","gene"
"122","FUN_039383","ME16","gene"
"123","FUN_039380","ME16","gene"
"124","FUN_039384","ME16","gene"
"125","FUN_039418","ME16","gene"
"126","FUN_039573","ME16","gene"
"127","FUN_039856","ME16","gene"
"128","FUN_040029","ME16","gene"
"129","FUN_040478","ME16","gene"
"130","FUN_040801","ME16","gene"
"131","FUN_040901","ME16","gene"
"132","FUN_040966","ME16","gene"
"133","FUN_041799","ME16","gene"
"134","FUN_041821","ME16","gene"
"135","FUN_042070","ME16","gene"
"136","FUN_042130","ME16","gene"
"137","FUN_042883","ME16","gene"
"138","FUN_042891","ME16","gene"
"139","FUN_042923","ME16","gene"
"140","FUN_042989","ME16","gene"
"141","FUN_043234","ME16","gene"
"142","FUN_043456","ME16","gene"
"143","FUN_043468","ME16","gene"
"144","FUN_043474","ME16","gene"
"145","FUN_007714","ME16","gene"
"146","FUN_007716","ME16","gene"
"147","FUN_007744","ME16","gene"
"148","FUN_008865","ME16","gene"
"149","FUN_001282","ME48","gene"
"150","FUN_006223","ME48","gene"
"151","FUN_009105","ME48","gene"
"152","FUN_011684","ME48","gene"
"153","FUN_011765","ME48","gene"
"154","FUN_012459","ME48","gene"
"155","FUN_016690","ME48","gene"
"156","FUN_018266","ME48","gene"
"157","FUN_018692","ME48","gene"
"158","FUN_027666","ME48","gene"
"159","FUN_031654","ME48","gene"
