,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Species,Sample_ID
apul_ACR.139,0.14051755294676968,-0.22704874972193587,0.4276152571160706,0.06116076537712556,0.054064500864986,0.0986428366845844,-0.14422756203537984,0.10878403168875396,apul,ACR.139
apul_ACR.145,-0.0422689212401576,-0.1854411620337228,0.30363734934193304,0.2706645278508146,0.03788727196315202,-0.05119205166560908,-0.07516127302467962,0.28685656280613575,apul,ACR.145
apul_ACR.150,0.08337332440744252,-0.17624440220336507,0.2835594748080622,0.31096569175864885,-0.11682414524876589,-0.011310912468997613,-0.06267573239564747,0.31515647230108734,apul,ACR.150
apul_ACR.173,0.11636810484123405,-0.04932938316647963,0.18326725498343274,0.2601911538062277,-0.06873720291883471,0.06380551653984028,-0.1642599421824654,0.2804933395413965,apul,ACR.173
apul_ACR.186,-0.038054315097854084,-0.33660914201706754,0.4616484767967172,0.2844192422336913,0.09739975330733687,-0.0644956574792415,-0.07775007004034294,0.3095855272557453,apul,ACR.186
apul_ACR.225,0.14677528110278784,-0.00037500492229357226,0.050754136594517614,0.38922484809499486,-0.12931861302585237,-0.01708442950602616,-0.13190721160026406,0.37985135833885747,apul,ACR.225
apul_ACR.229,0.20347207880902562,0.030054554546812644,-0.006465825349254899,0.2990061861401293,-0.15074292652435947,0.04494126736978993,-0.14051577307304652,0.29658687592360405,apul,ACR.229
apul_ACR.237,0.09846957540900521,0.06044290463741886,-0.04806368417539416,0.3488772389392786,-0.17645625009276422,-0.013521244469455062,-0.08181626436753629,0.3451353002421715,apul,ACR.237
apul_ACR.244,0.17274910340038924,0.10198702938453562,-0.1109180193886821,0.3723848291520651,-0.19622379314118038,-0.02006779862980704,-0.10482576183480456,0.3555288028381997,apul,ACR.244
apul_ACR.265,0.04721077028834479,-0.01092386060243545,0.02217428913062713,0.34897377132111035,-0.11884002519339358,-0.008489723493176442,-0.09188679164404408,0.3409248879759709,apul,ACR.265
peve_POR.216,0.0377112824758865,0.10958728964399475,-0.02334577849944614,-0.04405837825497161,-0.08402620804857115,0.28274760992303344,-0.13127616237803133,-0.0025981732715041166,peve,POR.216
peve_POR.245,-0.07265648457177527,0.08286934332418806,-0.04207632072537829,-0.007692406548842869,0.01875460337489971,0.17781848368959746,-0.09276095278148812,0.010017874578282447,peve,POR.245
peve_POR.260,-0.06841941813966347,0.004016561721142934,0.052561088597118694,0.021249781405628842,0.0029671509477469664,0.3102302036540743,-0.14643965961875924,0.003961307896071087,peve,POR.260
peve_POR.262,-0.16085990143334775,0.1584565627675482,-0.1679033406593888,-0.060994122856095186,-0.06998523980501603,0.25528898399795735,-0.009838450341437774,-0.0741425108061201,peve,POR.262
peve_POR.69,0.22157920564835315,0.02770113924320773,0.09203803462511367,-0.004667654098729963,-0.08429297341000229,0.08299373185709692,-0.11514264571934922,0.025077980854304814,peve,POR.69
peve_POR.72,0.21850041741460371,0.17578384587042567,-0.047419611112152094,0.034036614063151845,-0.1709353968468069,0.024141632328458826,-0.09506589129977375,0.03899483228138219,peve,POR.72
peve_POR.73,0.16800839595021036,-0.031525715036927866,0.13197025467029033,0.0003290118633578806,-0.09083066402197151,0.25570704618940804,-0.15534775502383527,0.016366680804134157,peve,POR.73
peve_POR.74,0.11000721159418513,0.17617813234058582,-0.02091844924794809,-0.048094224929787925,-0.14044311646225655,0.30524467230614943,-0.18113272378929474,-0.017037463794851323,peve,POR.74
peve_POR.83,0.3891138446812213,0.13826685949825376,0.003485271323168366,0.055180550432821614,-0.20660058756506663,0.06986154903577815,-0.16145433168173548,0.06269123645213433,peve,POR.83
ptua_POC.219,-0.011135961701883957,-0.11332950917437662,0.15655510012406737,0.05077799105644196,0.14672285505680288,0.20977866720842572,-0.17735662370914332,0.06507174425411895,ptua,POC.219
ptua_POC.222,0.3180992772562412,0.15307374732004125,-0.024808634001881855,0.04028437397634605,-0.18638844377164795,0.2761432593850442,-0.2241380087140576,0.034357988278686934,ptua,POC.222
ptua_POC.255,0.12727257661017444,0.04947011310080736,0.06614079381933698,-0.02599278575068095,-0.03460567515716372,0.28423153189406264,-0.19475165137669226,-0.016537260146680752,ptua,POC.255
ptua_POC.259,-0.06983082343754968,-0.22542022123039582,0.22665025806983102,0.018362922572751714,0.32983539737562256,0.03536831495451441,-0.10709723711122167,0.04376815200727026,ptua,POC.259
ptua_POC.40,0.3730256594946087,0.35680530094976026,-0.11784167942283538,0.007862207788133048,-0.46238189079414976,0.2656810902159131,-0.16521572636937876,0.005267133858602768,ptua,POC.40
ptua_POC.42,0.338739029807854,0.5638272603692521,-0.4606563419715155,0.05965256391050896,-0.47722665964520405,0.09744385901197516,-0.10129262057658972,0.034927913003889574,ptua,POC.42
ptua_POC.52,0.0004885625629529467,0.006008007323346802,0.060770847392162666,0.16537162847720294,-0.10583600508718013,0.13704186911855148,-0.07982801390097982,0.11456560136304951,ptua,POC.52
ptua_POC.53,0.2981936686628652,0.1611797359839169,-0.0026336864294897117,0.04272870664878963,-0.22844416103692014,0.34347573279834454,-0.2428042562724317,0.04806585120774883,ptua,POC.53
ptua_POC.57,0.24654077511018488,0.2541651399522644,-0.08717196417357359,-0.062603559160523,-0.23255765397728073,0.3365855406271062,-0.2057283496440212,-0.0352213282263204,ptua,POC.57
