group_id,gene_id,POR.216.TP1,POR.216.TP2,POR.216.TP3,POR.216.TP4,POR.236.TP1,POR.236.TP2,POR.245.TP1,POR.245.TP2,POR.245.TP3,POR.245.TP4,POR.260.TP1,POR.260.TP2,POR.260.TP3,POR.260.TP4,POR.262.TP1,POR.262.TP2,POR.262.TP3,POR.262.TP4,POR.69.TP1,POR.69.TP2,POR.69.TP3,POR.69.TP4,POR.72.TP1,POR.72.TP2,POR.72.TP3,POR.72.TP4,POR.73.TP1,POR.73.TP2,POR.73.TP3,POR.73.TP4,POR.74.TP1,POR.74.TP2,POR.74.TP3,POR.74.TP4,POR.83.TP1,POR.83.TP2,POR.83.TP3,POR.83.TP4
OG_02404,gene-Peve_00032043,480,626,520,329,933,312,818,272,241,1128,947,326,793,742,1168,1351,1044,660,742,550,430,425,702,695,739,1015,457,396,196,309,820,340,638,148,951,494,311,397
OG_07964,gene-Peve_00020841,17,91,31,4,48,33,24,51,9,15,89,27,28,27,15,31,68,25,20,45,35,8,23,12,21,28,7,19,22,12,15,5,37,0,21,9,31,11
OG_00177,gene-Peve_00002066,14,10,7,10,14,5,20,3,0,9,22,4,2,4,12,5,6,11,13,7,9,17,15,12,15,12,8,6,2,8,17,3,3,6,17,9,5,11
OG_09032,gene-Peve_00013498,156,462,223,98,418,160,318,206,104,322,409,168,198,162,220,340,422,245,336,271,188,149,456,425,370,478,238,104,89,93,172,102,188,81,343,167,123,174
OG_00401,gene-Peve_00008789,1472,1324,1344,473,1714,920,1253,843,625,1009,1355,819,822,733,1341,957,1739,928,971,904,792,533,1119,964,1167,1106,768,824,489,826,1053,441,1131,510,641,860,918,1075
OG_00700,gene-Peve_00034035,548,758,315,173,548,262,497,194,189,570,904,264,275,309,552,586,464,285,356,407,189,147,473,504,359,550,363,185,127,214,562,112,292,162,360,154,153,185
OG_00872,gene-Peve_00031557,119,130,43,83,76,18,64,47,74,83,113,42,75,53,58,113,72,50,204,105,105,146,167,142,106,268,56,43,57,26,76,67,100,52,266,139,35,178
OG_02014,gene-Peve_00010858,458,292,206,216,543,129,335,102,111,314,515,164,231,250,340,547,399,208,257,268,136,189,1294,433,267,473,119,113,85,184,522,176,337,84,293,174,120,99
OG_02998,gene-Peve_00040996,3934,1357,283,1629,551,189,4339,190,1892,742,5868,995,2134,2577,4142,1099,680,273,2564,4798,557,1438,883,3614,3973,4107,1557,1514,152,2859,5135,1103,3117,2094,1029,3155,379,1304
OG_03292,gene-Peve_00041984,1084,947,758,587,1268,501,1359,411,509,1015,1567,518,857,940,974,1466,1052,645,1228,1264,820,524,1392,884,1141,1480,1006,469,472,725,1597,728,1320,512,1384,644,719,610
OG_00179,gene-Peve_00002057,256,88,67,53,80,34,19,10,10,208,37,0,13,12,76,78,34,35,0,0,0,0,179,130,43,87,18,38,11,17,85,50,18,17,67,40,27,64
OG_00230,gene-Peve_00007808,35,39,19,9,49,22,14,9,8,59,29,12,7,24,0,31,41,26,16,0,22,23,41,31,27,64,0,6,10,5,9,14,5,7,28,13,4,17
OG_00315,gene-Peve_00029372,64,149,132,64,147,47,115,88,56,173,220,52,145,99,83,272,128,187,75,143,59,45,87,53,155,112,96,31,88,57,88,66,134,66,294,65,78,48
OG_01010,gene-Peve_00033214,104,105,71,24,116,32,47,44,48,64,94,53,75,68,83,159,123,85,46,57,31,17,109,82,47,134,53,46,36,66,67,20,81,39,60,18,69,18
OG_01467,gene-Peve_00036052,86,161,49,13,82,58,84,54,25,124,191,33,27,83,109,115,102,109,163,56,57,81,132,91,59,184,85,30,37,45,103,44,65,43,68,27,62,95
OG_01723,gene-Peve_00021642,293,248,137,67,228,50,236,67,64,111,279,118,240,245,130,319,149,169,187,105,69,64,490,222,147,250,67,38,33,36,117,42,196,25,198,72,86,77
OG_02048,gene-Peve_00035501,154,36,33,53,9,14,118,5,29,5,45,11,24,39,59,32,27,59,31,73,3,19,68,79,92,79,6,93,10,111,208,32,20,44,60,92,13,63
OG_02128,gene-Peve_00009801,74,178,22,29,53,45,59,26,25,70,107,18,32,36,34,80,66,37,21,39,46,19,36,73,71,74,47,20,17,40,58,15,20,12,21,21,20,7
OG_02225,gene-Peve_00035603,60,92,24,8,59,38,60,29,7,64,117,37,28,22,32,55,70,46,105,45,36,15,66,57,47,77,35,25,29,6,36,22,20,8,54,14,28,47
OG_02262,gene-Peve_00025636,58,30,74,15,46,20,26,30,0,34,51,13,12,38,21,53,36,29,39,11,32,40,49,44,38,89,5,12,7,16,25,0,24,10,34,23,24,14
