"","gene_id","POC.201.TP1","POC.201.TP2","POC.201.TP3","POC.219.TP1","POC.219.TP2","POC.219.TP3","POC.219.TP4","POC.222.TP1","POC.222.TP2","POC.222.TP3","POC.222.TP4","POC.255.TP1","POC.255.TP2","POC.255.TP3","POC.255.TP4","POC.259.TP1","POC.259.TP2","POC.259.TP3","POC.259.TP4","POC.40.TP1","POC.40.TP2","POC.40.TP3","POC.40.TP4","POC.42.TP1","POC.42.TP2","POC.42.TP3","POC.42.TP4","POC.52.TP1","POC.52.TP2","POC.52.TP3","POC.52.TP4","POC.53.TP1","POC.53.TP2","POC.53.TP3","POC.53.TP4","POC.57.TP1","POC.57.TP2","POC.57.TP3","POC.57.TP4"
"50","gene-Pocillopora_meandrina_HIv1___RNAseq.g20952.t1",1285,1534,906,2489,1018,652,1499,2453,1670,3511,1135,1542,1266,1081,1622,1065,1922,2012,2105,978,1926,1410,1812,1104,2035,1549,2077,249,2036,2310,2053,985,1347,1538,1930,1593,762,1659,2265
"381","gene-Pocillopora_meandrina_HIv1___RNAseq.g21282.t1",566,1032,616,1200,756,300,568,1308,657,1138,412,1025,642,650,847,804,758,768,1252,428,1001,404,769,551,867,604,443,79,641,1241,723,602,685,676,851,663,374,819,754
"881","gene-Pocillopora_meandrina_HIv1___RNAseq.g21808.t1",1576,2295,1529,3088,1764,933,1705,1978,2035,3665,1298,1441,1542,1398,2140,1856,2830,2775,3118,1021,1769,1973,1577,1139,1657,1473,1640,325,2061,3469,2950,1408,1218,1849,2176,1825,788,2028,1876
"2098","gene-Pocillopora_meandrina_HIv1___TS.g28209.t1",0,0,0,0,0,0,0,0,14,9,0,3,0,0,4,0,0,0,0,9,0,7,6,0,11,11,9,0,0,0,0,9,0,0,0,0,0,0,0
"2175","gene-Pocillopora_meandrina_HIv1___RNAseq.g18887.t1",1812,3727,2057,4431,2506,1463,2414,4777,4224,4845,2836,5215,3634,620,3865,2728,2729,2218,5126,2759,4743,1863,5103,2339,5888,4698,1606,278,2934,2741,3102,2437,4126,1829,3171,1930,1604,2048,4057
"3084","gene-Pocillopora_meandrina_HIv1___RNAseq.g20020.t1",6752,9806,3593,8114,4540,1953,6460,13084,9902,11598,5802,13374,8365,4321,9348,6957,8155,8954,11625,4585,8112,5592,10390,6656,12323,9193,11303,1049,11029,10620,7733,5432,6681,6986,11309,6281,3438,5778,12813
"3404","gene-Pocillopora_meandrina_HIv1___RNAseq.g20351.t1",475,696,456,1642,981,372,810,1388,1118,1993,958,625,586,318,1112,884,658,943,1195,752,825,634,729,834,1167,691,488,121,563,848,1131,600,800,760,708,833,972,833,1001
"3483","gene-Pocillopora_meandrina_HIv1___RNAseq.g20430.t1",1589,966,153,554,576,122,636,640,533,1026,530,446,693,235,662,541,1031,424,600,371,569,414,428,378,887,415,290,39,677,288,558,386,678,414,573,580,583,434,1026
"3691","gene-Pocillopora_meandrina_HIv1___RNAseq.4208_tb",1381,1474,907,1266,661,388,711,759,1246,4187,1077,1416,983,630,1471,949,1018,939,1512,549,1175,1211,782,385,1163,680,300,192,1763,2070,1558,1084,980,1853,1277,711,415,1857,905
"4578","gene-Pocillopora_meandrina_HIv1___RNAseq.g7486.t1",702,1875,1238,2906,1527,802,959,1351,1191,2471,1375,1268,1516,960,2312,1691,1382,1972,2690,797,1205,946,1268,1157,1758,1685,1268,154,1098,1700,1712,1310,1294,1158,1199,1051,804,1211,892
"4818","gene-Pocillopora_meandrina_HIv1___RNAseq.g7693.t1",209,211,30,290,118,18,146,164,167,524,148,79,244,120,307,238,600,188,416,48,79,148,95,68,133,87,37,49,153,264,447,203,119,317,62,86,34,231,122
"4878","gene-Pocillopora_meandrina_HIv1___RNAseq.g7737.t1",533,879,410,947,486,279,597,895,835,1340,370,377,700,672,604,509,1704,951,948,299,448,645,429,350,612,367,812,144,909,1115,808,483,487,812,774,619,329,643,772
"5422","gene-Pocillopora_meandrina_HIv1___RNAseq.g15307.t1",4243,2338,1210,2785,2090,1152,3226,5677,4953,3761,3589,5701,3955,880,4158,2366,2519,3298,4824,3248,4906,2610,6045,3655,6074,4756,1661,312,3572,2687,3180,2330,3560,2078,4771,2886,1805,1811,6590
"5549","gene-Pocillopora_meandrina_HIv1___RNAseq.g15420.t1",1331,3240,1058,1899,1679,644,1089,2460,2853,3595,1135,1737,1529,768,1379,1645,2387,1859,2513,1357,2361,1563,2046,1297,2729,1549,1741,375,2544,2760,1707,1511,1534,1447,1533,1319,1087,1414,1480
"5630","gene-Pocillopora_meandrina_HIv1___RNAseq.g15550.t1",846,2720,1326,3097,1811,781,1017,2030,1576,3787,1472,1771,2128,1109,2394,1987,2512,1932,3713,1719,2717,1485,2299,1069,2191,1608,870,181,1735,2822,2414,1880,1906,1876,1232,1374,920,1503,986
"8196","gene-Pocillopora_meandrina_HIv1___RNAseq.g23453.t1",622,865,266,1042,527,164,380,824,471,1395,404,608,1008,670,1180,870,956,577,1196,359,376,567,381,327,506,286,167,63,409,872,974,646,486,845,324,555,254,838,443
"8504","gene-Pocillopora_meandrina_HIv1___RNAseq.g23800.t1",179,196,100,261,69,39,143,138,134,436,138,107,146,174,320,241,120,239,321,104,161,190,184,170,263,191,236,53,172,270,340,290,124,178,178,242,126,416,357
"10705","gene-Pocillopora_meandrina_HIv1___RNAseq.g5776.t1",610,1063,304,877,665,213,316,1277,830,1428,548,783,668,498,909,850,815,763,1132,541,518,685,557,674,1007,656,433,77,533,1068,1170,799,667,1332,406,980,373,1345,921
"13873","gene-Pocillopora_meandrina_HIv1___RNAseq.g8518.t1",633,1104,243,816,622,260,423,867,1227,1468,445,414,877,653,657,484,902,757,718,415,600,682,497,444,528,339,308,150,898,932,700,589,476,795,744,580,216,498,827
"13975","gene-Pocillopora_meandrina_HIv1___TS.g20387.t1",164,306,162,382,135,58,234,548,204,449,140,364,187,171,265,225,260,151,394,125,115,140,301,207,217,177,236,28,188,165,359,184,113,276,291,153,131,222,422
"14136","gene-Pocillopora_meandrina_HIv1___RNAseq.g8838.t1",1211,1498,833,1396,998,508,1111,1490,1276,2246,934,965,1182,948,1073,810,1424,1552,1294,743,1239,1256,1143,874,1208,830,1523,201,1231,1346,1137,903,930,1420,1394,1275,556,1154,1517
"15597","gene-Pocillopora_meandrina_HIv1___RNAseq.g3859.t1",311,832,439,1025,478,227,357,812,352,1006,338,584,423,284,593,534,647,580,827,193,402,340,392,214,413,268,366,31,315,649,680,387,298,607,341,330,186,456,980
"16166","gene-Pocillopora_meandrina_HIv1___TS.g19181.t1",92,352,92,156,177,16,83,529,263,375,51,287,155,59,134,274,315,99,385,175,212,128,375,214,521,294,68,16,208,240,216,187,208,180,155,135,113,130,313
"16671","gene-Pocillopora_meandrina_HIv1___RNAseq.g4371.t1",1903,410,178,578,519,251,738,1339,1132,543,376,4994,824,239,662,373,315,570,601,2349,3855,770,8295,1310,2924,4248,650,44,1333,215,477,471,1410,386,1850,873,389,826,2652
"16681","gene-Pocillopora_meandrina_HIv1___RNAseq.g4387.t1",915,1449,582,1530,1119,514,622,937,871,1711,596,389,1179,547,1160,1044,1762,983,1941,476,1060,813,548,698,1242,715,280,143,944,1641,1487,1248,1260,1223,853,1030,466,944,1186
"16718","gene-Pocillopora_meandrina_HIv1___RNAseq.g4424.t2",1701,1687,464,1265,1192,326,528,636,1135,3681,1062,290,1334,560,1706,1659,2334,1032,1849,943,791,1419,483,948,683,522,117,148,790,1660,2630,2022,1214,2097,398,1560,848,2292,532
"17910","gene-Pocillopora_meandrina_HIv1___RNAseq.g29089.t1",374,527,132,306,208,23,129,529,384,622,216,346,290,86,283,344,429,189,281,311,298,334,293,384,365,291,114,26,208,321,362,408,277,507,159,361,134,442,299
"18222","gene-Pocillopora_meandrina_HIv1___RNAseq.g29417.t1",2096,2659,1673,3975,1880,1127,1958,3475,2953,4494,1983,2875,2713,2300,3262,2032,3726,3584,4145,1481,2619,2057,2340,1663,2706,2047,2984,322,2975,4055,2976,1827,2090,2705,3633,2099,1313,2233,3303
"18307","gene-Pocillopora_meandrina_HIv1___RNAseq.g29499.t1",593,647,431,993,451,267,499,720,373,1293,441,294,498,593,827,529,741,905,1025,178,280,584,297,252,377,241,139,81,333,655,937,474,321,720,389,594,289,645,530
