"","gene_id","POC.201.TP1","POC.201.TP2","POC.201.TP3","POC.219.TP1","POC.219.TP2","POC.219.TP3","POC.219.TP4","POC.222.TP1","POC.222.TP2","POC.222.TP3","POC.222.TP4","POC.255.TP1","POC.255.TP2","POC.255.TP3","POC.255.TP4","POC.259.TP1","POC.259.TP2","POC.259.TP3","POC.259.TP4","POC.40.TP1","POC.40.TP2","POC.40.TP3","POC.40.TP4","POC.42.TP1","POC.42.TP2","POC.42.TP3","POC.42.TP4","POC.52.TP1","POC.52.TP2","POC.52.TP3","POC.52.TP4","POC.53.TP1","POC.53.TP2","POC.53.TP3","POC.53.TP4","POC.57.TP1","POC.57.TP2","POC.57.TP3","POC.57.TP4"
"346","gene-Pocillopora_meandrina_HIv1___TS.g26003.t2",2121,1197,224,1164,948,147,704,1812,1858,1909,951,1278,1334,484,1306,1074,1093,849,1263,1326,1323,1432,1023,1534,1628,1214,217,169,1085,924,1495,867,1249,1391,780,1534,1030,1606,1419
"1284","gene-Pocillopora_meandrina_HIv1___RNAseq.g22341.t1",1445,32465,13874,19344,15380,3874,6845,3066,17612,32266,13040,7113,14979,10531,28946,16739,31844,11721,19692,11894,25844,3401,11337,13666,16799,17640,8309,1142,15926,23458,18828,23878,31093,14449,33662,6589,14478,5057,4423
"2300","gene-Pocillopora_meandrina_HIv1___RNAseq.g19007.t1",248,333,163,678,257,140,260,180,131,496,299,58,114,290,350,301,354,298,309,115,129,522,216,163,195,158,48,23,93,230,429,196,129,319,200,200,146,365,157
"2617","gene-Pocillopora_meandrina_HIv1___RNAseq.g19422.t1",2946,2578,493,2198,1475,398,1333,3315,1906,4314,1614,2074,1815,853,2687,1583,2842,1666,3334,1442,2043,2283,2564,1644,2500,1978,713,126,2257,2541,3619,1799,1727,3038,1939,2306,659,2866,3035
"5085","gene-Pocillopora_meandrina_HIv1___TS.g1771.t2",97,192,29,297,61,0,66,224,72,342,70,34,62,68,110,144,219,161,227,69,57,200,133,129,50,52,114,0,33,80,166,192,50,208,24,142,79,257,69
"6612","gene-Pocillopora_meandrina_HIv1___RNAseq.g24109.t1",24,64,10,19,17,2,3,35,44,57,8,20,59,20,20,26,38,23,56,14,17,43,4,3,9,8,11,0,37,17,48,60,15,86,4,25,16,88,0
"7037","gene-Pocillopora_meandrina_HIv1___RNAseq.g24508.t1",712,281,44,91,190,47,150,263,215,204,126,202,386,50,364,70,184,121,185,418,265,424,229,240,217,210,0,7,261,151,325,256,368,207,139,456,85,273,442
"8058","gene-Pocillopora_meandrina_HIv1___TS.g16203.t1",7954,4553,1900,5472,4807,1190,3680,5140,4351,7265,4329,3940,5930,4149,6081,4850,6467,5103,5124,4657,3652,6727,3616,3694,3138,4154,1124,1502,3159,4778,6715,6136,4897,6672,2899,5721,3469,7563,6217
"9793","gene-Pocillopora_meandrina_HIv1___RNAseq.g27861.t1",594,711,184,543,257,128,272,923,302,1224,268,566,224,212,516,412,728,365,830,263,406,693,612,410,603,430,71,33,376,446,849,469,332,726,368,516,138,805,472
"11145","gene-Pocillopora_meandrina_HIv1___RNAseq.g1698.t1",108,415,89,685,299,81,104,223,109,728,143,103,162,109,193,454,439,64,378,83,81,102,60,127,187,96,13,31,83,202,315,184,97,212,36,111,135,451,36
