group_id,gene_id,ACR.139.TP1,ACR.139.TP2,ACR.139.TP3,ACR.139.TP4,ACR.145.TP1,ACR.145.TP2,ACR.145.TP3,ACR.145.TP4,ACR.150.TP1,ACR.150.TP2,ACR.150.TP3,ACR.150.TP4,ACR.173.TP1,ACR.173.TP2,ACR.173.TP3,ACR.173.TP4,ACR.186.TP1,ACR.186.TP2,ACR.186.TP3,ACR.186.TP4,ACR.225.TP1,ACR.225.TP2,ACR.225.TP3,ACR.225.TP4,ACR.229.TP1,ACR.229.TP2,ACR.229.TP3,ACR.229.TP4,ACR.237.TP1,ACR.237.TP2,ACR.237.TP3,ACR.237.TP4,ACR.244.TP1,ACR.244.TP2,ACR.244.TP3,ACR.244.TP4,ACR.265.TP1,ACR.265.TP2,ACR.265.TP3,ACR.265.TP4
OG_00403,FUN_001290,866,507,799,4754,713,542,316,1043,1915,737,593,2243,607,711,346,712,694,698,370,3777,583,566,802,483,1228,565,610,564,911,326,561,466,293,509,732,252,673,474,441,703
OG_02872,FUN_011922,1994,1619,841,935,1013,790,529,811,814,2166,1763,1554,630,1686,715,502,638,933,271,843,467,1039,976,307,1443,1161,1654,345,689,684,1852,733,417,1711,2379,302,665,2059,1660,491
OG_00858,FUN_004121,875,1524,775,1439,1735,561,347,481,342,742,595,1171,565,961,944,521,197,818,452,1245,2037,291,1351,867,2794,1100,1514,372,548,561,1135,688,917,1122,2247,633,873,934,1945,1082
OG_04635,FUN_022357,557,228,159,1486,119,20,142,418,0,474,20,32,45,51,68,21,70,153,153,695,41,13,76,12,422,445,545,108,14,13,30,17,13,152,103,24,132,735,454,133
OG_05914,FUN_026106,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,6,3,8
OG_02403,FUN_009044,797,735,543,570,160,236,130,139,35,403,693,267,136,630,222,151,85,310,77,574,86,275,686,127,410,250,619,99,28,197,812,164,38,593,1135,137,0,378,202,196
OG_04243,FUN_017765,815,927,739,349,258,372,241,156,122,337,922,561,186,445,416,142,86,540,236,255,192,290,836,191,653,663,942,236,347,460,634,335,220,517,1139,149,238,579,440,332
OG_07641,FUN_034420,2756,2653,1201,1876,1163,1799,465,502,975,2651,1770,1469,660,2726,1661,1564,450,851,306,2064,230,1103,1796,662,1814,1264,1200,864,694,1102,4153,552,253,1777,2310,309,593,621,823,1286
OG_00314,FUN_001118,3223,4834,4271,5666,3739,6146,7608,2366,6575,13340,8284,4433,6344,4573,8869,5729,6045,8844,7798,6383,3182,1176,9403,6402,5391,7059,10796,15164,4661,8591,9889,20378,2896,3701,8280,8294,5842,5171,10039,11537
OG_01767,FUN_007124,701,530,375,436,739,544,339,528,367,614,605,1218,411,985,791,608,222,408,277,720,462,1038,728,335,1415,728,537,268,806,933,756,598,243,1080,668,245,407,699,415,540
OG_07188,FUN_032679,130,160,240,59,418,36,48,46,182,50,203,366,374,53,47,103,128,137,109,144,2032,51,108,785,756,48,302,1235,1487,65,98,1256,643,79,298,2320,261,65,143,396
