"","gene_id","POR.216.TP1","POR.216.TP2","POR.216.TP3","POR.216.TP4","POR.236.TP1","POR.236.TP2","POR.245.TP1","POR.245.TP2","POR.245.TP3","POR.245.TP4","POR.260.TP1","POR.260.TP2","POR.260.TP3","POR.260.TP4","POR.262.TP1","POR.262.TP2","POR.262.TP3","POR.262.TP4","POR.69.TP1","POR.69.TP2","POR.69.TP3","POR.69.TP4","POR.72.TP1","POR.72.TP2","POR.72.TP3","POR.72.TP4","POR.73.TP1","POR.73.TP2","POR.73.TP3","POR.73.TP4","POR.74.TP1","POR.74.TP2","POR.74.TP3","POR.74.TP4","POR.83.TP1","POR.83.TP2","POR.83.TP3","POR.83.TP4"
"19","gene-Peve_00000123",57,210,67,42,241,63,102,33,46,83,240,81,40,61,67,131,107,72,24,58,58,13,56,19,58,31,55,36,13,33,57,19,51,17,50,44,27,23
"600","gene-Peve_00043689",49,213,51,24,142,32,99,53,13,124,172,37,58,134,146,177,155,94,101,69,61,46,94,73,79,70,54,32,44,80,108,48,72,27,54,31,16,18
"1183","gene-Peve_00012278",416,953,274,110,577,264,611,431,237,159,992,313,260,339,559,356,630,377,365,532,243,159,311,702,366,630,120,108,79,217,583,141,414,296,182,507,175,171
"3656","gene-Peve_00042780",144,2445,1060,434,1097,556,927,659,627,820,1216,823,1268,710,619,1807,1575,1064,129,575,516,99,339,94,599,166,319,475,611,194,385,191,1388,86,166,120,247,55
"4199","gene-Peve_00001160",3274,8460,2914,1099,8489,2102,4987,686,9865,3867,14486,2813,3779,3332,3585,6217,5730,914,1698,7716,2883,573,2266,3747,5356,3487,4103,2068,1858,3062,4437,1466,8184,1186,1498,2592,1845,640
"4251","gene-Peve_00001455",2508,2794,1064,687,2629,1658,2003,1409,1189,2601,2964,1339,1261,2073,1594,2160,2159,1567,1183,1562,1146,897,589,998,1043,1553,702,847,678,1134,1448,883,1386,1147,695,1278,1103,778
"5498","gene-Peve_00009172",364,524,265,181,603,290,629,352,225,10,1042,89,216,423,542,416,476,391,279,357,36,61,109,275,4,384,0,0,137,250,253,130,141,254,349,377,59,151
"6304","gene-Peve_00013775",6580,953,383,1080,565,188,1229,113,673,296,2151,623,1040,1386,860,308,233,167,858,457,134,658,1117,3702,2878,3756,323,402,33,318,2095,477,483,1043,702,4200,540,1596
"6960","gene-Peve_00017482",92,162,36,39,209,137,264,117,83,146,355,149,38,162,192,164,253,190,130,119,72,120,111,86,132,175,72,19,37,44,197,59,99,49,77,117,55,81
"7115","gene-Peve_00018178",234,444,165,94,393,180,220,160,152,223,228,71,78,142,237,292,296,233,78,221,90,78,104,143,153,298,124,62,76,134,267,69,166,93,67,216,99,81
"10005","gene-Peve_00031569",9,65,10,10,35,14,4,10,4,7,15,0,4,15,16,8,11,17,6,4,2,5,4,0,2,0,0,0,2,2,0,2,4,0,4,0,7,0
