group_id,gene_id,ACR.139.TP1,ACR.139.TP2,ACR.139.TP3,ACR.139.TP4,ACR.145.TP1,ACR.145.TP2,ACR.145.TP3,ACR.145.TP4,ACR.150.TP1,ACR.150.TP2,ACR.150.TP3,ACR.150.TP4,ACR.173.TP1,ACR.173.TP2,ACR.173.TP3,ACR.173.TP4,ACR.186.TP1,ACR.186.TP2,ACR.186.TP3,ACR.186.TP4,ACR.225.TP1,ACR.225.TP2,ACR.225.TP3,ACR.225.TP4,ACR.229.TP1,ACR.229.TP2,ACR.229.TP3,ACR.229.TP4,ACR.237.TP1,ACR.237.TP2,ACR.237.TP3,ACR.237.TP4,ACR.244.TP1,ACR.244.TP2,ACR.244.TP3,ACR.244.TP4,ACR.265.TP1,ACR.265.TP2,ACR.265.TP3,ACR.265.TP4
OG_02404,FUN_009053,254,783,331,239,126,162,116,141,56,275,388,288,53,257,148,51,0,272,81,131,33,110,248,16,205,183,254,0,61,174,374,110,36,305,680,17,44,254,295,72
OG_07964,FUN_035525,297,223,245,203,88,112,48,237,64,281,194,199,79,284,244,94,27,233,26,191,75,137,250,39,180,131,169,16,47,181,232,76,25,141,276,21,105,97,132,17
OG_00177,FUN_000870,63,196,109,95,66,19,54,53,8,79,48,88,62,86,95,107,51,128,54,174,76,34,92,42,171,166,143,18,43,45,49,37,30,95,165,25,1,73,54,27
OG_09032,FUN_038632,702,1269,1065,835,619,774,828,614,862,1248,1114,993,703,950,995,707,1085,1326,594,1260,458,543,1263,468,1099,838,1259,376,559,637,1551,602,372,781,1711,379,496,558,764,506
OG_00401,FUN_001272,1814,2184,2638,2130,2532,1224,1719,1730,2412,1438,2503,3146,2911,1407,2973,1891,1638,1923,1482,2725,3592,985,2806,2515,4360,1557,2213,2662,4084,1862,2204,4405,2739,1428,2231,2678,3355,1761,2769,3552
OG_00700,FUN_002432,954,1018,1138,895,693,328,450,408,767,503,655,1218,577,433,599,486,261,345,311,486,715,373,748,411,794,262,581,665,1308,658,722,1028,617,471,681,673,837,473,718,862
OG_00872,FUN_004160,851,1046,746,586,410,247,224,358,122,457,640,421,243,490,301,91,225,376,53,213,193,449,529,151,420,355,708,97,123,297,524,213,248,485,945,225,240,467,428,336
OG_02014,FUN_008187,326,621,210,286,80,253,62,54,130,336,507,182,114,289,108,41,104,342,27,191,59,211,359,76,144,288,276,68,116,139,471,156,34,272,504,57,65,244,199,190
OG_02998,FUN_012177,11362,2416,780,5347,1398,2466,258,819,1148,6114,749,2685,1108,7656,396,970,1566,1139,120,4721,149,2742,811,613,1747,701,771,279,679,757,1352,350,175,2283,1402,215,306,957,947,828
OG_03292,FUN_013354,1539,1387,1027,791,944,681,871,630,646,935,1116,1147,698,1083,657,640,540,678,353,756,694,1039,1165,543,1818,1027,1520,381,651,653,1148,713,513,1418,1889,205,596,1100,1028,580
OG_00179,FUN_000872,545,611,627,675,548,422,261,491,724,579,816,789,355,405,452,382,1239,729,291,1159,344,413,416,252,661,416,521,1061,742,449,711,463,352,464,477,496,1301,548,359,519
OG_00230,FUN_000973,46,143,289,147,85,66,72,52,75,68,235,214,60,33,144,31,64,117,118,132,193,71,271,86,300,160,185,94,254,73,167,252,82,79,120,109,94,44,73,49
