"","gene_id","ACR.139.TP1","ACR.139.TP2","ACR.139.TP3","ACR.139.TP4","ACR.145.TP1","ACR.145.TP2","ACR.145.TP3","ACR.145.TP4","ACR.150.TP1","ACR.150.TP2","ACR.150.TP3","ACR.150.TP4","ACR.173.TP1","ACR.173.TP2","ACR.173.TP3","ACR.173.TP4","ACR.186.TP1","ACR.186.TP2","ACR.186.TP3","ACR.186.TP4","ACR.225.TP1","ACR.225.TP2","ACR.225.TP3","ACR.225.TP4","ACR.229.TP1","ACR.229.TP2","ACR.229.TP3","ACR.229.TP4","ACR.237.TP1","ACR.237.TP2","ACR.237.TP3","ACR.237.TP4","ACR.244.TP1","ACR.244.TP2","ACR.244.TP3","ACR.244.TP4","ACR.265.TP1","ACR.265.TP2","ACR.265.TP3","ACR.265.TP4"
"1204","FUN_004110",126,268,186,80,160,170,165,147,27,177,342,256,111,230,328,99,0,158,126,49,156,212,225,60,187,409,235,16,149,183,273,173,151,420,283,183,108,318,193,199
"1281","FUN_004158",352,312,177,242,155,219,173,51,28,445,273,306,57,268,176,125,89,401,242,378,126,205,408,92,272,350,304,20,153,141,348,241,72,189,337,68,120,350,165,65
"1486","FUN_004368",74,34,12,64,21,49,20,0,31,82,33,73,10,88,218,72,30,27,25,143,50,89,27,19,39,35,13,0,15,10,19,38,3,30,25,0,43,63,21,84
"1625","FUN_004511",688,877,466,767,466,369,248,425,280,658,827,793,258,677,553,259,329,527,332,844,289,525,1182,281,832,745,950,349,383,492,820,319,268,668,1202,279,153,817,688,427
"3342","FUN_000971",210,152,358,212,708,109,139,52,205,99,633,830,185,224,179,230,67,163,82,186,483,136,86,150,811,91,522,155,524,134,158,98,340,130,295,95,1613,171,390,195
"6042","FUN_007337",577,516,617,603,991,311,704,545,367,960,476,643,597,556,932,777,171,313,242,311,406,228,519,235,831,343,454,549,793,331,573,714,406,521,601,479,702,752,703,769
"6725","FUN_008308",3500,7727,3823,2203,1967,4572,2967,2266,1016,10912,4943,2786,868,4221,3131,897,1052,8486,1714,2451,1008,5457,4639,799,2254,9770,5856,363,1407,3222,7175,1176,581,4569,5452,655,1007,8415,4140,1009
"6948","FUN_008544",2354,3735,5968,1733,1795,1541,2396,748,932,2550,7261,3057,1245,2920,4096,1273,1115,2312,2368,2489,953,1391,8176,2445,2653,1683,6197,2155,1688,1953,6950,3340,961,2366,8290,1591,907,1432,4348,2638
"9417","FUN_011934",1346,1889,1601,1639,1653,1203,678,632,631,1730,1703,2409,1183,1116,1320,936,756,1607,614,1604,1095,436,1163,643,1996,1026,1212,761,1335,942,1612,1105,1205,1082,1716,752,963,1283,1238,1343
"9577","FUN_012106",1206,1017,1352,1227,1582,1070,379,312,1124,426,1258,2326,792,620,1078,976,546,2467,1092,1645,2401,889,1053,1303,2633,1557,1498,1710,4063,991,1382,2130,1701,1060,1027,3412,1585,831,572,699
"9646","FUN_012186",676,837,997,696,1032,565,454,512,678,907,568,752,590,638,774,618,321,1360,510,893,1044,656,730,930,1146,497,702,657,1187,653,502,1136,562,471,512,887,1560,735,627,981
"9795","FUN_012330",786,1347,792,841,465,796,326,372,832,2787,1074,876,513,1246,353,440,720,1445,87,1042,141,348,853,169,595,595,668,116,259,381,1734,313,139,357,1074,188,154,577,485,507
"9924","FUN_012476",451,341,58,284,73,171,0,124,117,1118,3,15,112,551,9,88,107,248,0,132,53,45,29,44,204,14,0,13,30,15,19,12,22,123,18,0,65,85,13,18
"10270","FUN_012926",100,49,41,83,29,117,57,146,60,80,108,93,40,81,92,7,0,98,67,174,19,43,111,8,69,114,122,48,20,53,73,29,8,92,75,26,27,86,77,23
"10629","FUN_013591",1147,1163,3511,951,936,746,2252,664,632,1609,1787,936,1097,665,1871,905,1102,852,1392,1231,768,1159,2175,1333,1469,1704,3128,1478,573,956,1662,1913,622,1662,2945,1494,844,1560,1403,1676
"11655","FUN_014803",392,308,203,380,886,116,495,228,135,237,169,248,232,428,331,292,112,150,205,302,357,119,199,201,655,202,304,205,218,85,332,226,197,188,338,149,475,341,239,363
"13119","FUN_016651",418,1706,931,296,325,313,106,103,53,439,934,488,116,756,807,235,91,620,141,206,185,183,524,173,550,333,509,21,274,344,1028,297,276,398,1091,156,75,503,786,203
"16086","FUN_022204",162,129,47,49,15,40,0,12,13,73,110,48,11,71,19,0,0,78,13,63,42,105,89,4,107,50,111,39,0,16,104,22,0,130,148,16,0,77,77,34
"16384","FUN_022506",93,199,258,174,273,95,199,144,173,107,152,255,110,111,241,132,116,173,112,246,305,198,278,240,474,173,201,203,449,170,228,346,265,171,319,301,459,226,230,438
"16496","FUN_022625",782,1247,1622,1006,1482,611,1920,926,1142,1299,1235,1128,917,829,1518,1058,598,993,884,988,1338,1394,2350,1123,1855,1092,1227,976,1328,866,1282,1367,1098,1047,1447,1267,1658,2194,1506,1354
"18547","FUN_024942",215,369,256,173,205,177,171,122,102,205,448,297,72,131,244,119,79,277,117,209,235,47,400,138,419,186,382,217,306,165,368,470,302,196,403,156,73,161,272,292
"19123","FUN_025682",18,44,30,32,205,59,25,22,46,22,98,96,75,64,34,41,7,87,25,44,75,43,32,0,113,54,64,53,75,47,71,61,20,17,113,13,13,58,66,73
"19171","FUN_025724",16549,24138,11837,15526,6022,11546,5493,3871,3474,14542,3415,11234,5608,17327,9198,4682,3077,13386,3464,15467,3321,5778,7883,3942,22041,9323,10593,2004,4148,6076,9416,6454,3382,9711,14943,3130,4468,11390,9934,3597
"19281","FUN_025847",60,65,38,111,23,93,26,30,89,51,146,60,49,41,39,24,6,98,16,86,68,26,68,23,70,75,80,0,56,36,56,78,40,30,56,24,36,116,54,29
"21138","FUN_028130",1954,2248,1580,1181,601,1446,596,405,671,1347,2430,1145,529,1123,886,419,552,687,339,862,632,920,2774,499,1993,1925,2479,498,410,1224,3322,1104,544,1099,2369,251,248,725,977,433
"21966","FUN_029045",2319,2578,2837,2840,3452,1685,3851,1352,2279,3085,2238,3191,1935,1435,2821,2253,1403,2561,3177,2990,2257,1857,2360,2329,3283,2978,2370,2030,3299,1947,2441,3577,1663,2433,2448,2555,3975,3179,2587,3320
"23877","FUN_031719",257,208,120,573,134,59,27,139,85,75,128,238,116,116,84,136,39,132,42,801,70,116,182,59,267,161,196,75,68,11,137,50,17,66,129,0,0,123,138,43
"24249","FUN_032130",886,1106,1277,894,938,934,1239,528,545,1275,1258,993,305,551,971,535,247,1006,927,778,654,1202,1157,633,920,1342,1096,383,836,1011,1279,821,607,1281,887,531,814,1650,696,851
"24343","FUN_032194",2361,3015,2082,2069,1544,2166,1560,1466,650,2804,2688,2228,904,1708,1456,598,395,2574,1313,2273,1050,2458,2526,926,3052,3643,2839,719,1094,1777,2800,1154,891,3568,3043,869,929,2865,2275,978
"24378","FUN_032241",392,504,389,273,257,351,183,135,201,596,500,402,183,242,282,111,207,737,226,549,93,157,322,58,360,324,407,118,147,218,658,269,16,114,244,43,100,447,345,185
"25475","FUN_033509",1149,1718,1830,1231,2116,1740,1993,531,1417,3230,2282,1245,1981,1942,2343,1431,815,2629,1627,1699,1425,1022,2065,2370,1715,1035,1248,1436,1691,1910,2961,3254,1548,1457,2407,2263,1427,1948,1300,1758
"27672","FUN_035998",248,320,170,370,199,139,68,212,241,235,218,682,196,170,149,100,262,165,63,226,138,82,204,82,373,206,164,126,417,143,186,182,240,263,382,59,159,137,176,163
"28744","FUN_037409",338,388,1006,677,792,223,462,428,832,222,219,681,537,182,407,760,748,304,224,668,505,151,403,255,736,214,264,349,1254,166,289,640,465,109,347,431,971,204,251,713
"29628","FUN_038422",2101,3190,2392,1593,1634,2365,2819,1301,1309,2717,3745,2177,1038,1715,3052,1041,859,3404,2010,1276,1367,2695,2583,935,1490,2100,2081,912,1635,2125,4377,1531,922,2540,3592,1395,1848,3481,2300,1875
"30837","FUN_040054",416,733,426,392,556,576,270,372,284,774,642,566,383,477,438,327,362,390,251,584,394,328,767,232,630,470,479,119,429,378,430,517,470,583,798,270,162,771,397,334
"33296","FUN_043244",8587,15498,6901,12378,8664,11388,14796,7131,8790,28981,12071,9039,9496,10698,20761,10756,4179,16503,11345,15009,9025,15254,19782,10634,10623,22596,12674,8575,10066,8219,14208,12151,7969,20818,20700,15504,13988,36607,15757,13462
