group_id,gene_id,POC.201.TP1,POC.201.TP2,POC.201.TP3,POC.219.TP1,POC.219.TP2,POC.219.TP3,POC.219.TP4,POC.222.TP1,POC.222.TP2,POC.222.TP3,POC.222.TP4,POC.255.TP1,POC.255.TP2,POC.255.TP3,POC.255.TP4,POC.259.TP1,POC.259.TP2,POC.259.TP3,POC.259.TP4,POC.40.TP1,POC.40.TP2,POC.40.TP3,POC.40.TP4,POC.42.TP1,POC.42.TP2,POC.42.TP3,POC.42.TP4,POC.52.TP1,POC.52.TP2,POC.52.TP3,POC.52.TP4,POC.53.TP1,POC.53.TP2,POC.53.TP3,POC.53.TP4,POC.57.TP1,POC.57.TP2,POC.57.TP3,POC.57.TP4
OG_00870,gene-Pocillopora_meandrina_HIv1___RNAseq.g16773.t1,74,41,0,68,47,11,47,83,68,128,19,27,16,21,23,39,30,14,48,27,20,16,40,18,18,18,9,0,60,60,134,40,25,52,44,41,7,35,52
OG_02884,gene-Pocillopora_meandrina_HIv1___RNAseq.g23335.t1,590,425,273,633,242,100,330,474,293,1002,389,228,325,450,514,422,478,647,718,428,518,692,325,510,507,587,327,106,330,495,665,276,230,536,421,369,203,661,300
OG_03618,gene-Pocillopora_meandrina_HIv1___RNAseq.g22413.t1,781,458,105,295,277,60,172,1017,683,390,133,3201,347,174,352,296,123,195,216,413,543,477,1321,118,554,541,251,38,425,461,409,247,323,424,335,380,186,493,503
OG_04563,gene-Pocillopora_meandrina_HIv1___TS.g22213.t2,648,623,165,297,259,64,195,1247,552,641,246,738,409,235,375,471,445,377,340,665,400,387,574,578,694,440,78,24,430,413,470,626,521,614,303,370,191,767,883
OG_05750,gene-Pocillopora_meandrina_HIv1___TS.g2103.t1,472,310,48,245,246,19,120,649,347,424,153,1433,483,185,343,375,494,166,382,325,412,868,950,59,181,163,67,39,237,235,425,705,179,1113,192,90,100,586,506
OG_06198,gene-Pocillopora_meandrina_HIv1___RNAseq.g15556.t1,2494,3470,1359,4309,3621,1094,1490,1126,1826,7266,2049,302,1943,1221,3286,3306,3535,3505,4708,2226,1925,2435,610,1306,1068,1038,127,406,1616,4063,3597,2805,2591,2835,1085,3122,1208,5224,879
OG_03002,gene-Pocillopora_meandrina_HIv1___RNAseq.g23458.t1,461,647,227,464,512,254,280,491,595,831,296,228,511,382,379,363,674,407,475,203,232,388,212,190,325,312,190,34,407,454,409,406,515,651,200,550,297,614,422
OG_10009,gene-Pocillopora_meandrina_HIv1___RNAseq.g8844.t1,2646,3209,958,3899,2519,954,3404,7623,5213,11906,5831,1662,1935,2118,2687,1689,5939,4497,4434,1010,1903,2058,2247,2553,2640,2817,4203,512,3016,3340,3522,1898,2282,4103,4398,5925,1364,5282,4077
OG_04744,gene-Pocillopora_meandrina_HIv1___RNAseq.g4387.t1,915,1449,582,1530,1119,514,622,937,871,1711,596,389,1179,547,1160,1044,1762,983,1941,476,1060,813,548,698,1242,715,280,143,944,1641,1487,1248,1260,1223,853,1030,466,944,1186
OG_03247,gene-Pocillopora_meandrina_HIv1___TS.g1951.t2a,59,64,21,68,33,0,6,244,23,122,15,146,15,16,53,67,57,17,57,16,36,41,75,54,72,43,3,4,51,60,73,61,20,76,21,50,27,84,84
OG_02085,gene-Pocillopora_meandrina_HIv1___TS.g24505.t2,552,571,198,691,983,185,990,678,353,765,176,470,394,320,419,395,469,197,413,268,284,443,262,332,458,300,193,26,405,449,664,508,443,573,230,291,309,400,398
OG_05766,gene-Pocillopora_meandrina_HIv1___RNAseq.g10456.t1,7968,6975,1876,6762,4187,1044,3028,4361,5084,24246,3698,6139,6950,3050,9747,4858,10212,3338,9526,3291,5341,12493,6618,4928,4153,6622,773,502,4943,7901,11782,7276,6934,13854,3908,4349,2122,15764,7284
OG_10268,gene-Pocillopora_meandrina_HIv1___RNAseq.g13649.t1,97,157,70,211,84,32,127,211,126,240,89,82,62,76,145,137,155,177,216,27,68,88,49,38,90,111,81,0,118,170,217,41,83,116,156,83,57,161,225
OG_03064,gene-Pocillopora_meandrina_HIv1___RNAseq.g23754.t1,1269,686,239,552,978,262,451,949,1023,437,366,939,1402,277,988,439,521,483,969,1001,1405,1197,1012,914,1177,1168,65,183,1060,749,799,817,1429,425,287,930,490,885,606
OG_02960,gene-Pocillopora_meandrina_HIv1___RNAseq.g23936.t1,388,781,198,1084,550,181,546,1170,440,1076,379,977,551,462,1161,824,1395,1328,2013,178,275,475,541,259,385,2006,1265,83,576,696,1116,396,508,601,1150,310,142,715,1474
OG_03355,gene-Pocillopora_meandrina_HIv1___RNAseq.g13491.t1,159,213,61,312,157,62,169,627,234,327,129,371,161,75,282,255,386,234,550,40,40,100,70,116,192,336,154,2,127,163,255,179,194,294,367,51,37,64,372
OG_06394,gene-Pocillopora_meandrina_HIv1___RNAseq.g20806.t1,471,519,232,814,320,213,586,194,444,1176,597,164,541,539,756,330,836,692,915,271,377,601,238,201,378,242,197,89,521,759,837,530,529,922,825,620,175,678,597
OG_07282,gene-Pocillopora_meandrina_HIv1___RNAseq.g24179.t1,1508,1050,361,1434,711,210,1005,1205,1504,2059,1012,642,769,997,1090,586,1032,923,1088,282,582,961,739,678,853,1103,1556,76,1000,1191,1724,896,649,1568,1479,989,404,1228,1025
OG_00851,gene-Pocillopora_meandrina_HIv1___RNAseq.g11664.t1,125,157,35,124,78,16,24,155,33,260,22,82,105,53,62,109,145,45,98,40,33,86,30,65,51,27,11,0,26,111,160,101,53,144,17,93,35,148,95
OG_00984,gene-Pocillopora_meandrina_HIv1___RNAseq.g4893.t1,3,29,0,9,0,0,0,6,26,25,12,16,3,0,43,6,14,6,29,28,12,23,25,0,16,15,9,0,8,33,12,14,25,7,0,0,26,0,8
OG_01803,gene-Pocillopora_meandrina_HIv1___RNAseq.g30307.t1,72,90,26,62,37,36,37,126,81,172,63,42,19,38,40,65,50,40,73,15,29,91,58,20,41,39,83,8,32,104,44,28,18,82,36,57,29,47,59
OG_04705,gene-Pocillopora_meandrina_HIv1___RNAseq.g4262.t1,54,129,76,82,56,36,20,146,122,286,212,57,108,91,94,123,80,84,148,38,22,130,47,41,27,49,65,0,43,144,244,104,61,142,7,86,33,168,96
OG_08506,gene-Pocillopora_meandrina_HIv1___RNAseq.g10935.t1,29,94,0,36,60,0,20,37,43,52,0,47,34,0,21,46,46,0,29,20,24,27,13,11,41,3,0,0,22,45,37,32,50,29,6,23,0,57,13
OG_08949,gene-Pocillopora_meandrina_HIv1___RNAseq.g1181.t1,290,420,132,494,275,27,185,221,179,554,258,116,218,184,435,303,358,246,406,56,104,226,82,100,140,76,29,15,104,247,406,271,219,409,145,189,132,461,211
OG_07018,gene-Pocillopora_meandrina_HIv1___RNAseq.g24398.t1,624,1419,401,1198,659,130,609,2290,934,1527,405,2104,1263,630,1649,1687,1758,985,2066,513,668,582,761,975,1374,2180,855,30,560,683,1125,927,936,891,1004,651,713,826,1645
OG_09255,gene-Pocillopora_meandrina_HIv1___RNAseq.g8468.t1,211,501,113,446,194,37,200,1011,315,580,149,656,303,164,476,439,574,202,716,349,354,230,677,281,400,648,165,66,350,270,546,290,256,316,444,254,192,411,678
OG_00228,gene-Pocillopora_meandrina_HIv1___RNAseq.g29136.t1,25,72,10,21,10,23,50,46,71,73,9,67,112,10,124,26,38,50,119,48,83,78,70,37,98,37,125,0,50,32,36,46,80,57,22,23,65,37,15
OG_04170,gene-Pocillopora_meandrina_HIv1___TS.g6961.t1,58,135,19,75,34,15,6,334,86,408,15,466,104,60,104,191,202,39,162,61,28,150,73,76,189,74,14,0,73,84,294,207,60,173,13,43,4,150,28
OG_06816,gene-Pocillopora_meandrina_HIv1___RNAseq.g5470.t1,2362,1376,507,1614,1628,141,1330,422,1913,2491,1750,411,2529,899,2981,1196,1575,1671,1889,2205,2123,2707,939,1215,1119,1066,264,138,960,1437,2330,2546,2237,1780,1019,1407,759,2000,1978
OG_03122,gene-Pocillopora_meandrina_HIv1___RNAseq.g23990.t1,2325,12,70,198,207,143,462,83,229,52,812,40,134,195,474,71,49,590,282,414,504,1772,287,374,496,978,305,146,300,217,389,241,256,503,340,922,213,1390,2227
OG_02190,gene-Pocillopora_meandrina_HIv1___RNAseq.g6331.t2,7937,1767,515,1341,1212,615,1637,4007,4926,2866,2370,6358,3040,611,2267,1335,1546,2573,2341,4164,6527,2039,4943,4254,6617,5878,1258,416,7029,2069,2748,2667,4124,1665,3675,4423,1308,2040,12252
OG_07042,gene-Pocillopora_meandrina_HIv1___TS.g12785.t1,462,596,124,402,322,138,175,452,369,889,311,150,280,176,420,566,673,316,792,408,300,464,244,390,453,303,55,154,355,519,740,514,471,716,177,555,204,551,265
OG_08176,gene-Pocillopora_meandrina_HIv1___RNAseq.g12328.t1b,245,231,116,408,148,56,178,130,66,685,169,70,191,103,376,354,421,288,476,141,79,347,97,106,194,86,19,0,134,334,465,242,171,304,95,239,173,512,154
OG_01058,gene-Pocillopora_meandrina_HIv1___RNAseq.g11643.t1,1182,937,227,791,629,166,477,819,640,2137,796,752,649,316,1138,771,1237,611,1092,658,639,1277,794,930,928,779,26,159,505,798,1367,1029,648,1410,486,1173,283,1632,877
OG_05586,gene-Pocillopora_meandrina_HIv1___RNAseq.g19445.t1,449,487,122,446,346,110,288,1072,802,635,427,713,364,178,482,540,604,357,487,820,856,407,818,664,1032,732,203,91,570,379,393,268,312,308,248,492,490,484,326
OG_05829,gene-Pocillopora_meandrina_HIv1___TS.g13754.t1,113,106,46,171,75,15,76,70,71,396,88,33,122,165,156,133,192,92,161,52,47,186,36,46,59,54,0,18,69,82,90,97,53,216,47,101,58,195,37
OG_06989,gene-Pocillopora_meandrina_HIv1___RNAseq.g5361.t1,390,598,247,472,420,114,451,353,309,679,326,177,278,96,274,308,399,208,438,289,303,227,202,172,385,199,78,86,184,382,266,232,291,212,142,309,339,216,277
