group_id,gene_id,POR.216.TP1,POR.216.TP2,POR.216.TP3,POR.216.TP4,POR.236.TP1,POR.236.TP2,POR.245.TP1,POR.245.TP2,POR.245.TP3,POR.245.TP4,POR.260.TP1,POR.260.TP2,POR.260.TP3,POR.260.TP4,POR.262.TP1,POR.262.TP2,POR.262.TP3,POR.262.TP4,POR.69.TP1,POR.69.TP2,POR.69.TP3,POR.69.TP4,POR.72.TP1,POR.72.TP2,POR.72.TP3,POR.72.TP4,POR.73.TP1,POR.73.TP2,POR.73.TP3,POR.73.TP4,POR.74.TP1,POR.74.TP2,POR.74.TP3,POR.74.TP4,POR.83.TP1,POR.83.TP2,POR.83.TP3,POR.83.TP4
OG_01163,gene-Peve_00037741,398,738,164,112,398,253,340,215,64,317,547,269,150,328,361,409,299,311,257,300,143,143,341,384,215,367,187,123,55,59,379,171,223,111,163,203,107,145
OG_03756,gene-Peve_00022386,1113,1512,599,425,1652,1148,852,667,723,2051,1140,789,513,785,1635,1221,1539,1291,853,750,666,451,2085,2380,1953,2461,705,412,392,389,1806,917,1163,910,554,926,729,710
OG_06210,gene-Peve_00042831,535,1027,438,178,800,373,136,87,452,583,500,295,169,223,468,304,457,294,548,465,586,273,138,166,220,238,282,155,164,245,335,144,228,141,182,298,196,147
OG_09153,gene-Peve_00020313,614,1653,596,414,1398,792,806,665,553,1089,633,325,307,367,350,489,862,593,390,324,448,173,470,760,772,1052,386,211,326,271,712,377,568,506,350,581,490,286
OG_09307,gene-Peve_00038097,175,368,71,58,250,100,202,90,92,249,384,152,93,193,209,328,197,225,120,148,85,68,254,179,150,250,107,54,57,56,204,121,144,78,68,96,57,67
OG_07709,gene-Peve_00008081,1888,2618,889,629,1965,1005,1846,1232,1057,1464,1917,1358,638,992,1458,1231,1458,1478,2189,970,1193,1006,1763,2979,1781,3909,1434,501,724,910,2162,1261,1019,1536,1308,2195,1540,1321
OG_01142,gene-Peve_00005069,1239,2406,564,396,1405,850,1111,872,708,760,1622,1045,597,1003,1488,1191,1107,1091,952,804,568,781,951,1231,912,1678,599,422,435,541,963,511,578,777,600,1067,614,687
OG_02598,gene-Peve_00029906,668,1244,329,244,899,625,364,281,576,798,870,419,306,381,867,865,811,917,479,522,427,393,499,1064,779,1315,493,372,249,547,371,197,312,313,360,595,398,415
OG_00579,gene-Peve_00020140,1474,2648,652,463,1629,1031,1352,976,631,1722,2040,1104,640,1216,1689,1883,1771,1609,1074,876,769,703,1411,1653,1162,2280,985,596,414,621,1463,598,1013,858,946,1120,828,597
OG_05823,gene-Peve_00028313,4294,7812,3024,1937,6347,3810,5539,3425,4585,4746,6987,3362,2821,3742,5195,4999,5006,4390,3721,3850,2764,2559,3465,5014,4608,7755,3047,1830,2140,3120,3891,2173,4080,3900,3497,4503,3198,2835
