group_id,gene_id,POC.201.TP1,POC.201.TP2,POC.201.TP3,POC.219.TP1,POC.219.TP2,POC.219.TP3,POC.219.TP4,POC.222.TP1,POC.222.TP2,POC.222.TP3,POC.222.TP4,POC.255.TP1,POC.255.TP2,POC.255.TP3,POC.255.TP4,POC.259.TP1,POC.259.TP2,POC.259.TP3,POC.259.TP4,POC.40.TP1,POC.40.TP2,POC.40.TP3,POC.40.TP4,POC.42.TP1,POC.42.TP2,POC.42.TP3,POC.42.TP4,POC.52.TP1,POC.52.TP2,POC.52.TP3,POC.52.TP4,POC.53.TP1,POC.53.TP2,POC.53.TP3,POC.53.TP4,POC.57.TP1,POC.57.TP2,POC.57.TP3,POC.57.TP4
OG_02404,gene-Pocillopora_meandrina_HIv1___RNAseq.g14499.t1,3711,1245,389,856,877,252,1108,2177,1753,2245,1694,1633,1347,336,1471,1136,1082,1610,1718,2194,2284,1760,1582,2275,2360,2017,227,227,1769,1205,1615,1760,1744,1668,894,2592,932,2207,2817
OG_07964,gene-Pocillopora_meandrina_HIv1___RNAseq.g27993.t1,58,198,28,87,56,17,61,256,220,284,54,233,131,89,95,95,245,58,136,166,137,127,269,253,459,256,85,28,251,130,124,79,171,157,199,119,58,107,270
OG_00177,gene-Pocillopora_meandrina_HIv1___RNAseq.g1813.t1,50,76,24,56,38,12,37,214,79,117,38,136,35,4,42,87,108,32,115,53,25,32,42,82,60,26,10,24,62,40,58,48,20,51,44,46,20,32,82
OG_09032,gene-Pocillopora_meandrina_HIv1___RNAseq.g26496.t1,312,614,146,631,405,185,254,823,343,1121,334,681,434,238,603,387,628,335,597,407,286,566,457,308,440,306,132,62,253,569,772,425,299,526,215,308,202,440,462
OG_00401,gene-Pocillopora_meandrina_HIv1___RNAseq.g2185.t1,2714,5839,1694,2954,3298,1009,2534,2427,3181,4057,2039,1827,4150,3205,2931,1866,5850,3571,3279,1850,2974,3022,2375,1664,3293,2128,2122,500,3650,3393,2995,2826,2424,4433,2073,2371,1584,3465,2588
OG_00700,gene-Pocillopora_meandrina_HIv1___RNAseq.g14853.t1,123,105,25,170,54,41,40,256,52,208,13,143,134,44,93,110,155,40,149,27,21,95,95,66,78,51,28,0,59,182,201,135,79,154,40,65,16,153,60
OG_00872,gene-Pocillopora_meandrina_HIv1___RNAseq.g16770.t1,385,677,161,448,539,55,206,622,303,656,291,324,463,150,431,714,919,237,473,260,307,570,233,323,230,186,77,69,303,461,621,672,668,708,107,421,179,806,281
OG_02014,gene-Pocillopora_meandrina_HIv1___RNAseq.g29995.t1,4622,487,148,409,593,200,1449,1353,2158,784,1825,2302,1184,353,1120,388,586,1075,618,3437,3517,2133,2760,2124,2679,2988,223,287,1767,895,724,1212,1952,726,1341,3075,1412,1149,2640
OG_02998,gene-Pocillopora_meandrina_HIv1___RNAseq.g23859.t1,14323,1165,564,1439,3640,1112,5362,1913,8250,1992,6388,3688,7044,493,5706,905,1121,2730,3595,16528,20699,8424,10329,5931,8895,7787,186,973,13523,4014,4415,5704,13612,2824,5992,15247,5983,6221,16941
OG_03292,gene-Pocillopora_meandrina_HIv1___RNAseq.g13178.t1,1591,1448,473,1693,1033,322,826,1727,642,1928,1058,1530,2367,1520,2905,1429,1672,1174,1621,710,646,1523,678,769,723,625,228,86,558,1057,1897,1788,1092,1747,611,1319,551,2299,1174
OG_00179,gene-Pocillopora_meandrina_HIv1___RNAseq.g1815.t1,604,349,761,514,356,350,1000,715,588,275,611,776,378,624,494,377,294,843,457,590,594,507,481,791,791,473,847,630,707,305,252,295,427,344,1054,516,657,348,903
OG_00230,gene-Pocillopora_meandrina_HIv1___RNAseq.g29134.t1,69,104,5,67,29,8,32,92,80,92,77,79,42,22,82,83,47,31,124,72,51,49,69,68,64,57,15,8,40,50,44,39,34,55,107,41,45,55,165
OG_00315,gene-Pocillopora_meandrina_HIv1___TS.g6543.t1,467,507,173,525,400,71,290,1013,294,541,299,771,470,309,479,531,443,280,519,272,330,480,439,468,409,349,213,12,283,468,653,605,403,672,236,494,183,745,505
