"","gene_id","ACR.139.TP1","ACR.139.TP2","ACR.139.TP3","ACR.139.TP4","ACR.145.TP1","ACR.145.TP2","ACR.145.TP3","ACR.145.TP4","ACR.150.TP1","ACR.150.TP2","ACR.150.TP3","ACR.150.TP4","ACR.173.TP1","ACR.173.TP2","ACR.173.TP3","ACR.173.TP4","ACR.186.TP1","ACR.186.TP2","ACR.186.TP3","ACR.186.TP4","ACR.225.TP1","ACR.225.TP2","ACR.225.TP3","ACR.225.TP4","ACR.229.TP1","ACR.229.TP2","ACR.229.TP3","ACR.229.TP4","ACR.237.TP1","ACR.237.TP2","ACR.237.TP3","ACR.237.TP4","ACR.244.TP1","ACR.244.TP2","ACR.244.TP3","ACR.244.TP4","ACR.265.TP1","ACR.265.TP2","ACR.265.TP3","ACR.265.TP4"
"1820","FUN_004722",5433,5300,5738,3609,3637,5336,6478,2639,2699,6814,5429,4530,2851,5207,7840,4264,2232,9032,5436,4696,1207,4388,3337,1257,3210,8504,4651,1471,2666,5839,6492,3663,1745,9474,4848,2871,2774,9409,3560,4223
"1849","FUN_004783",2843,3927,2162,2129,1413,1899,2310,829,573,5837,2218,1656,485,2396,2203,951,246,3340,1129,1279,700,5907,2239,625,1141,3920,1648,325,1074,1743,2419,977,716,4544,1903,890,867,6887,1659,1505
"1971","FUN_004882",217,510,361,99,277,404,524,300,142,831,687,448,95,142,168,115,169,610,260,453,186,184,430,92,331,451,473,150,253,362,742,284,144,381,551,182,263,667,513,200
"2880","FUN_000334",763,661,465,917,265,426,247,642,312,582,751,926,302,735,398,263,86,365,220,1015,164,629,762,330,674,880,861,242,366,456,714,291,117,817,861,86,211,686,710,355
"3323","FUN_000943",614,750,469,528,398,347,248,263,477,780,769,625,269,453,184,237,539,723,344,706,212,597,674,253,442,487,499,432,369,522,800,472,177,740,884,256,344,494,407,325
"3983","FUN_001648",3843,5177,9958,4857,6784,2846,9970,3226,5142,5623,6079,5466,4712,3269,11148,7763,2969,5141,6266,5498,6397,4922,8410,5507,6576,5137,5115,5316,6715,3620,6319,9114,5587,3725,6092,7034,10888,10092,6817,9616
"4901","FUN_006166",458,1152,1317,1062,379,283,1072,274,100,379,1207,302,213,399,842,179,107,1020,782,279,235,444,2145,264,317,1093,2082,156,258,393,1028,551,149,620,1645,263,311,656,1090,317
"5083","FUN_006329",1163,1483,4810,1962,1697,867,3215,1123,1144,1075,2207,1773,1342,1119,3204,1641,554,1005,2231,2156,1686,1206,3510,2051,2500,992,3176,1417,1851,903,2321,2891,1515,1448,3118,2133,1603,1137,2224,2162
"5721","FUN_007024",9814,13426,17469,11538,9862,13145,11482,7521,11227,14430,20520,11412,8335,14386,30476,13298,8420,17172,10080,13583,7280,8081,19853,7255,15421,28358,20170,4969,8619,15688,30384,13229,7460,16864,23486,6851,8988,11422,12102,12456
"7167","FUN_008791",75,106,117,105,56,33,42,47,11,82,135,136,31,48,95,56,0,50,30,73,64,23,104,27,162,33,173,19,43,39,91,57,28,171,100,29,37,107,45,62
