Iteration,Loss
1,1349550.6160683585
2,1034498.6584100726
3,801853.1559581534
4,662269.5312946001
5,590273.2214117239
6,556246.2535250087
7,538066.8345188195
8,527155.9777837142
9,519427.57733935467
10,513512.6139380624
11,508805.30540522205
12,504955.5931961767
13,501733.84809585096
14,498989.1728450597
15,496615.1488723968
16,494534.453796187
17,492689.6352084161
18,491037.39446907525
19,489693.1854883679
20,488528.87877428153
21,487453.9657651877
22,486454.84091693757
23,485520.78596132476
24,484643.176709356
25,483815.3204657358
26,483031.2887965518
27,482286.20917735004
28,481576.0335501646
29,480923.4338177891
30,480303.62683575874
31,479707.6584631877
32,479133.6754699925
33,478579.8254780635
34,478044.6533694085
35,477526.84950026736
36,477025.2495243605
37,476539.19977334887
38,476067.44126344746
39,475609.0244534666
40,475163.221085078
41,474729.38883333147
42,474306.9348112354
43,473895.2956423009
44,473493.99668603274
45,473102.564917506
46,472720.5135478386
47,472347.42503993446
48,471982.9524054338
49,471626.7756136808
50,471278.58707403555
51,470938.08057044836
52,470605.00064491894
53,470279.11305377213
54,469960.1938583815
55,469648.0272487894
56,469342.41252211505
57,469027.20337327395
58,468713.85428136116
59,468407.3341221167
60,468107.4930888105
61,467814.1439720365
62,467527.1006022004
63,467259.6284241365
64,467002.03449925676
65,466749.9494003218
66,466503.0777764583
67,466261.2247376174
68,466024.2597056899
69,465792.0419729388
70,465551.745836569
71,465312.4441895776
72,465078.02907728567
73,464851.6981024616
74,464629.7121218053
75,464412.10562570137
76,464198.76286376896
77,463989.55478763557
78,463784.3558244411
79,463583.0627506494
80,463385.5579733769
81,463191.73019218975
82,463001.4725371344
83,462814.6744418307
84,462631.2384745722
85,462451.06779279467
86,462274.0683300365
87,462100.15375228965
88,461929.2351020889
89,461761.22708110436
90,461596.0425115058
91,461433.604327541
92,461273.8379692937
93,461116.6742411956
94,460962.04373264173
95,460809.8739241432
96,460660.09193006007
97,460512.62899200554
98,460367.42008849914
99,460224.4024052998
100,460083.51581469394
101,459944.70288499084
102,459807.9090315418
103,459673.0771661687
104,459540.1536483404
105,459409.09341243556
106,459279.85104760353
107,459152.3906120346
108,459026.6657555631
109,458902.6254932679
110,458780.228184639
111,458659.4325046424
112,458540.2037924842
113,458422.5127801747
114,458306.3193257014
115,458191.589319184
116,458078.2925188645
117,457966.4011260124
118,457855.8831578883
119,457746.70639401756
120,457638.84866532544
121,457532.28277932917
122,457426.98177366576
123,457322.91764524416
124,457220.06103249965
125,457118.38740860793
126,457017.8711494997
127,456918.48867717315
128,456820.2193317908
129,456723.0419598533
130,456626.93431061594
131,456531.8758124414
132,456437.8525554574
133,456344.84741636965
134,456252.84117281344
135,456161.8145945301
