,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12
OG_00001,0.7368337569011645,0.42020338425818615,0.29240928276704486,1.2381813497258995,1.3963044885300866,0.917294612893769,0.41311769051276803,0.36259005101307434,0.8025697797056556,0.23585640750952802,0.8798671364764851,0.26781340512004675
OG_00002,1.1379267041186718,0.8456312601330183,0.7277738479766247,1.6078995858230987,1.0916348304348473,0.7622750004850035,0.37633753471825615,0.6319789209288795,0.5431694051577685,0.41659745130584935,0.9798900562417144,0.626221730460432
OG_00003,0.5930066008963859,0.17256198464063777,0.43782454162492235,0.7736830184985355,0.13270342423866638,0.0,0.06548136894194494,0.3068687461892342,0.07657179241368749,0.381377085887511,0.2226890293539946,0.30057963550303657
OG_00004,0.310339685045892,0.12601396532226763,0.28257692239532195,0.5969861174837975,0.22620226038259197,0.018739766523231463,0.14816723087136946,0.04325152929308973,0.0,0.027452364489245228,0.23794686196937548,0.0
OG_00005,0.4013679256150479,0.1387196647067467,0.24155170311202964,0.6267402611757029,0.5010120147535714,0.27470167333972023,0.2069246580531279,0.13623146729966965,0.3053046160424591,0.017600064133542502,0.37898686288308764,0.026753307137125988
OG_00006,0.3846750637243859,0.10044196988367562,0.2827315100315707,0.5216081645518651,0.47850447927784473,0.39343188041862986,0.23633004215947723,0.13040805076892298,0.22698141666847463,0.0,0.43396350716568904,0.05918925169654676
OG_00007,0.7417351206778035,0.30348589956581257,0.38648826195716945,1.0746660200015112,1.0606421840828923,0.6828476706893812,0.48079308142208393,0.40492463612048857,0.6467262644317032,0.0,0.7977758885007115,0.25309789488428547
OG_00008,1.3046872483429772,0.6121542179782292,0.8252447036618402,1.486304296902003,0.7536784474126325,0.46341892130274953,0.33829031872779547,0.7180560894365353,0.3959009039806575,0.6368868035076266,0.7729043461900917,0.7203160163053794
OG_00009,0.2145162207947384,0.23408536165128124,0.029117016142705895,0.27014774824356924,0.5810296570330846,0.4815671988287091,0.08885299411897121,0.19233447184645616,0.38978982737260925,0.04652919420715171,0.372672475633792,0.18743300651626837
OG_00010,0.8644609739612716,0.6867458115773297,0.5270839137356585,1.2621007193209712,0.7177627872353723,0.47434367958068646,0.2767010216600783,0.43959645137974335,0.3532544396788507,0.33561666674812973,0.6844695363986845,0.42649020219041867
OG_00011,0.24140919789946397,0.0882948174694956,0.11191585510375057,0.38784243509306643,0.6251999765666685,0.41332124170660983,0.16376336346354892,0.0,0.3427129849234376,0.17172448647068816,0.3168206131582134,0.0
OG_00012,0.8585279050011909,0.4088318315753299,0.4992085444815082,1.016057931320126,0.4744101773797439,0.45096951398780044,0.21816240701127793,0.6266970923162601,0.3388060345417031,0.36395149433989904,0.5982607426340637,0.5683522760534652
