gene_id,absolute_loading,signed_loading
OG_04737,4.299037851986732,4.299037851986732
OG_01261,3.928627821621806,3.928627821621806
OG_07103,3.835617836671791,3.835617836671791
OG_06522,3.4961592260043126,3.4961592260043126
OG_01210,3.48231162729436,3.48231162729436
OG_01656,3.452978732240893,3.452978732240893
OG_07956,3.446078766216092,3.446078766216092
OG_05395,3.4316981598565737,3.4316981598565737
OG_09757,3.4072419777643708,3.4072419777643708
OG_07762,3.405207220963865,3.405207220963865
OG_01437,3.376772305895407,3.376772305895407
OG_03671,3.3202546478540524,3.3202546478540524
OG_03911,3.2993830366805423,3.2993830366805423
OG_04336,3.2910870133102623,3.2910870133102623
OG_01330,3.2684333893970794,3.2684333893970794
OG_09611,3.25458139668414,3.25458139668414
OG_04195,3.2374071637082085,3.2374071637082085
OG_00252,3.1489034253165538,3.1489034253165538
OG_04439,3.105333930949868,3.105333930949868
OG_08520,3.012697932963481,3.012697932963481
OG_03500,3.006382606143948,3.006382606143948
OG_10198,2.9998997575507853,2.9998997575507853
OG_01407,2.982399808769064,2.982399808769064
OG_04170,2.973190616037799,2.973190616037799
OG_05757,2.961843468272908,2.961843468272908
OG_02090,2.957613291207949,2.957613291207949
OG_05731,2.9351939888424776,2.9351939888424776
OG_01941,2.9329311612405244,2.9329311612405244
OG_02599,2.9231778103526675,2.9231778103526675
OG_03061,2.8798272172407344,2.8798272172407344
OG_05400,2.8744565562247755,2.8744565562247755
OG_07519,2.8543456854972904,2.8543456854972904
OG_08930,2.849684306588001,2.849684306588001
OG_01489,2.821867142470531,2.821867142470531
OG_07679,2.814145732633276,2.814145732633276
OG_00234,2.8046634610634182,2.8046634610634182
OG_04615,2.793331799617623,2.793331799617623
OG_08704,2.780971763221989,2.780971763221989
OG_08095,2.755208726691009,2.755208726691009
OG_07408,2.7549869495239525,2.7549869495239525
OG_06993,2.746854859512865,2.746854859512865
OG_08633,2.7380709235859824,2.7380709235859824
OG_07052,2.729468565211588,2.729468565211588
OG_05445,2.725175610737286,2.725175610737286
OG_07441,2.723423671206473,2.723423671206473
OG_02853,2.720710683014312,2.720710683014312
