,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
OG_04737,7.056912131724222,2.244402572317265,2.5134047200514478,3.2328543155891905,5.125335836130267,7.401238143008154,3.4603576243005523,2.7937625693353287,4.299037851986732,1.78419949991175
OG_01261,5.852161508627778,2.6515791705485925,2.694809320437454,2.603528898301521,4.648148718785628,7.124672481254457,3.1808813893479115,2.211573864733119,3.928627821621806,1.869143983214624
OG_07103,5.511547221047551,2.125880345438829,1.9889248700783548,2.8062828962751336,4.50564071881386,6.542782769045913,3.105201053018829,2.2912718044072884,3.835617836671791,1.6257486478890537
OG_07956,5.446112108453268,1.9180091296145936,2.538629197396664,2.5345552046305344,4.195235660812104,6.191741852840109,2.825300400353348,2.242100927975464,3.446078766216092,1.80195304553564
OG_05395,6.242290976877649,2.1021165943628524,1.389707737628219,2.659005646430848,4.351940541996965,6.120240008444869,3.1821379040874214,2.2073051241973194,3.4316981598565737,1.209996389534198
OG_01437,5.506090199780738,2.020730177398395,1.974123696141945,2.4513830247113138,4.302457231927201,6.203170944675357,2.912758871368899,2.317517807879959,3.376772305895407,1.6158621540681584
OG_01330,4.9969844248814725,2.1626706936623297,1.9208201419924744,2.428169998125898,4.383929293700369,6.363767395802496,3.267836926660205,2.113320765872655,3.2684333893970794,1.5653217976888198
OG_07762,5.192709446163412,2.202179339437365,2.4778081354669808,2.2923083449866675,4.103762636241166,6.238099064316252,2.7502083541278832,2.056448020417371,3.405207220963865,1.6749634365819015
OG_01656,4.941351631913756,2.4571246310856614,2.2711990083462035,1.989890076971763,4.242119980914267,6.3111408267999805,2.764843459740073,1.899444660159528,3.452978732240893,1.7092198104602436
OG_01210,5.625987472617062,1.7317791838983836,2.1840218906749262,2.663779557386213,4.183223543766199,5.588212215751007,2.752219190301136,2.310929081815164,3.48231162729436,1.350698693831892
OG_03671,5.1258672757126975,2.1429964446090106,2.8798959977777803,2.156375133105493,3.9586448236416327,5.764538268428322,2.7950974999120777,1.440424802573261,3.3202546478540524,1.844747883864997
OG_06522,5.508564165631949,1.9861245843398727,2.108090981079156,2.1434532588320976,3.97749510627082,5.820074065640641,2.4190489691265955,2.105222800343407,3.4961592260043126,1.689361739655391
OG_09611,5.286009146317908,2.345427826403064,1.882709610741296,2.0878079623304404,4.057721393328934,6.073905537957246,2.8413213225438,1.7851188090095775,3.25458139668414,1.459439954892315
OG_04336,4.861051523909733,2.2000909240903344,2.0589007432912987,2.15355824096883,4.157981365040966,6.137564238648587,2.7990628185376174,1.7902554641067163,3.2910870133102623,1.6210736814569535
OG_09757,5.064660409757261,2.030784293185558,2.211240941983548,2.239224761073887,3.86837836159262,5.942331213456124,2.6235350084369946,1.8984567315753136,3.4072419777643708,1.511610388586854
OG_02090,5.288120345710893,1.83386620812888,3.1438316092331005,1.9006372901578397,3.724079753102824,5.439462946607874,2.3916171671580804,1.7616786420547297,2.957613291207949,2.092259020721267
OG_03911,4.983060788351722,2.2255650484451373,1.9688790850991935,2.015962711228908,3.9815097176767527,5.827105816923303,2.527656722667917,1.848398705337509,3.2993830366805423,1.5828845617538223
OG_04439,5.0418889435537455,2.266125935977329,2.5776430317613266,1.8560905888881565,3.7619782336106327,5.802102938962715,2.500733522340552,1.5298711327437808,3.105333930949868,1.7230703698444123
OG_04170,4.892153922725292,1.908287784714138,2.0273048873817148,2.143731966518024,3.6539328017262456,5.513050299532886,2.5565117498187537,1.880234541544484,2.973190616037799,1.4311643142977617
OG_05400,4.570397951629272,1.9910694992794773,1.9793793300684663,2.065564896630199,3.627477722006799,5.572545677756982,2.7086602365672205,1.860086656597144,2.8744565562247755,1.463880204486079
OG_08520,4.801456250347842,1.897846131357582,2.1849761141504285,1.9977619685428312,3.6853680155258135,5.388922893810008,2.3127397650311963,1.6952384054753262,3.012697932963481,1.4645637208435345
OG_04195,5.378955393740587,1.8801741318591063,2.1792557601959257,1.996183134232562,3.45266290394669,5.184914370930874,2.0837696194595297,1.6083423475903824,3.2374071637082085,1.3614656257576037
OG_01941,4.62439668287707,1.808354780285791,2.077916874790985,2.180178343556395,3.5466261694841115,5.3806576622349365,2.6398696482747024,1.822835182798348,2.9329311612405244,1.319425751442567
OG_00252,4.888595712438715,1.7801800753319446,2.0073347950353635,2.111364320689677,3.490706054990192,5.291695219401374,2.287398960478812,1.8218695831532288,3.1489034253165538,1.3777047109829936
OG_05757,5.156067980047249,1.8351956669532,1.9985969280682947,1.994285220961004,3.481561508837155,5.208677974653829,2.311343898800556,1.7278236535959093,2.961843468272908,1.301652049566925
OG_05731,4.3121160654499135,2.1204712259101863,2.005667385055843,1.7829287843117838,3.605325134851424,5.430032311701793,2.415444738552949,1.660556052735274,2.9351939888424776,1.5493635915430684
OG_02599,4.876960292878271,1.805073071705637,1.7413547132993552,1.8832043814870725,3.667616210394291,5.264711935678795,2.393790465256304,1.7310276645722715,2.9231778103526675,1.3922499304235678
OG_03500,5.536143272190744,1.5955462996511551,2.1718236184309228,2.129033245141822,3.3091549207979387,4.921787524117884,2.1230484563170524,1.614553296963133,3.006382606143948,1.2144626656227764
OG_07408,4.649114633905498,1.9536893368089596,1.6731643188921477,1.8508755382619533,3.6393759409983817,5.332038423849486,2.4957526493316857,1.6382173876945698,2.7549869495239525,1.4038960121765571
OG_05208,4.243343815301108,1.9777000890855452,1.7390405455532028,1.837001052368897,3.690088904553896,5.2822628210610985,2.466418845244224,1.706552254815365,2.6273550593524737,1.4584656921523298
OG_00234,4.504113602230215,1.7644261078167305,1.9628526766146548,1.9286968671660287,3.486946093717527,5.234474229485253,2.451174749697684,1.544161279411187,2.8046634610634182,1.3284811234994265
OG_01489,4.366614500660596,1.4339033853970735,1.7450214581282597,2.1739767029015606,3.444590375913432,4.948107123249896,2.30202875125258,2.1070869496194597,2.821867142470531,1.394699293365255
OG_02853,4.843980177820438,1.6904201194435229,1.8715575171008567,1.9845951653020024,3.417479870952338,4.908959253765965,2.16215932884516,1.6886793315832327,2.720710683014312,1.377861360887254
OG_04560,3.7565737034623,1.4793223322740834,2.50401249501496,2.4039707973912057,3.536002427019427,4.660687487271354,2.776650684124695,1.9740486270629816,1.9795028660838048,1.576525398080859
OG_03061,4.648725419552892,1.8731166726109243,2.03947367780898,1.8206006757334,3.225958864873633,5.024363059994029,2.163285462554497,1.566084235781632,2.8798272172407344,1.2976554456844789
OG_08095,5.160875503792584,1.5790220926341365,1.961499128849964,1.853137023587314,3.2857579996025783,4.859838177535645,2.1962227259094056,1.4776698900293717,2.755208726691009,1.2812555262142509
OG_08633,4.402637102170129,1.6409737918973115,1.5670461022456994,1.9610098210454727,3.478696104433009,5.070725266820507,2.4315352870313296,1.791906763478971,2.7380709235859824,1.2952881370143254
OG_10198,4.119750701679238,1.618881508783579,1.617272765671187,2.0487534809367816,3.426297957965856,5.118739791937387,2.323715469692248,1.7642299097447671,2.9998997575507853,1.2535063893834226
OG_09806,3.9680574119034047,1.3907217212018184,2.859341841409678,2.076928403178492,3.199736065820947,4.42252395539722,2.091341513135486,2.0447150708555406,2.3314512313625557,1.8312014068049625
OG_07519,4.673141561399587,1.7758940345348948,1.9044035594512243,1.8423145284378577,3.249512772513316,4.955164387738065,2.081008970630919,1.509681825075742,2.8543456854972904,1.312631995996543
OG_07554,4.850397967451984,1.6536600306311438,1.7301748251224225,1.772779262260576,3.3938070567653917,4.848909479878653,2.175607029870598,1.5951849596372736,2.6855216118802328,1.3206993053643064
OG_01407,4.812946153957921,1.721209110303809,1.945560410633424,1.6787812019930548,3.2353571077527272,4.846008899070543,1.9372169842454487,1.506106205288897,2.982399808769064,1.3359694341467945
OG_09233,4.206342621236343,1.6660182268571415,2.508643337918278,1.85282062304888,3.248270064392465,4.790767389873954,2.350773950277255,1.5482330429798137,2.3003811209913643,1.481319071027127
OG_10099,4.5254083881885245,2.042998911486393,2.072943761595952,1.685234281228752,3.202533977378415,4.8322481154415176,2.3785232989704457,1.3769890491497356,2.3046568863140835,1.4472315050337516
OG_09807,3.957857193760504,1.6229822888241328,1.9326184065110583,2.133068243503745,3.266610344863089,4.91886457079745,2.3758096669006714,1.6488703447184263,2.5250858473191164,1.3681995730408665
OG_07835,4.287290076745193,1.78152470976984,1.9228585290027504,1.702647232423414,3.2790192563170715,4.964753529867273,2.257252762129492,1.5887312243972425,2.66236285689504,1.2929697118285894
OG_06993,4.323399760475587,1.6578336947267476,1.787104887849009,1.834669703892809,3.364572478065432,4.946359068462943,2.1992634047339297,1.5247611890698387,2.746854859512865,1.3294510128605437
