"","miRNA","mRNA","PCC.cor","p_value","mRNA_coords","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Cluster_3109","FUN_002331",0.58600630733124,7.09830721131722e-05,"ntLink_8:90210-91210",153,-13.75,"2 14","946 967",12,"83.33%","91.67%"
"2","Cluster_14692","FUN_002331",0.503671401840867,0.00092234062591066,"ntLink_8:90210-91210",153,-17.6,"2 20","907 927",18,"72.22%","77.78%"
"3","Cluster_3109","FUN_002335",0.770223557191624,6.20510395098769e-09,"ntLink_8:150747-151747",153,-13.75,"2 14","946 967",12,"83.33%","91.67%"
"4","Cluster_14532","FUN_002335",0.545544574570903,0.000271950307086249,"ntLink_8:150747-151747",157,-13.47,"2 22","740 764",23,"73.91%","78.26%"
"5","Cluster_14692","FUN_002335",0.559063704403866,0.000176981123264512,"ntLink_8:150747-151747",153,-17.6,"2 20","907 927",18,"72.22%","77.78%"
"6","Cluster_17245","FUN_002429",0.567477645880471,0.000134184343276124,"ntLink_8:1492542-1493542",148,-10.18,"2 17","398 420",15,"73.33%","73.33%"
"7","Cluster_1865","FUN_002440",0.643568091422068,7.47954583866193e-06,"ntLink_8:1607002-1608002",150,-10.33,"2 20","773 798",20,"60.00%","80.00%"
"8","Cluster_3109","FUN_002440",0.683867357603761,1.14806854283149e-06,"ntLink_8:1607002-1608002",149,-13.93,"2 15","143 165",14,"78.57%","85.71%"
"9","Cluster_3109","FUN_002494",0.635601784135734,1.04958159710268e-05,"ntLink_8:2427181-2427922",146,-15.68,"2 21","79 99",19,"68.42%","68.42%"
"10","Cluster_3109","FUN_002506",0.584226482035977,7.5587530246296e-05,"ntLink_8:2587763-2588763",153,-14.24,"2 20","204 224",18,"72.22%","77.78%"
"11","Cluster_1865","FUN_002525",0.557586841082318,0.000185651479925958,"ntLink_8:3046004-3046165",177,-20.09,"2 22","114 137",20,"75.00%","90.00%"
"12","Cluster_17245","FUN_002539",0.578618785232718,9.19215157346965e-05,"ntLink_8:3273103-3274103",157,-15.89,"2 20","670 694",20,"75.00%","80.00%"
"13","Cluster_2500","FUN_002540",0.545579825332671,0.000271652290548658,"ntLink_8:3273874-3274874",155,-11.25,"2 19","935 960",21,"76.19%","80.95%"
"14","Cluster_17623","FUN_002628",0.745906871189546,3.3226935036472e-08,"ntLink_8:4438933-4439933",149,-17.95,"2 16","369 389",14,"78.57%","85.71%"
"15","Cluster_17623","FUN_002633",0.612255049265151,2.6871092215522e-05,"ntLink_8:4509325-4510325",143,-12.75,"2 17","323 345",16,"68.75%","75.00%"
"16","Cluster_15097","FUN_002878",0.641075078091064,8.32477422112967e-06,"ntLink_8:7301599-7302599",147,-12.79,"2 21","167 186",20,"70.00%","75.00%"
"17","Cluster_2746","FUN_003467",0.519927712310836,0.000584870356335502,"ntLink_8:11857370-11858370",140,-12.07,"2 9","310 332",7,"100.00%","100.00%"
"18","Cluster_1865","FUN_003478",-0.613956126983853,2.51557430968232e-05,"ntLink_8:11919752-11920752",156,-11.83,"2 22","853 877",21,"66.67%","76.19%"
"19","Cluster_1865","FUN_003478",-0.613956126983853,2.51557430968232e-05,"ntLink_8:11919752-11920752",173,-20.12,"2 23","798 823",23,"69.57%","86.96%"
"20","Cluster_2500","FUN_003485",0.502218097904298,0.00095963205778254,"ntLink_8:12030008-12031008",150,-10.14,"2 20","280 306",23,"60.87%","73.91%"
"21","Cluster_2500","FUN_003485",0.502218097904298,0.00095963205778254,"ntLink_8:12030008-12031008",163,-12.58,"2 16","967 988",14,"85.71%","92.86%"
