group_id,module_label,module_color
OG_00686,0,grey
OG_00683,2,blue
OG_00685,4,yellow
OG_00688,2,blue
OG_00689,11,greenyellow
OG_00687,20,royalblue
OG_00690,2,blue
OG_00693,1,turquoise
OG_00691,2,blue
OG_00692,5,green
OG_00694,1,turquoise
OG_00695,2,blue
OG_00697,0,grey
OG_00696,6,red
OG_00698,3,brown
OG_00699,6,red
OG_00700,1,turquoise
OG_00707,8,pink
OG_00703,22,darkgreen
OG_00705,0,grey
OG_00706,1,turquoise
OG_00701,13,salmon
OG_00702,11,greenyellow
OG_00708,0,grey
OG_00709,3,brown
OG_00716,3,brown
OG_00717,1,turquoise
OG_00718,1,turquoise
OG_00719,2,blue
OG_00721,2,blue
OG_00722,0,grey
OG_00723,13,salmon
OG_00724,5,green
OG_00725,1,turquoise
OG_00726,1,turquoise
OG_00710,0,grey
OG_00711,3,brown
OG_00712,6,red
OG_00713,1,turquoise
OG_00714,3,brown
OG_00715,0,grey
OG_00727,0,grey
OG_00728,6,red
OG_00729,5,green
OG_00732,0,grey
OG_00731,7,black
OG_00730,1,turquoise
OG_00744,13,salmon
OG_00733,7,black
OG_00734,0,grey
OG_00735,1,turquoise
OG_00736,8,pink
OG_00737,0,grey
OG_00738,8,pink
OG_00739,9,magenta
OG_00740,2,blue
OG_00741,3,brown
OG_00742,0,grey
OG_00743,12,tan
OG_00745,0,grey
OG_00746,5,green
OG_00747,0,grey
OG_00748,5,green
OG_00750,13,salmon
OG_00751,1,turquoise
OG_00752,15,midnightblue
OG_00753,4,yellow
OG_00755,0,grey
OG_00754,0,grey
OG_00756,8,pink
OG_00757,1,turquoise
OG_00758,0,grey
OG_00759,23,darkturquoise
OG_00760,0,grey
OG_00762,0,grey
OG_00765,0,grey
OG_00763,0,grey
OG_00764,6,red
OG_00766,0,grey
OG_00768,0,grey
OG_00769,5,green
OG_00767,0,grey
OG_00770,4,yellow
OG_00771,7,black
OG_00772,5,green
OG_00774,3,brown
OG_00773,1,turquoise
OG_00775,5,green
OG_00780,9,magenta
OG_00781,1,turquoise
OG_00777,13,salmon
OG_00779,12,tan
OG_00783,5,green
OG_00784,19,lightyellow
OG_00785,0,grey
OG_00786,1,turquoise
OG_00787,7,black
OG_00788,0,grey
OG_00790,0,grey
OG_00789,3,brown
OG_00793,0,grey
OG_00791,7,black
OG_00792,3,brown
OG_00794,0,grey
OG_00795,0,grey
OG_00797,0,grey
OG_00796,1,turquoise
OG_00801,4,yellow
OG_00803,14,cyan
OG_00802,2,blue
OG_00798,1,turquoise
OG_00799,6,red
OG_00800,0,grey
OG_00804,14,cyan
OG_00805,1,turquoise
OG_00806,2,blue
OG_00807,2,blue
OG_00808,5,green
OG_00809,1,turquoise
OG_00810,24,darkgrey
OG_00811,2,blue
OG_00813,2,blue
OG_00815,1,turquoise
OG_00816,1,turquoise
OG_00817,3,brown
OG_00818,0,grey
OG_00819,0,grey
OG_00814,20,royalblue
OG_00824,1,turquoise
OG_00825,5,green
OG_00820,1,turquoise
OG_00821,4,yellow
OG_00822,0,grey
OG_00830,4,yellow
OG_00826,1,turquoise
OG_00827,4,yellow
OG_00828,1,turquoise
OG_00829,17,grey60
OG_00849,15,midnightblue
OG_00850,0,grey
OG_00851,1,turquoise
OG_00852,16,lightcyan
OG_00853,15,midnightblue
OG_00854,1,turquoise
OG_00855,4,yellow
OG_00856,25,orange
OG_00857,1,turquoise
OG_00831,0,grey
OG_00832,4,yellow
OG_00833,5,green
OG_00834,22,darkgreen
OG_00835,9,magenta
OG_00836,21,darkred
OG_00837,1,turquoise
OG_00838,4,yellow
OG_00839,0,grey
OG_00840,3,brown
OG_00841,11,greenyellow
OG_00842,4,yellow
OG_00843,3,brown
OG_00844,1,turquoise
OG_00845,16,lightcyan
OG_00846,4,yellow
OG_00847,0,grey
OG_00861,0,grey
OG_00862,4,yellow
OG_00863,6,red
OG_00864,3,brown
OG_00859,1,turquoise
OG_00860,0,grey
OG_00865,6,red
OG_00867,1,turquoise
OG_00868,5,green
OG_00870,1,turquoise
OG_00871,0,grey
OG_00869,0,grey
OG_00872,2,blue
OG_00873,0,grey
OG_00874,0,grey
OG_00875,1,turquoise
OG_00876,2,blue
OG_00877,23,darkturquoise
OG_00878,10,purple
OG_00879,0,grey
OG_00880,0,grey
OG_00906,11,greenyellow
OG_00907,1,turquoise
OG_00908,1,turquoise
OG_00909,0,grey
OG_00910,0,grey
OG_00911,0,grey
OG_00912,3,brown
OG_00882,10,purple
OG_00883,3,brown
OG_00884,7,black
OG_00885,1,turquoise
OG_00886,1,turquoise
OG_00887,3,brown
OG_00888,0,grey
OG_00889,7,black
OG_00891,0,grey
OG_00892,2,blue
OG_00894,1,turquoise
OG_00895,2,blue
OG_00896,25,orange
OG_00897,0,grey
OG_00898,4,yellow
OG_00899,8,pink
OG_00900,10,purple
OG_00901,0,grey
OG_00902,1,turquoise
OG_00903,8,pink
OG_00904,15,midnightblue
OG_00905,5,green
OG_00918,3,brown
OG_00914,1,turquoise
OG_00915,0,grey
OG_00916,13,salmon
OG_00917,0,grey
OG_00919,7,black
OG_00913,2,blue
OG_00921,1,turquoise
OG_00920,7,black
OG_00922,0,grey
OG_00923,9,magenta
OG_00924,8,pink
OG_00925,6,red
OG_00926,2,blue
OG_00927,7,black
OG_00928,4,yellow
OG_00929,1,turquoise
OG_00930,3,brown
OG_00931,8,pink
OG_00932,12,tan
OG_00933,0,grey
OG_00934,3,brown
OG_00935,4,yellow
OG_00936,9,magenta
OG_00937,4,yellow
OG_00938,16,lightcyan
OG_00939,0,grey
OG_00940,5,green
OG_00941,0,grey
OG_00942,1,turquoise
OG_00943,15,midnightblue
OG_00944,13,salmon
OG_00945,3,brown
OG_00946,3,brown
OG_00947,10,purple
OG_00948,1,turquoise
OG_00949,0,grey
OG_00950,0,grey
OG_00951,0,grey
OG_00952,6,red
OG_00953,1,turquoise
OG_00954,7,black
OG_00955,0,grey
OG_00956,1,turquoise
OG_00957,3,brown
OG_00959,0,grey
OG_00960,17,grey60
OG_00961,5,green
OG_00962,3,brown
OG_00965,6,red
OG_00966,16,lightcyan
OG_00967,2,blue
OG_00968,3,brown
OG_00963,4,yellow
OG_00964,1,turquoise
OG_00970,0,grey
OG_00969,5,green
OG_00972,2,blue
OG_00973,6,red
OG_00974,0,grey
OG_00975,11,greenyellow
OG_00977,4,yellow
OG_00978,5,green
OG_00991,4,yellow
OG_00992,21,darkred
OG_00987,0,grey
OG_00979,7,black
OG_00980,8,pink
OG_00981,0,grey
OG_00982,2,blue
OG_00983,0,grey
OG_00984,14,cyan
OG_00985,0,grey
OG_00988,0,grey
OG_00989,14,cyan
