group_id,wgcna_module
OG_00731,7
OG_00733,7
OG_00771,7
OG_00787,7
OG_00791,7
OG_00884,7
OG_00889,7
OG_00919,7
OG_00920,7
OG_00927,7
OG_00954,7
OG_00979,7
OG_01010,7
OG_01019,7
OG_01048,7
OG_01049,7
OG_01052,7
OG_01062,7
OG_01065,7
OG_01071,7
OG_01086,7
OG_01094,7
OG_01102,7
OG_01151,7
OG_01153,7
OG_01204,7
OG_01213,7
OG_01285,7
OG_01305,7
OG_01335,7
OG_01338,7
OG_01340,7
OG_01351,7
OG_01379,7
OG_01383,7
OG_00001,7
OG_00006,7
OG_00009,7
OG_00011,7
OG_00029,7
OG_00051,7
OG_00058,7
OG_00061,7
OG_00075,7
OG_00108,7
OG_00149,7
OG_00162,7
OG_00212,7
OG_00217,7
OG_00220,7
OG_00232,7
OG_00241,7
OG_00244,7
OG_00256,7
OG_00270,7
OG_00285,7
OG_00312,7
OG_00320,7
OG_00327,7
OG_00336,7
OG_00349,7
OG_00366,7
OG_00372,7
OG_00380,7
OG_00397,7
OG_00412,7
OG_00426,7
OG_00487,7
OG_00505,7
OG_00507,7
OG_00511,7
OG_00532,7
OG_00555,7
OG_00606,7
OG_00620,7
OG_01453,7
OG_01458,7
OG_01463,7
OG_01483,7
OG_01499,7
OG_01512,7
OG_01515,7
OG_01596,7
OG_01619,7
OG_01678,7
OG_01703,7
OG_01714,7
OG_01725,7
OG_01913,7
OG_01959,7
OG_01960,7
OG_01986,7
OG_01990,7
OG_02017,7
OG_02150,7
OG_02143,7
OG_02145,7
OG_02180,7
OG_02171,7
OG_02227,7
OG_02256,7
OG_02273,7
OG_02285,7
OG_02287,7
OG_02290,7
OG_02299,7
OG_02370,7
OG_02442,7
OG_02466,7
OG_02491,7
OG_02493,7
OG_02525,7
OG_02545,7
OG_02561,7
OG_02596,7
OG_02600,7
OG_02616,7
OG_02639,7
OG_02654,7
OG_02703,7
OG_02748,7
OG_02758,7
OG_02787,7
OG_02827,7
OG_02830,7
OG_02841,7
OG_02842,7
OG_02843,7
OG_02868,7
OG_02884,7
OG_02900,7
OG_02902,7
OG_02917,7
OG_02937,7
OG_03000,7
OG_03015,7
OG_03045,7
OG_03059,7
OG_03123,7
OG_03126,7
OG_03159,7
OG_03198,7
OG_03199,7
OG_03200,7
OG_03228,7
OG_03234,7
OG_03265,7
OG_03267,7
OG_03307,7
OG_03298,7
OG_03355,7
OG_03385,7
OG_03404,7
OG_03406,7
OG_03457,7
OG_03462,7
OG_03499,7
OG_03518,7
OG_03505,7
OG_03506,7
OG_03512,7
OG_03522,7
OG_03560,7
OG_03597,7
OG_03663,7
OG_03675,7
OG_03689,7
OG_03702,7
OG_03717,7
OG_03723,7
OG_03748,7
OG_03830,7
OG_03836,7
OG_03858,7
OG_03904,7
OG_03908,7
OG_03952,7
OG_03940,7
OG_03977,7
OG_04004,7
OG_04020,7
OG_04098,7
OG_04079,7
OG_04105,7
OG_04115,7
OG_04122,7
OG_04146,7
OG_04158,7
OG_04150,7
OG_04154,7
OG_04164,7
OG_04209,7
OG_04235,7
OG_04288,7
OG_04327,7
OG_04330,7
OG_04348,7
OG_04383,7
OG_04419,7
OG_04438,7
OG_04450,7
OG_04505,7
OG_04540,7
OG_04611,7
OG_04617,7
OG_04657,7
OG_04675,7
OG_04686,7
OG_04744,7
OG_04772,7
OG_04800,7
OG_04916,7
OG_04977,7
OG_05044,7
OG_05047,7
OG_05090,7
OG_05092,7
OG_05093,7
OG_05116,7
OG_05185,7
OG_05232,7
OG_05259,7
OG_05302,7
OG_05322,7
OG_05331,7
OG_05376,7
OG_05402,7
OG_05431,7
OG_05475,7
OG_05488,7
OG_05533,7
OG_05547,7
