Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
POR-216-TP1_hisat2	19283010	19283010	4786660	11876532	2619818	1153991	5003200	1514271	747867	87.03	373933.5	2501600.0	757135.5
POR-216-TP2_hisat2	18503836	18503836	3762741	11619979	3121116	1182418	2996629	1296203	867814	91.9	433907.0	1498314.5	648101.5
POR-216-TP3_hisat2	15840913	15840913	3117958	9611730	3111225	922503	2645635	947110	798165	91.65	399082.5	1322817.5	473555.0
POR-216-TP4_hisat2	21204544	21204544	4148413	12540914	4515217	1542156	2628982	1243270	1340262	93.8	670131.0	1314491.0	621635.0
POR-236-TP1_hisat2	20954901	20954901	4148811	13130118	3675972	1259453	3309359	1451505	1017852	92.1	508926.0	1654679.5	725752.5
POR-236-TP2_hisat2	19238643	19238643	3184660	11614848	4439135	1110103	1946613	1027080	1175421	94.94	587710.5	973306.5	513540.0
POR-245-TP1_hisat2	18956403	18956403	3853469	11929627	3173307	1205961	2981051	1405781	908184	92.14	454092.0	1490525.5	702890.5
POR-245-TP2_hisat2	16574371	16574371	2767845	10193106	3613420	1015853	1592970	886074	1024940	95.19	512470.0	796485.0	443037.0
POR-245-TP3_hisat2	18551669	18551669	3236812	11042975	4271882	1024401	2354452	1014152	1056218	93.65	528109.0	1177226.0	507076.0
POR-245-TP4_hisat2	16925807	16925807	4574904	10223783	2127120	1243836	4392822	1582813	686501	87.02	343250.5	2196411.0	791406.5
POR-260-TP1_hisat2	17040152	17040152	3920335	10929330	2190487	1069487	3597468	1461094	643134	89.44	321567.0	1798734.0	730547.0
POR-260-TP2_hisat2	17145837	17145837	3334403	10313919	3497515	1176690	2011881	1147753	1155792	94.13	577896.0	1005940.5	573876.5
POR-260-TP3_hisat2	16900517	16900517	3260992	10442900	3196625	1056530	2355938	1160928	892058	93.03	446029.0	1177969.0	580464.0
POR-260-TP4_hisat2	19274074	19274074	3882574	11932614	3458886	1331210	2755314	1325296	1022118	92.85	511059.0	1377657.0	662648.0
POR-262-TP1_hisat2	20029292	20029292	4681051	11961115	3387126	1386975	4175137	1390689	1022326	89.58	511163.0	2087568.5	695344.5
POR-262-TP2_hisat2	20521732	20521732	4178786	13003563	3339383	1329270	3442927	1360990	895115	91.61	447557.5	1721463.5	680495.0
POR-262-TP3_hisat2	21153661	21153661	4029767	13059255	4064639	1290017	2992765	1314942	1171793	92.93	585896.5	1496382.5	657471.0
POR-262-TP4_hisat2	17190954	17190954	3324161	10583736	3283057	1269870	1995521	1055006	1058055	94.2	529027.5	997760.5	527503.0
POR-69-TP1_hisat2	21802122	21802122	4117826	13415695	4268601	1260176	3172304	1459274	1083722	92.72	541861.0	1586152.0	729637.0
POR-69-TP2_hisat2	19735689	19735689	3394957	12497102	3843630	1068245	2511887	1198297	943240	93.64	471620.0	1255943.5	599148.5
POR-69-TP3_hisat2	20790481	20790481	3851882	12474867	4463732	1482636	2069134	1214859	1454499	95.02	727249.5	1034567.0	607429.5
POR-69-TP4_hisat2	17095311	17095311	3105569	10421722	3568020	1144168	1714580	1080064	1128158	94.99	564079.0	857290.0	540032.0
POR-72-TP1_hisat2	16114210	16114210	4564699	9238775	2310736	1037232	5273232	1143599	638103	83.64	319051.5	2636616.0	571799.5
POR-72-TP2_hisat2	17162752	17162752	6204507	8755738	2202507	959381	8870381	1031792	588079	74.16	294039.5	4435190.5	515896.0
POR-72-TP3_hisat2	20360669	20360669	4619334	12410068	3331267	1395294	3926886	1499438	1021756	90.36	510878.0	1963443.0	749719.0
POR-72-TP4_hisat2	22356278	22356278	4763673	13987676	3604929	1630046	3363604	1706186	1197464	92.48	598732.0	1681802.0	853093.0
POR-73-TP1_hisat2	20022255	20022255	3347775	12539298	4135182	930478	2762936	1188614	883044	93.1	441522.0	1381468.0	594307.0
POR-73-TP2_hisat2	21423162	21423162	4177417	12615216	4630529	1367343	2734650	1463376	1422122	93.62	711061.0	1367325.0	731688.0
POR-73-TP3_hisat2	19061330	19061330	3402747	11084910	4573673	1226313	1762803	1151554	1438511	95.38	719255.5	881401.5	575777.0
POR-73-TP4_hisat2	18417766	18417766	3211610	11538776	3667380	974988	2312679	1176960	983605	93.72	491802.5	1156339.5	588480.0
POR-74-TP1_hisat2	18010881	18010881	3824905	11162620	3023356	1103562	3475343	1208004	759339	90.35	379669.5	1737671.5	604002.0
POR-74-TP2_hisat2	17719989	17719989	3039494	11163980	3516515	1294182	1445705	942230	1102689	95.92	551344.5	722852.5	471115.0
POR-74-TP3_hisat2	21702245	21702245	4455077	13008433	4238735	1599671	3018338	1336643	1355831	93.05	677915.5	1509169.0	668321.5
POR-74-TP4_hisat2	19340555	19340555	3399055	11676930	4264570	1423574	1340754	1113632	1496576	96.53	748288.0	670377.0	556816.0
POR-83-TP1_hisat2	17837770	17837770	3880895	10889332	3067543	1425509	2484121	1317154	1109497	93.04	554748.5	1242060.5	658577.0
POR-83-TP2_hisat2	18950291	18950291	3755150	11555412	3639729	1122913	3016567	1242297	1005610	92.04	502805.0	1508283.5	621148.5
POR-83-TP3_hisat2	18612942	18612942	3315174	11279536	4018232	1181346	1991317	1062991	1213348	94.65	606674.0	995658.5	531495.5
POR-83-TP4_hisat2	23207558	23207558	4359925	13893687	4953946	1453454	2883055	1528069	1401818	93.79	700909.0	1441527.5	764034.5
