,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
OG_00001,0.736794297909347,1.211355205866146,0.34216774713289533,1.8910638573755645,1.3983788402254156,1.9573475754973995,1.8326584179329333,1.580019520631765,1.1613095430376175,0.6776331858668763
OG_00002,0.8186290424494502,0.796676842940575,0.5402728882165638,1.640911169025522,0.8343867369394034,2.2697684418773614,1.4252925147259794,1.2105665152044367,0.6125209918095488,0.5550046554352237
OG_00003,0.15271454104477372,0.042154310592194905,0.1665825165781945,0.19770341706892675,0.025443886013376535,0.0,0.1567108426935784,0.026113928289878515,0.0,0.15861965727468127
OG_00004,0.0,0.19487850896962933,0.27983393345484403,0.41520285654938976,0.016867888738319473,0.3895783020116528,0.44519696326558383,0.07716084537160074,0.05400128831755807,0.12393537561606562
OG_00005,0.29074039418260883,0.5185631642945694,0.36003954173593694,1.009343608400945,0.6130246374546935,0.8333639073227901,0.9038966788793268,0.6532436395380985,0.4158600429599511,0.3668911503515854
OG_00006,0.32881393942676757,0.5372162921634253,0.3854913566150522,1.0219546314462096,0.5574557586063342,0.747964903042232,0.864228908628872,0.7188957756751091,0.3935762462733856,0.32746125392770326
OG_00007,0.9831200146383197,1.250075183712837,0.7275264043923702,2.2534819731657283,1.4181420112531964,1.997922336201332,1.9837041540735483,1.5550242497236841,0.9889333728465594,0.8569263751312506
OG_00008,0.787432836654844,0.505632502080814,0.5003837499162196,1.2351939614091643,0.5610308668851629,1.26263505401621,0.9567264235711064,0.7961880523208761,0.37507232903221865,0.5687164457419122
OG_00009,0.35453325284338477,0.3933500197064487,0.02001563896679927,0.6945785811753317,0.6665114892662057,0.9273818930557899,0.6236105770768678,0.7321972798215763,0.46926949912420696,0.23325488771562047
OG_00010,0.4928362287590066,0.47541243081581064,0.34619332539038206,1.0603412551880527,0.6033451889761041,1.7018220478073367,0.9604016429304424,0.7233637892054675,0.3300235715815809,0.42313876364229147
OG_00011,0.0,0.38520708335513987,0.0,0.42907378590711837,0.4933008887939743,0.39506570439338834,0.5079478803309648,0.434896763495217,0.49104477372284466,0.0641407120608891
OG_00012,0.4572708145620378,0.32572051565186844,0.2430145260071388,0.77748862855048,0.48394121417935554,0.7091879674407345,0.5396955665945025,0.6874998779608683,0.14547501059633708,0.3196113455547082
OG_00013,0.21676528241760842,0.12008422053851163,0.18156815949779923,0.29520326118548335,0.0,0.0988339308929164,0.1927941470519792,0.24171913334037087,0.03502469914186081,0.1668278285100484
