Name	POR-216-TP2	POR-73-TP1	POR-83-TP3	POR-72-TP1	POR-260-TP4	POR-245-TP2	POR-74-TP4	POR-72-TP3	POR-73-TP3	POR-262-TP2	POR-260-TP2	POR-245-TP4	POR-245-TP1	POR-260-TP1	POR-74-TP1	POR-69-TP4	POR-260-TP3	POR-72-TP4	POR-73-TP2	POR-83-TP2	POR-69-TP1	POR-83-TP4	POR-74-TP2	POR-262-TP1	POR-74-TP3	POR-245-TP3	POR-73-TP4	POR-83-TP1	POR-262-TP4	POR-72-TP2	POR-236-TP1	POR-262-TP3	POR-216-TP3	POR-236-TP2	POR-216-TP4	POR-69-TP2	POR-216-TP1
Cluster_27	456	1436	1	301	163	21	0	95	4904	1	70	119	2590	1391	759	8	484	3162	41	5934	3894	285	664	3862	37	139	31	62	0	1125	2249	0	990	0	1	0	1459
Cluster_491	90	301	0	565	50	5	0	55	1507	0	12	124	2370	429	660	6	300	1416	19	1653	869	107	264	1452	17	86	21	45	0	1104	766	0	1177	0	2	0	1243
Cluster_661	7577	5129	4	4481	1440	113	0	3805	72664	5	173	239	98732	6002	5436	43	9308	194341	388	56469	21428	2500	67803	58565	754	2059	712	564	1	13887	23588	0	6607	0	3	0	11450
Cluster_670	21	0	0	0	0	0	0	7	72	0	0	0	0	3	25	0	30	0	0	354	0	2	0	178	0	16	6	10	0	21	0	0	0	0	0	0	18
Cluster_981	95	627	0	562	34	17	0	17	1075	0	11	84	557	384	1009	19	45	874	16	1256	2119	99	260	606	54	127	56	44	0	1535	936	0	692	0	1	1	1103
Cluster_1004	11946	30500	16	18879	3586	517	0	5495	257410	62	552	1137	230515	26873	35817	309	19825	220913	946	173011	66411	5804	42591	225871	2004	6151	2025	1522	2	75896	43152	4	14981	0	44	35	63960
Cluster_2392	349	394	0	330	27	7	0	195	8910	0	6	15	7019	186	290	15	683	8266	12	2306	804	98	1037	4245	33	122	11	39	0	421	453	0	303	0	0	0	242
Cluster_2454	18	13	0	12	0	0	0	10	202	0	0	3	264	14	8	0	4	404	0	168	40	3	21	176	2	0	1	4	0	37	8	0	0	0	0	0	14
Cluster_2478	188	737	0	282	54	11	0	79	3221	2	17	34	1532	389	469	6	161	2232	25	2426	1442	148	783	2696	39	120	61	44	0	303	928	0	509	0	0	1	568
Cluster_3165	40	53	0	113	19	3	0	20	140	1	3	1	376	207	131	3	89	359	1	1089	464	45	100	403	6	32	1	1	0	258	137	0	109	0	0	0	163
Cluster_3380	21	297	8	48	363	40	0	0	254	1	63	29	233	603	260	78	39	179	10	6424	589	455	201	176	197	140	116	189	0	89	420	0	1890	0	0	0	205
Cluster_3652	829	8437	2	2678	913	160	0	236	8122	27	218	618	10995	4920	4170	72	1584	8951	231	26602	10319	1531	3162	8703	330	1103	571	608	0	6649	9053	0	8273	0	12	0	6319
Cluster_3653	209	10758	13	3216	1066	584	2	75	6253	54	350	2255	6124	8158	13002	156	326	2448	171	17154	8630	1566	1437	3509	3413	529	1388	2570	1	3706	13826	0	48823	0	170	3	14452
Cluster_3672	77	531	0	105	33	19	0	26	5375	0	20	37	2374	292	198	8	164	1796	17	2086	219	133	236	2238	37	57	53	17	0	158	992	0	608	0	0	0	196
Cluster_3676	251	2125	1	1190	570	40	0	89	2448	5	175	191	2744	4090	1781	49	375	2970	73	5847	3204	255	548	2414	90	280	79	74	0	2283	3591	0	2936	0	5	1	2336
Cluster_4160	250	1448	0	904	158	25	0	147	2256	2	18	32	4195	1835	1669	3	686	6080	42	10438	2506	450	753	3773	54	240	88	70	0	1698	1531	0	785	0	0	0	1288
Cluster_4161	34	121	0	1102	13	1	0	24	83	0	0	3	546	336	691	1	40	810	4	2225	409	10	28	359	5	21	27	0	0	1080	191	0	0	0	0	0	549
Cluster_4229	28	203	0	127	16	6	0	11	629	0	2	31	389	121	170	0	20	349	5	430	172	14	110	355	24	41	9	14	0	211	234	0	123	0	0	0	219
Cluster_4247	143	315	0	400	32	4	0	73	2651	1	5	18	2128	245	218	12	332	2587	12	1822	452	184	217	2326	13	50	12	33	0	340	317	0	207	0	0	0	228
Cluster_4968	36	190	0	133	35	6	0	11	430	1	3	73	438	218	440	7	13	345	2	1509	813	172	84	406	41	97	9	60	0	229	640	0	1630	0	2	0	600
Cluster_5058	13	13	0	42	8	1	0	4	64	0	0	0	250	68	92	0	51	229	0	92	89	0	59	136	14	0	0	0	0	75	1	0	0	0	0	0	18
Cluster_5257	13	48	1	70	36	1	0	6	51	1	4	24	226	216	271	4	10	155	1	989	508	60	71	304	21	10	25	20	0	106	254	0	408	0	10	0	538
Cluster_5613	16	51	0	61	8	4	0	5	224	0	2	3	383	75	150	1	32	289	1	420	242	9	84	146	27	17	2	1	0	103	177	0	16	0	0	0	42
Cluster_6099	9	197	0	188	36	17	0	5	55	0	25	82	90	170	337	3	5	114	0	583	440	54	43	83	32	25	11	38	0	224	420	0	561	0	3	0	476
Cluster_6234	94	493	0	450	28	1	0	33	498	0	5	13	857	359	526	0	104	1220	12	2115	1250	139	238	1144	27	89	33	27	0	722	492	0	377	0	0	0	499
